day	statistic	p.value	parameter	method	Schloss	Young	Jackson	Charles River	Taconic	Envigo	p.value.adj
8	26.70771967232335	6.502531794682915e-5	5	Kruskal-Wallis rank sum test	-0.75	-0.11999999999999744	0.9100000000000001	0.05000000000000071	0.7000000000000028	0.10999999999999943	6.502531794682915e-4
7	21.53040552482283	6.428956602601934e-4	5	Kruskal-Wallis rank sum test	-0.5499999999999989	0.10000000000000142	1.1999999999999993	0.40000000000000036	0.8000000000000007	0.3999999999999986	0.0021429855342006447
9	22.21495150647905	4.765532329190284e-4	5	Kruskal-Wallis rank sum test	-0.45000000000000107	-0.3999999999999986	0.5	-0.14999999999999858	0.5	-0.10000000000000142	0.0021429855342006447
5	19.593348774841132	0.0014894112122050798	5	Kruskal-Wallis rank sum test	0.09999999999999964	0.6000000000000014	1.4000000000000021	0.5500000000000007	1.1000000000000014	0.3999999999999986	0.0037235280305126994
1	15.02460700683974	0.010257711824754634	5	Kruskal-Wallis rank sum test	-0.5	-0.259999999999998	-0.02999999999999936	-0.7000000000000011	-0.16000000000000014	-0.8150000000000013	0.020515423649509267
2	14.122717278544329	0.014848406190590543	5	Kruskal-Wallis rank sum test	-0.8250000000000011	-0.5	-1.8100000000000023	0.009999999999999787	-1.7999999999999972	-0.8150000000000013	0.02474734365098424
3	12.717620122640822	0.02617367617386638	5	Kruskal-Wallis rank sum test	-0.29999999999999893	-0.3000000000000007	-1.1999999999999993	0.05000000000000249	-1.3999999999999986	-1.5	0.03739096596266626
6	12.369724401639708	0.030058283528801973	5	Kruskal-Wallis rank sum test	-0.20000000000000107	0.3000000000000007	1.5	0.7199999999999989	0.6999999999999993	0.05000000000000071	0.037572854411002464
0	9.163738624583466	0.10270871940384152	5	Kruskal-Wallis rank sum test	-0.4449999999999985	-0.35999999999999943	-0.11500000000000021	-0.6799999999999988	-0.28000000000000114	-0.20000000000000284	0.11412079933760169
4	3.620623335743376	0.6052194744000647	5	Kruskal-Wallis rank sum test	0.45000000000000107	1.0299999999999976	0.5	0.6000000000000014	0.6000000000000014	0.5299999999999976	0.6052194744000647
-1	NaN	NaN	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	NaN
