genus	statistic	p.value	parameter	method	-1	0	1	p.value.adj
Peptostreptococcaceae unclassified	17.505126452494885	1.5805567299918518e-4	2	Kruskal-Wallis rank sum test	2.627499408812633e-5	0	0.08600790877322052	0.011538064128940519
Enterococcus	14.0500943717318	8.893255550187576e-4	2	Kruskal-Wallis rank sum test	0.005097348853096508	0.13668689841211454	0.040486481515541656	0.0216402551721231
Parabacteroides	14.785870927318296	6.155862675579213e-4	2	Kruskal-Wallis rank sum test	0.081321106702751	2.452332781558457e-4	0.30455674084973333	0.0216402551721231
Desulfovibrionaceae unclassified	12.22351571594877	0.0022166508286578677	2	Kruskal-Wallis rank sum test	0.004965973882655877	0	0	0.027161596658971783
Enterorhabdus	12.266355140186908	0.0021696756989352086	2	Kruskal-Wallis rank sum test	4.992248876744003e-4	0	0	0.027161596658971783
Firmicutes unclassified	12.209302325581385	0.002232459999367544	2	Kruskal-Wallis rank sum test	0.0018129745920807169	0	0	0.027161596658971783
Porphyromonadaceae unclassified	11.843901365037425	0.0026799673094003483	2	Kruskal-Wallis rank sum test	0.3053417062981161	2.758874379253265e-4	3.2186867757954754e-4	0.027948230512317918
Acetatifactor	10.261199474682615	0.0059130131552696695	2	Kruskal-Wallis rank sum test	0.003100449302398907	0	2.2990619827110538e-5	0.045428024558101104
Akkermansia	9.097744360902254	0.010579129006681079	2	Kruskal-Wallis rank sum test	0.04353766520402533	4.2915823677273007e-4	0.0060695236343571825	0.045428024558101104
Alistipes	9.157980177717027	0.010265258061779017	2	Kruskal-Wallis rank sum test	0.024751044431015005	0	0.01246091594629391	0.045428024558101104
Bacteroidetes unclassified	9.281767955801095	0.009649164208497462	2	Kruskal-Wallis rank sum test	0.011718647363304342	0	0	0.045428024558101104
Clostridia unclassified	9.281767955801095	0.009649164208497462	2	Kruskal-Wallis rank sum test	9.984497753488006e-4	0	0	0.045428024558101104
Clostridium XlVa	9.445315920035004	0.008891513824186468	2	Kruskal-Wallis rank sum test	0.0016553246275519589	0	4.5981239654221075e-5	0.045428024558101104
Clostridium XlVb	9.701895043731788	0.007820963503363382	2	Kruskal-Wallis rank sum test	0.0023384744738432434	0	2.758874379253265e-4	0.045428024558101104
Coriobacteriaceae unclassified	9.993974583698508	0.00675827707584588	2	Kruskal-Wallis rank sum test	3.4157492314564226e-4	0	2.2990619827110538e-5	0.045428024558101104
Oscillibacter	9.281767955801095	0.009649164208497462	2	Kruskal-Wallis rank sum test	0.0026800493969888857	0	0	0.045428024558101104
Pseudoflavonifractor	10.250728862973755	0.005944050762451097	2	Kruskal-Wallis rank sum test	0.001839249586168843	0	2.2990619827110538e-5	0.045428024558101104
Mucispirillum	8.92220172201722	0.011549641736172636	2	Kruskal-Wallis rank sum test	0.012401797209595628	3.6784991723376866e-4	0	0.046840213707811246
Butyricicoccus	8.705357142857153	0.012872287021298664	2	Kruskal-Wallis rank sum test	6.568748522031582e-4	0	4.5981239654221075e-5	0.04945668171341065
Bacteroidales unclassified	7.3192137320044415	0.02574263104075734	2	Kruskal-Wallis rank sum test	0.011271972463806195	3.0654159769480714e-5	0	0.0939606032987643
Odoribacter	6.619964973730294	0.036516813272015634	2	Kruskal-Wallis rank sum test	0.0027588743792532648	0	0	0.11867614537523315
Prevotellaceae unclassified	6.619964973730294	0.036516813272015634	2	Kruskal-Wallis rank sum test	0.06778948474736593	0	0	0.11867614537523315
Unclassified	6.5726443768997065	0.03739111429630634	2	Kruskal-Wallis rank sum test	0.002154549515226359	0	6.667279749862056e-4	0.11867614537523315
Deltaproteobacteria unclassified	5.51931486880466	0.06331345365620267	2	Kruskal-Wallis rank sum test	0.0012349247221419375	0	0.0025289681809821593	0.19257842153761642
Burkholderiales unclassified	5.382807668521963	0.06778571264031685	2	Kruskal-Wallis rank sum test	0.00916997293675609	0.014805959168659188	0.03149714916314144	0.1979342809097252
Alishewanella	5.249999999999986	0.07243975703425198	2	Kruskal-Wallis rank sum test	0	9.196247930844215e-5	0	0.203388548596169
Lachnospiraceae unclassified	4.93369891873469	0.08485176726865136	2	Kruskal-Wallis rank sum test	0.11781707349115847	0.023818282140886517	0.04476273680338422	0.2294140374300574
Anaerotruncus	4.210526315789484	0.12181361383661926	2	Kruskal-Wallis rank sum test	5.254998817625266e-5	0	0	0.265355572725597
Desulfovibrio	4.20000000000001	0.1224564282529813	2	Kruskal-Wallis rank sum test	6.30599858115032e-4	0	0	0.265355572725597
Dorea	4.20000000000001	0.1224564282529813	2	Kruskal-Wallis rank sum test	7.882498226437898e-5	0	0	0.265355572725597
Eisenbergiella	4.20000000000001	0.1224564282529813	2	Kruskal-Wallis rank sum test	7.882498226437898e-5	0	0	0.265355572725597
Enterobacteriaceae unclassified	4.181566970091024	0.12359026674890819	2	Kruskal-Wallis rank sum test	0.17168081137181743	0.44742811599534055	0.2611274599963215	0.265355572725597
Pseudomonadaceae unclassified	4.20000000000001	0.1224564282529813	2	Kruskal-Wallis rank sum test	7.882498226437898e-5	0	0	0.265355572725597
Ruminococcus	4.20000000000001	0.1224564282529813	2	Kruskal-Wallis rank sum test	1.57649964528758e-4	0	0	0.265355572725597
