otu	statistic	p.value	parameter	method	-1	0	1	p.value.adj
Otu0020	21.083333333333336	2.6412671902497226e-5	2	Kruskal-Wallis rank sum test	0	0	0.06219291100659503	5.546502438503866e-4
Otu0021	20.737704918032787	3.1395296821719994e-5	2	Kruskal-Wallis rank sum test	0.08163969100606952	0	0	5.546502438503866e-4
Otu0040	20.76607387140903	3.095311444253715e-5	2	Kruskal-Wallis rank sum test	0.0027128931395990433	0	0	5.546502438503866e-4
Otu0050	20.737704918032787	3.1395296821719994e-5	2	Kruskal-Wallis rank sum test	0.003080743056832812	0	0	5.546502438503866e-4
Otu0078	20.737704918032787	3.1395296821719994e-5	2	Kruskal-Wallis rank sum test	0.00255195880080927	0	0	5.546502438503866e-4
Otu0092	20.76607387140903	3.095311444253715e-5	2	Kruskal-Wallis rank sum test	0.0010345778922199742	0	0	5.546502438503866e-4
Otu0098	20.75187969924812	3.11735727406055e-5	2	Kruskal-Wallis rank sum test	0.0035175648335479125	0	0	5.546502438503866e-4
Otu0107	20.75187969924812	3.11735727406055e-5	2	Kruskal-Wallis rank sum test	0.002046165164612838	0	0	5.546502438503866e-4
Otu0113	20.75187969924812	3.11735727406055e-5	2	Kruskal-Wallis rank sum test	0.0020691557844399484	0	0	5.546502438503866e-4
Otu0117	20.75187969924812	3.11735727406055e-5	2	Kruskal-Wallis rank sum test	0.0014254184292808534	0	0	5.546502438503866e-4
Otu0126	20.808773132282386	3.0299281271549453e-5	2	Kruskal-Wallis rank sum test	0.001149530991355527	0	0	5.546502438503866e-4
Otu0136	20.76607387140903	3.095311444253715e-5	2	Kruskal-Wallis rank sum test	0.0018162589663417326	0	0	5.546502438503866e-4
Otu0151	20.76607387140903	3.095311444253715e-5	2	Kruskal-Wallis rank sum test	9.656060327386426e-4	0	0	5.546502438503866e-4
Otu0156	20.737704918032787	3.1395296821719994e-5	2	Kruskal-Wallis rank sum test	0.0014943902887621851	0	0	5.546502438503866e-4
Otu0163	20.808773132282386	3.0299281271549453e-5	2	Kruskal-Wallis rank sum test	0.001103549751701306	0	0	5.546502438503866e-4
Otu0179	20.76607387140903	3.095311444253715e-5	2	Kruskal-Wallis rank sum test	8.506529336030899e-4	0	0	5.546502438503866e-4
Otu0193	20.76607387140903	3.095311444253715e-5	2	Kruskal-Wallis rank sum test	0.0013564465697995219	0	0	5.546502438503866e-4
Otu0236	20.89470061940812	2.902507896773584e-5	2	Kruskal-Wallis rank sum test	4.138311568879897e-4	0	0	5.546502438503866e-4
Otu0038	19.470090139306194	5.917300778355234e-5	2	Kruskal-Wallis rank sum test	0.007012139047268715	0	2.627499408812633e-5	9.482984484806382e-4
