effects	r_sq	p	source
experiment	0.6783868822865456	0.011111111111111112	Schloss
unique_cage	0.31412070208891774	0.03333333333333333	Schloss
experiment	0.6165614048558912	0.004	Young
unique_cage	0.33354141191163017	0.027	Young
experiment	0.8876602872409018	0.1	Jackson
unique_cage	3.661135311407855e-4	1	Jackson
experiment	0.3369872120555255	0.1111111111111111	Charles River
unique_cage	0.5455866851367666	0.06666666666666667	Charles River
experiment	0.13611106695820627	0.579	Taconic
unique_cage	0.10145548659243663	0.946	Taconic
experiment	0.34019423633754964	0.134	Envigo
unique_cage	0.24282214525808404	0.513	Envigo
