family	statistic	p.value	parameter	method	-1	0	1	p.value.adj
Clostridia unclassified	17.232558139534888	1.8113298553460762e-4	2	Kruskal-Wallis rank sum test	6.437373551590951e-4	0	0	0.007245319421384304
Clostridiales unclassified	13.846581769436998	9.84584449273286e-4	2	Kruskal-Wallis rank sum test	0.045061614861136655	3.678499172337686e-5	0.005057936361964319	0.013227904979771896
Enterobacteriaceae	13.831387665198235	9.920928734828921e-4	2	Kruskal-Wallis rank sum test	3.371957574642879e-4	0.287070075409233	0.06375298878057753	0.013227904979771896
Lachnospiraceae	12.056578947368436	0.0024096121604975157	2	Kruskal-Wallis rank sum test	0.24176935810189443	0.012580467169394887	0.13164428913003495	0.019276897283980125
Sutterellaceae	12.202894736842111	0.0022396238117071516	2	Kruskal-Wallis rank sum test	7.050456746980565e-4	0.07007540923303292	0.043015449696523815	0.019276897283980125
Firmicutes unclassified	10.910081743869213	0.004274702062798937	2	Kruskal-Wallis rank sum test	0.011035497517013059	2.2070995034026116e-4	0.0013104653301453007	0.021373510313994686
Rikenellaceae	11.027631578947362	0.004030697707995565	2	Kruskal-Wallis rank sum test	0.006437373551590951	7.356998344675372e-5	0.0015173809085892954	0.021373510313994686
Unclassified	11.462692307692325	0.0032427091088473845	2	Kruskal-Wallis rank sum test	0.015541659003126724	0	0.0019771933051315064	0.021373510313994686
Bacteroidetes unclassified	10.169722222222214	0.0061897467176523545	2	Kruskal-Wallis rank sum test	0.021703145116792347	1.4713996689350744e-4	0.004184292808534118	0.026974391670984525
Clostridiaceae 1	9.638382352941196	0.008073314385683865	2	Kruskal-Wallis rank sum test	0.003157378456256514	3.678499172337686e-5	2.2990619827110538e-5	0.026974391670984525
Ruminococcaceae	9.72526315789473	0.007730114694226844	2	Kruskal-Wallis rank sum test	0.03653975844522102	0.006584513518484458	0.016806143093617804	0.026974391670984525
Verrucomicrobiaceae	9.63368024800708	0.008092317501295358	2	Kruskal-Wallis rank sum test	0.011280730795168904	2.2070995034026116e-4	0.03398013610446938	0.026974391670984525
Enterococcaceae	8.896179624664878	0.011700896545046429	2	Kruskal-Wallis rank sum test	9.196247930844215e-5	0.023137759794004047	0.008207651278278463	0.03600275860014286
Lactobacillaceae	6.719999999999999	0.03473525894473858	2	Kruskal-Wallis rank sum test	0.06507878119060756	0.12620930660290602	0.06513242597020416	0.09924359698496736
Peptostreptococcaceae	4.7954706927175925	0.09092363083895355	2	Kruskal-Wallis rank sum test	0.007816810741217584	6.253448592974067e-4	0.009081294831708662	0.24246301557054278
Coriobacteriaceae	4.339344262295082	0.11421505833267213	2	Kruskal-Wallis rank sum test	3.371957574642879e-4	0	5.51774875850653e-4	0.28553764583168034
Porphyromonadaceae	4.167368421052629	0.12447078981978817	2	Kruskal-Wallis rank sum test	0.12641775488933849	0.03615964686407946	0.16222181350009196	0.29287244663479567
Deferribacteraceae	3.825731382978722	0.14765664134342538	2	Kruskal-Wallis rank sum test	0.004046349089571455	0.009931947765311753	0.012621850285083685	0.3281258696520564
Rhodospirillaceae	3.650564278704609	0.16117216470415147	2	Kruskal-Wallis rank sum test	0.0024216786217889767	3.678499172337686e-5	0.009058304211881552	0.3393098204297925
Desulfovibrionaceae	2.902777777777788	0.2342447221667839	2	Kruskal-Wallis rank sum test	0	0	6.667279749862057e-4	0.3793799445255554
Moraxellaceae	2.7999999999999634	0.24659696394161099	2	Kruskal-Wallis rank sum test	0	3.678499172337686e-5	0	0.3793799445255554
Planococcaceae	2.7999999999999634	0.24659696394161099	2	Kruskal-Wallis rank sum test	0	3.678499172337686e-5	0	0.3793799445255554
Prevotellaceae	2.7999999999999634	0.24659696394161099	2	Kruskal-Wallis rank sum test	0	3.678499172337686e-5	0	0.3793799445255554
Rhodobacteraceae	2.7999999999999634	0.24659696394161099	2	Kruskal-Wallis rank sum test	0	3.678499172337686e-5	0	0.3793799445255554
