otu	statistic	p.value	parameter	method	-1	0	1	2	3	4	5	6	7	8	9	p.value.adj
Otu0065	58.000000000000064	8.644743090072021e-9	10	Kruskal-Wallis rank sum test	0	0	0	1.839249586168843e-4	0	0	0	0	0	0	0	7.590084433083234e-7
Otu0194	58.000000000000064	8.644743090072021e-9	10	Kruskal-Wallis rank sum test	0	0	0	1.839249586168843e-4	0	0	0	0	0	0	0	7.590084433083234e-7
Otu0266	58.000000000000064	8.644743090072021e-9	10	Kruskal-Wallis rank sum test	0	0	0	1.839249586168843e-4	0	0	0	0	0	0	0	7.590084433083234e-7
Otu1244	58.000000000000064	8.644743090072021e-9	10	Kruskal-Wallis rank sum test	0	0	0	1.839249586168843e-4	0	0	0	0	0	0	0	7.590084433083234e-7
Otu1849	58.000000000000064	8.644743090072021e-9	10	Kruskal-Wallis rank sum test	0	0	0	1.839249586168843e-4	0	0	0	0	0	0	0	7.590084433083234e-7
Otu0050	52.25113784415082	1.0252283698254113e-7	10	Kruskal-Wallis rank sum test	0.0028324443627000184	0	0	0	3.678499172337686e-5	1.532707988474036e-4	5.780498699387793e-4	0.002154549515226359	0.0024278094537428727	0.007724848261909141	0.007878119060756545	7.501254239222593e-6
Otu0013	46.96173498413077	9.59524917571931e-7	10	Kruskal-Wallis rank sum test	0.018502850836858563	2.2990619827110538e-5	0	0	1.4713996689350744e-4	0.02182576175587027	0.0037310491605139387	0.05633358732494285	0.04072098583777819	0.049935626264484084	0.04849488075531849	5.6054264748224045e-5
Otu0041	46.812245473580326	1.021490018190871e-6	10	Kruskal-Wallis rank sum test	0.002611734412359757	4.5981239654221075e-5	0	0	7.356998344675372e-5	0.0035252283734902826	0.007146798391970362	0.022360019968995507	0.011918337318374104	0.013288578260069892	0.013334559499724112	5.6054264748224045e-5
Otu0020	44.631105765500145	2.534553212708573e-6	10	Kruskal-Wallis rank sum test	0	0	0.03785175648335479	0.11679234872172153	0.02170314511679235	0.0010115872723928637	7.882498226437898e-5	1.57649964528758e-4	3.3106492551039174e-4	0	0	1.2362987337545151e-4
Otu0086	44.208391521178946	3.0197309896307343e-6	10	Kruskal-Wallis rank sum test	0.0019496045613389737	0	0	0	0	0.0010422414321623445	0.0016290496334638324	0.004965973882655877	0.003788854147507817	0.0014254184292808534	0.002299061982711054	1.3256619044478923e-4
Otu0040	43.605194620881015	3.874940177946975e-6	10	Kruskal-Wallis rank sum test	0.00434062902335847	0	0	0	3.3106492551039174e-4	0.0024829869413279383	0.001366299692582569	0.016080296381933312	0.012948317086628655	0.010805591318741953	0.011250076635399424	1.5464533982897471e-4
Otu0068	41.454601301752675	9.373380337640678e-6	10	Kruskal-Wallis rank sum test	0.0024278094537428727	0	0	0	1.1035497517013058e-4	0.0017166329470909203	4.992248876744003e-4	0.0031529992905751595	0.006363803568144197	0.0075409233032922565	0.007571577463061738	2.939224263017327e-4
Otu0117	41.74277908614282	8.331497980665237e-6	10	Kruskal-Wallis rank sum test	5.14989884127276e-4	0	0	0	0	2.1457911838636504e-4	9.721747812606742e-4	0.0011823747339656848	7.356998344675372e-4	0.001149530991355527	0.001195512231009748	2.939224263017327e-4
Otu0163	41.5935402783405	8.855914991844484e-6	10	Kruskal-Wallis rank sum test	7.724848261909141e-4	0	0	0	2.942799337870149e-4	8.583164735454601e-4	6.043248640269055e-4	0.003389474237368297	0.001802464594445466	0.0017013058672061799	7.050456746980565e-4	2.939224263017327e-4
Otu0132	40.91528922569296	1.1680537453496785e-5	10	Kruskal-Wallis rank sum test	2.57494942063638e-4	0	0	0	0	2.4523327815584577e-4	1.57649964528758e-4	0.002154549515226359	0.0033106492551039177	0.002299061982711054	0.001410091349396113	3.418503961390059e-4
Otu0004	38.91394408422228	2.628469138077565e-5	10	Kruskal-Wallis rank sum test	0.071546808901968	9.196247930844215e-5	0.003384219238550671	0.041199190730182085	0.0799705720066213	0.12816504199619888	0.15762368953466985	0.15441814025591843	0.14202685304395807	0.23717123413647231	0.22555330758383912	7.211862197600319e-4
Otu0023	37.913917623530246	3.928366618125252e-5	10	Kruskal-Wallis rank sum test	1.4713996689350744e-4	0.075708111090675	0.01405186683832996	0.0020231745447857274	0.003421004230274048	9.196247930844215e-5	7.882498226437898e-5	2.627499408812633e-5	3.678499172337686e-5	0	0	9.677770796869311e-4
Otu0061	37.853757810175566	4.02417429265219e-5	10	Kruskal-Wallis rank sum test	9.564097848077985e-4	0	0	0	0.0030531543130402797	0.0029734534976396296	9.458997871725479e-4	0.006673848498384088	0.00246459444546625	0.0025749494206363803	0.002391024462019496	9.677770796869311e-4
Otu0188	37.75375078271748	4.188556836913825e-5	10	Kruskal-Wallis rank sum test	0.010115872723928637	0	0	0	0	0	0	0	0	0	0.001103549751701306	9.677770796869311e-4
Otu0070	37.61701204914747	4.4240600983146396e-5	10	Kruskal-Wallis rank sum test	5.885598675740298e-4	0	0	0	0	3.065415976948072e-4	0.0017604246039044642	0.002706324391077012	0.002722089387529888	0.0054257862791980875	0.005609711237814972	9.710811915800634e-4
Otu0103	36.66723389510937	6.460539864605864e-5	10	Kruskal-Wallis rank sum test	0.001802464594445466	0	0	0	0	3.0654159769480714e-5	1.0509997635250532e-4	0.0078036732441735205	0.009122677947397462	0.013702409416957882	0.006222794433204586	0.001350560476458083
