effects	r_sq	p
source	0.352365023986255	1e-4
day	0.10644846035595673	1e-4
source:unique_cage	0.1709407998140867	1e-4
source:run	0.010320796157480263	1e-4
source:day	0.1268552749850919	1e-4
source:unique_cage:run	0.018937056402714272	1e-4
source:unique_cage:day	0.149339990168829	1e-4
