otu	statistic	p.value	parameter	method	-1	0	1	2	3	4	5	6	7	8	9	p.value.adj
Otu0603	53.00000000000024	7.44595318334869e-8	10	Kruskal-Wallis rank sum test	0	0	0	1.839249586168843e-4	0	0	0	0	0	0	0	3.9314632808081086e-5
Otu0078	34.26002691251454	1.6686862302341915e-4	10	Kruskal-Wallis rank sum test	0.009334191649806879	0	0	0	4.0463490895714546e-4	5.14989884127276e-4	0.010330451842315002	0.0038624241309545707	0.009748022806694867	0.007050456746980565	0.007383273338763499	0.022026658239091328
Otu0165	34.65384615384625	1.4303347957462915e-4	10	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	1.2261663907792286e-4	0	0.022026658239091328
Otu0430	34.64150943396234	1.4372672621188964e-4	10	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	1.839249586168843e-4	0	0.022026658239091328
Otu0016	30.370695383496912	7.448260871678566e-4	10	Kruskal-Wallis rank sum test	9.656060327386426e-4	0.5392311936729814	0.2686837103794985	0.26430016553246277	0.09839985286003311	0.0400588559867574	0.016430629636441665	0.027404818833915764	0.0038624241309545707	0.0018392495861688431	0.004860873906303372	0.05618116771780404
Otu0020	30.508253100980447	7.070628234991328e-4	10	Kruskal-Wallis rank sum test	0	0	0.024860523573048864	0.013610446937649439	0.026227699098767703	0.0013978296854883208	3.678499172337686e-4	0.015449696523818283	0.001103549751701306	6.130831953896143e-5	0	0.05618116771780404
Otu0085	31.025902243801546	5.809740845569621e-4	10	Kruskal-Wallis rank sum test	0.004529152105940776	0	3.0654159769480714e-5	0	0.005149898841272761	0.007467353319845503	0.01790202930537674	0.0073569983446753725	0.02220893875298878	0.017840720985837777	0.009432722877637353	0.05618116771780404
Otu0073	28.45488978841895	0.001525877910905316	10	Kruskal-Wallis rank sum test	0.026830053338238	5.885598675740298e-4	3.0654159769480714e-5	0	0	3.678499172337686e-5	4.598123965422108e-4	1.3794371896266324e-4	0.0013334559499724114	0	0.007041698415617856	0.10070794211975086
Otu0151	28.076265044530675	0.001755179674841235	10	Kruskal-Wallis rank sum test	0.0012644840904910797	0	6.130831953896143e-5	0	6.621298510207835e-4	3.3106492551039174e-4	0.0017472871068604009	5.97756115504874e-4	7.356998344675372e-4	0.0013487830298571516	8.933497989962952e-4	0.10297054092401911
Otu0005	26.617282347282327	0.002992942587729435	10	Kruskal-Wallis rank sum test	0.34862975905830423	0.1092146404267059	0.37784317331861933	0.47507816810741216	0.18646312304579732	0.09556740849733308	0.16228312181963092	0.2637943718962663	0.2386426338054074	0.28637116056648887	0.39609553587850443	0.15802736863211417
Otu0126	25.635056452903395	0.004263292919557746	10	Kruskal-Wallis rank sum test	0.0013334559499724114	0	0	0	0	1.1035497517013058e-4	0.0020231745447857274	4.138311568879897e-4	0.0019771933051315064	0	0.0012349247221419375	0.16867220582664785
Otu0177	26.0576313972902	0.0036634432362932434	10	Kruskal-Wallis rank sum test	0.001149530991355527	0	0	0	0	2.207099503402612e-4	8.5831647354546e-4	2.299061982711054e-4	3.678499172337686e-4	0.001103549751701306	0.0010247247694369268	0.16867220582664785
Otu0293	25.50112680151935	0.00447236909388839	10	Kruskal-Wallis rank sum test	5.057936361964318e-4	0	0	0	0	2.207099503402612e-4	2.1457911838636504e-4	1.3794371896266324e-4	1.3794371896266324e-4	0	3.15299929057516e-4	0.16867220582664785
Otu0331	25.673309880142526	0.0042053220551388605	10	Kruskal-Wallis rank sum test	7.356998344675372e-4	0	6.130831953896143e-5	0	0	7.356998344675372e-5	6.130831953896143e-5	9.196247930844215e-5	9.196247930844215e-5	0	2.8902493496938965e-4	0.16867220582664785
Otu0117	25.2907632097114	0.004820783771325615	10	Kruskal-Wallis rank sum test	0.0015863527680706271	3.678499172337686e-5	6.130831953896143e-5	0	0.0013242597020415672	0.0012874747103181902	0.004352890687266262	0.0016093433878977376	0.0017013058672061799	0.002207099503402612	0.0013925746866706955	0.16969158875066165
