day	p.value	method	Schloss	Young	Jackson	Charles River	Taconic	Envigo	Young-Schloss	Jackson-Schloss	Charles River-Schloss	Taconic-Schloss	Envigo-Schloss	Jackson-Young	Charles River-Young	Taconic-Young	Envigo-Young	Charles River-Jackson	Taconic-Jackson	Envigo-Jackson	Taconic-Charles River	Envigo-Charles River	Envigo-Taconic
3	0.010674238688097687	Kruskal-Wallis rank sum test	1128571.4285714286	1488750	43289999.99999999	5940000	18263999.999999996	12352857.142857142	0.4105244558196015	0.046620046620046623	1	0.7795996741311123	0.046620046620046623	0.05623889488802761	0.7795996741311123	0.8924408924408924	0.046620046620046623	0.18382505557279644	0.3192640692640693	0.5743006993006994	0.8924408924408924	0.18382505557279644	0.37878787878787884
4	0.0033451884734460287	Kruskal-Wallis rank sum test	106666.66666666667	312500	4352857.142857143	86000	8900000	4993333.333333333	0.9154768581744984	0.06185260837048911	1	0.08928571428571427	0.06185260837048911	0.06185260837048911	0.7407003461458138	0.11517754128045422	0.06185260837048911	0.06185260837048911	0.3513986013986014	0.4020979020979021	0.08928571428571427	0.06185260837048911	0.8066933066933066
5	1.278383518275863e-4	Kruskal-Wallis rank sum test	3937.5	27444.444444444445	427714.28571428574	3487.5	2408000	151666.66666666666	0.6528058349403454	0.009909912497924268	0.4216402591327154	0.012122954051956753	0.07632132068630992	0.012122954051956753	0.26114250660927524	0.038366549532979584	0.20127036412378713	0.009909912497924268	0.4456891907446017	0.2062937062937063	0.012122954051956753	0.06987788342232176	0.29283392021349214
6	4.403849732926133e-4	Kruskal-Wallis rank sum test	2342.8571428571427	26875	872714.2857142857	914.2857142857143	17186666.666666668	146500	0.9408026565073495	0.019877190898449436	0.8928571428571428	0.04856268497258644	0.07950471612743587	0.024864249986307922	0.7298291690949599	0.04856268497258644	0.09309870765607933	0.019877190898449436	0.8928571428571428	0.8333333333333333	0.04856268497258644	0.08784990897777589	0.6000000000000001
7	6.909791768837951e-4	Kruskal-Wallis rank sum test	6083.333333333333	644.4444444444445	159800	175	398800	1689357.142857143	0.8653232260570141	0.05849202676295064	0.8653232260570141	0.10821932549733568	0.4482409664229537	0.012284442113719473	0.8653232260570141	0.012284442113719473	0.16652488756882466	0.012284442113719473	0.6845238095238095	0.17295091877633192	0.012284442113719473	0.10821932549733568	0.2896443849752508
