family	statistic	p.value	parameter	method	-1	0	1	2	3	4	5	6	7	8	9	p.value.adj
Sutterellaceae	48.20260012245029	5.699744281895688e-7	10	Kruskal-Wallis rank sum test	7.050456746980565e-4	0.07007540923303292	0.043015449696523815	0.034393967261357364	0.017840720985837777	0.003914974119130823	0.0024140150818466066	0.001970624556609475	0.0018129745920807169	0.0013794371896266324	0.003954386610263013	2.792874698128887e-5
Enterobacteriaceae	43.23268734162523	4.518515714481346e-6	10	Kruskal-Wallis rank sum test	3.371957574642879e-4	0.287070075409233	0.06375298878057753	0.015081846606584513	0.01457605297038808	8.670748049081689e-4	5.747654956777635e-4	1.839249586168843e-4	4.992248876744003e-4	1.839249586168843e-4	3.9084053706087916e-4	1.1070363500479297e-4
Clostridiales unclassified	40.45373324848444	1.409412299877813e-5	10	Kruskal-Wallis rank sum test	0.045061614861136655	3.678499172337686e-5	0.005057936361964319	0.00469008644473055	0.012644840904910797	0.015134396594760766	0.02213996689350745	0.031319792953046585	0.021466670169999213	0.0287842560235424	0.024967813132242046	2.3020400898004278e-4
Enterococcaceae	38.135668817361385	3.594225838035344e-5	10	Kruskal-Wallis rank sum test	9.196247930844215e-5	0.023137759794004047	0.008207651278278463	0	1.839249586168843e-4	1.0509997635250532e-4	4.5981239654221075e-5	0	5.254998817625266e-5	9.196247930844215e-5	0	4.4029266515932964e-4
Rikenellaceae	32.28642337406536	3.587124861754173e-4	10	Kruskal-Wallis rank sum test	0.006437373551590951	7.356998344675372e-5	0.0015173809085892954	7.356998344675372e-4	0.007058120286922935	0.011823747339656849	0.016484274416038256	0.029611918337318376	0.02677421897580073	0.05002758874379253	0.03289957697259518	0.00351538236451909
Deferribacteraceae	31.01832883282187	5.826499891447346e-4	10	Kruskal-Wallis rank sum test	0.004046349089571455	0.009931947765311753	0.012621850285083685	0.009564097848077983	0.007563913923119368	0.015003021624320134	0.0383943351112746	0.05249743818807641	0.032186867757954755	0.10290601434614677	0.02563454110722825	0.004758308244681999
Lachnospiraceae	28.248051629943276	0.001647279407457023	10	Kruskal-Wallis rank sum test	0.24176935810189443	0.012580467169394887	0.13164428913003495	0.2883943351112746	0.13686315983078903	0.23053679812922043	0.23606768438477102	0.2565227672823774	0.1922015817546441	0.2715652013978297	0.268093617803936	0.01021754451587803
Ruminococcaceae	28.213955917749267	0.0016681705332045763	10	Kruskal-Wallis rank sum test	0.03653975844522102	0.006584513518484458	0.016806143093617804	0.038716203788854146	0.02087548280301637	0.03757324154602065	0.0414520875482803	0.042907065345910295	0.034315142279092985	0.051682913371344494	0.04050947213536877	0.01021754451587803
Firmicutes unclassified	27.534610715242724	0.002142126693058495	10	Kruskal-Wallis rank sum test	0.011035497517013059	2.2070995034026116e-4	0.0013104653301453007	6.437373551590951e-4	0.002804855618907486	0.007751123255997267	0.0075409233032922565	0.016789721222312724	0.006542473527943456	0.0031267242964870333	0.0061614861136656245	0.011662689773318474
Clostridia unclassified	26.492230902287375	0.003131630175576716	10	Kruskal-Wallis rank sum test	6.437373551590951e-4	0	0	8.276623137759794e-4	0.0014254184292808534	0.003021624320134528	0.002092146404267059	0.0029690743319582755	0.001970624556609475	0.0024829869413279383	0.0017013058672061799	0.01534498786032591
