otu	statistic	p.value	method	alternative	-1	0	p.value.adj	source
Lactobacillus (OTU 6)	91	2.4414062500000016e-4	Wilcoxon signed rank test	two.sided	0.02084482864324689	0.0820305315431304	0.02880859375000002	Schloss
Lactobacillus (OTU 18)	91	2.4414062500000016e-4	Wilcoxon signed rank test	two.sided	0.013825026056035805	0.008723298037257942	0.02880859375000002	Schloss
Lactobacillus (OTU 6)	136	3.0517578125000014e-5	Wilcoxon signed rank test	two.sided	0.020116792348721723	0.21514622034210043	0.004608154296875002	Young
Lactobacillus (OTU 18)	136	3.0517578125000014e-5	Wilcoxon signed rank test	two.sided	0.024760897553798053	0.014369137391944087	0.004608154296875002	Young
