day	statistic	p.value	parameter	method	Schloss	Young	Jackson	Charles River	Taconic	Envigo	p.value.adj
1	26.869023888625208	6.049190983984369e-5	5	Kruskal-Wallis rank sum test	1.21808775	1.189733857142857	0.7648168	2.392154	1.869675	1.781321125	5.147936855578805e-4
5	25.893083660525548	9.359885191961464e-5	5	Kruskal-Wallis rank sum test	2.23573	2.467243625	1.4592802857142857	3.365354375	2.7905571666666664	3.1276691666666667	5.147936855578805e-4
9	22.145916724177596	4.911887348567958e-4	5	Kruskal-Wallis rank sum test	2.97513275	2.630656777777778	2.4307718333333335	3.60332975	2.5443624285714286	2.659623	0.0018010253611415845
3	21.48315934065934	6.5628896010021e-4	5	Kruskal-Wallis rank sum test	1.7728623333333333	1.384798	1.3970064	2.90712825	2.505468	2.085722	0.0018047946402755775
0	19.093864468864467	0.0018462674573261632	5	Kruskal-Wallis rank sum test	0.47829714285714287	0.665336	0.8015755	1.4890422	1.3414196	1.0642443333333333	0.004061788406117559
6	17.821907665505222	0.003178087848571933	5	Kruskal-Wallis rank sum test	2.745229625	2.8426915714285714	2.19867	3.605153714285714	2.80183725	2.667069142857143	0.005826494389048543
4	17.368580139372824	0.003851307251524159	5	Kruskal-Wallis rank sum test	2.0883890000000003	2.1228214285714286	1.4654283333333333	3.2420294285714286	2.3206204	2.4573674285714286	0.006052054252395107
-1	11.808231707317077	0.037512058648198884	5	Kruskal-Wallis rank sum test	2.6840798333333336	3.0866540000000002	2.555007	3.581462	2.60670775	2.772070857142857	0.051579080641273464
2	10.778947368421058	0.0559432991046662	5	Kruskal-Wallis rank sum test	1.9951623333333333	1.6137376666666667	1.434306	3.2473945	1.490969	1.8977697999999998	0.0658068798481817
8	10.603896103896105	0.059824436225619726	5	Kruskal-Wallis rank sum test	2.867673	2.38891825	2.11342325	3.8064264999999997	2.9253573333333334	3.08485125	0.0658068798481817
7	9.197094086567773	0.101456301755732	5	Kruskal-Wallis rank sum test	2.6804256	2.5200797777777777	2.2395942	3.2608784285714285	2.4895215	2.6917468571428573	0.101456301755732
