otu	statistic	p.value	method	alternative	-1	0	p.value.adj
Lactobacillus (OTU 6)	91	2.4414062500000016e-4	Wilcoxon signed rank test	two.sided	0.02084482864324689	0.0820305315431304	0.02880859375000002
Lactobacillus (OTU 18)	91	2.4414062500000016e-4	Wilcoxon signed rank test	two.sided	0.013825026056035805	0.008723298037257942	0.02880859375000002
Enterobacteriaceae (OTU 1)	78	0.0024304220965479335	Wilcoxon signed rank test with continuity correction	two.sided	2.758874379253265e-4	0.8783467773719751	0.11923542547330239
Turicibacter (OTU 14)	78	0.002516496563841506	Wilcoxon signed rank test with continuity correction	two.sided	0.01704371283183128	0.0012349247221419375	0.11923542547330239
Lactobacillus (OTU 31)	78	0.0025261742685021692	Wilcoxon signed rank test with continuity correction	two.sided	0.00815400649868187	0.0017341496098163378	0.11923542547330239
Bacteroides (OTU 2)	21	0.0355223366234146	Wilcoxon signed rank test with continuity correction	two.sided	9.196247930844216e-5	0.006857773457000973	0.18896617661118043
Bacteroides (OTU 3)	55	0.005889270041817481	Wilcoxon signed rank test with continuity correction	two.sided	0.1052357304886273	6.568748522031582e-4	0.18896617661118043
Akkermansia (OTU 4)	28	0.022494271222449663	Wilcoxon signed rank test with continuity correction	two.sided	0.016062779719207897	2.627499408812633e-4	0.18896617661118043
Porphyromonadaceae (OTU 8)	28	0.022494271222449663	Wilcoxon signed rank test with continuity correction	two.sided	0.14067193918214702	7.356998344675372e-4	0.18896617661118043
Lachnospiraceae (OTU 9)	28	0.022494271222449663	Wilcoxon signed rank test with continuity correction	two.sided	0.02427809453742873	2.627499408812633e-5	0.18896617661118043
Porphyromonadaceae (OTU 10)	21	0.036031686218233556	Wilcoxon signed rank test with continuity correction	two.sided	0.06989148427441604	0.0013137497044063166	0.18896617661118043
Lachnospiraceae (OTU 13)	21	0.036031686218233556	Wilcoxon signed rank test with continuity correction	two.sided	0.02007847464900987	2.627499408812633e-5	0.18896617661118043
Lachnospiraceae (OTU 17)	21	0.036031686218233556	Wilcoxon signed rank test with continuity correction	two.sided	0.00383176997118509	5.254998817625266e-5	0.18896617661118043
Porphyromonadaceae (OTU 22)	21	0.036031686218233556	Wilcoxon signed rank test with continuity correction	two.sided	0.1532401446876341	2.627499408812633e-5	0.18896617661118043
Lachnospiraceae (OTU 28)	36	0.014029060898300376	Wilcoxon signed rank test with continuity correction	two.sided	0.0019312120654772851	5.254998817625266e-5	0.18896617661118043
Ruminococcaceae (OTU 37)	21	0.036031686218233556	Wilcoxon signed rank test with continuity correction	two.sided	0.003985040770032494	0	0.18896617661118043
Clostridium (OTU 41)	28	0.022254124823099145	Wilcoxon signed rank test with continuity correction	two.sided	0.0031267242964870333	2.627499408812633e-5	0.18896617661118043
Lachnospiraceae (OTU 42)	28	0.022494271222449663	Wilcoxon signed rank test with continuity correction	two.sided	0.002697566059714303	2.627499408812633e-5	0.18896617661118043
Lachnospiraceae (OTU 44)	28	0.022494271222449663	Wilcoxon signed rank test with continuity correction	two.sided	0.006284102752743547	7.8824982264379e-5	0.18896617661118043
Bifidobacterium (OTU 46)	28	0.022254124823099145	Wilcoxon signed rank test with continuity correction	two.sided	0.0016859787873214397	1.57649964528758e-4	0.18896617661118043
Clostridiales (OTU 51)	21	0.036031686218233556	Wilcoxon signed rank test with continuity correction	two.sided	0.008276623137759793	0	0.18896617661118043
Clostridium (OTU 61)	21	0.03501498101966251	Wilcoxon signed rank test with continuity correction	two.sided	6.437373551590951e-4	0	0.18896617661118043
Ruminococcaceae (OTU 66)	21	0.0355223366234146	Wilcoxon signed rank test with continuity correction	two.sided	0.0010422414321623445	0	0.18896617661118043
