otu	statistic	p.value	parameter	method	-1	0	1	2	3	4	5	6	7	8	9	p.value.adj
Otu0001	56.71175831042945	1.5098094418086566e-8	10	Kruskal-Wallis rank sum test	2.758874379253265e-4	0.8783467773719751	0.5300257494942063	0.06682606829746797	0.04579731469560419	0.0048510207835203234	5.51774875850653e-4	3.448592974066581e-4	2.2070995034026116e-4	4.138311568879897e-4	2.98878057752437e-4	5.578738245754787e-6
Otu0017	53.19201851440168	6.858873756905404e-8	10	Kruskal-Wallis rank sum test	0.00383176997118509	5.254998817625266e-5	0	7.970081540064987e-4	2.1457911838636504e-4	0.0024370057016737173	0.005011955122310097	0.009035313592054442	0.008644473054993563	0.010345778922199744	0.013794371896266323	5.578738245754787e-6
Otu0020	54.82355013400381	3.406998771194073e-8	10	Kruskal-Wallis rank sum test	0	0	0.05464870332904175	0.0014713996689350744	0.0018392495861688431	9.196247930844215e-5	2.2990619827110538e-5	0	0	0	0	5.578738245754787e-6
Otu0037	53.02178945162937	7.376900966734531e-8	10	Kruskal-Wallis rank sum test	0.003985040770032494	0	0	0	3.065415976948072e-4	0.0033566304947581387	0.006230457973146956	0.012989700202317454	0.012801177119735148	0.013012690822144565	0.012070075409233032	5.578738245754787e-6
Otu0042	52.92079772574632	7.702399944829094e-8	10	Kruskal-Wallis rank sum test	0.002697566059714303	2.627499408812633e-5	0	0	1.2261663907792289e-4	0.002000183924958617	0.00765587640242781	0.008368585617068236	0.005002758874379253	0.008276623137759793	0.008299613757586904	5.578738245754787e-6
Otu0051	54.033987330234226	4.7820454268220176e-8	10	Kruskal-Wallis rank sum test	0.008276623137759793	0	0	0	0	0	7.586904542946478e-4	0.010874563178223285	0.011035497517013059	0.002942799337870149	0.019978848629759058	5.578738245754787e-6
Otu0055	54.08313219669741	4.682294809398172e-8	10	Kruskal-Wallis rank sum test	7.663539942370179e-4	0	0	8.583164735454601e-4	5.824290356201337e-4	0.0025519588008092696	0.0032186867757954753	0.00636840169210962	0.004046349089571455	0.013840353135920545	0.007563913923119368	5.578738245754787e-6
Otu0077	52.582852170879185	8.898840239161167e-8	10	Kruskal-Wallis rank sum test	0.0011342039114707865	0	0	8.5831647354546e-4	2.758874379253265e-4	0.0024140150818466066	0.002161118263748391	0.003747471031819018	0.004561338973698731	0.007219054625712709	0.006575317270553614	5.6396400015683895e-6
Otu0009	51.58547880955591	1.3614896359569716e-7	10	Kruskal-Wallis rank sum test	0.02427809453742873	2.627499408812633e-5	6.207467353319845e-4	0.0171663294709092	0.010974189197474097	0.01747287106860401	0.023335479124517198	0.06182177671510024	0.06367482067316535	0.0615228986573478	0.08134081294831709	6.902752454301846e-6
Otu0241	51.61739875062756	1.3431140452894285e-7	10	Kruskal-Wallis rank sum test	6.130831953896144e-4	0	0	0	3.0654159769480714e-5	6.667279749862057e-4	9.196247930844215e-5	0.0024599963215008276	8.092698179142909e-4	0.0036325179326834652	0.002092146404267059	6.902752454301846e-6
