effects	r_sq	p	day
source	0.5547352796934133	1e-4	-1
source:unique_cage	0.3457830910017077	1e-4	-1
source	0.7228970258915711	1e-4	0
source:unique_cage	0.26776481813400466	1e-4	0
source	0.5917073212519491	1e-4	1
source:unique_cage	0.28700555409112666	1e-4	1
source	0.4920659520869582	1e-4	7
source:unique_cage	0.41167294260532794	1e-4	7
