genus	statistic	p.value	parameter	method	-1	0	1	p.value.adj
Acetatifactor	19.285714285714278	6.488739708550802e-5	2	Kruskal-Wallis rank sum test	0.002850836858561707	0	0	0.0022246450355149676
Enterobacteriaceae unclassified	17.843137254901965	1.3347870213089804e-4	2	Kruskal-Wallis rank sum test	2.758874379253265e-4	0.8783467773719751	0.5300487401140335	0.0022246450355149676
Peptostreptococcaceae unclassified	18.571428571428577	9.273966551400908e-5	2	Kruskal-Wallis rank sum test	0	0	0.05464870332904175	0.0022246450355149676
Clostridium XlVb	16.886959876543212	2.1529961575924496e-4	2	Kruskal-Wallis rank sum test	6.743915149285758e-4	0	2.2990619827110538e-5	0.002691245196990562
Clostridiales unclassified	16.071428571428562	3.2369323840419065e-4	2	Kruskal-Wallis rank sum test	0.015081846606584513	2.627499408812633e-5	4.5981239654221075e-5	0.0032369323840419064
Clostridium XlVa	15.209310305387168	4.981271697008439e-4	2	Kruskal-Wallis rank sum test	0.0033106492551039177	2.627499408812633e-5	4.5981239654221075e-5	0.003422571937855864
Enterorhabdus	15.420120266536651	4.482945189090481e-4	2	Kruskal-Wallis rank sum test	9.196247930844216e-4	2.627499408812633e-5	2.2990619827110538e-5	0.003422571937855864
Firmicutes unclassified	14.803408069917513	6.102120520101607e-4	2	Kruskal-Wallis rank sum test	0.001410091349396113	2.627499408812633e-5	2.2990619827110538e-5	0.003422571937855864
Lactobacillus	14.784322820037104	6.160629488140555e-4	2	Kruskal-Wallis rank sum test	0.042823861197964566	0.09248797919020468	0.14904818833915762	0.003422571937855864
Bifidobacterium	14.10239361702127	8.663714558538193e-4	2	Kruskal-Wallis rank sum test	0.0016859787873214397	1.57649964528758e-4	0.011426338054073937	0.004331857279269096
Oscillibacter	13.237123420796912	0.001335350185357238	2	Kruskal-Wallis rank sum test	0.002850836858561707	2.627499408812633e-5	0	0.006069773569805628
Clostridia unclassified	12.886417859577373	0.0015912921341590127	2	Kruskal-Wallis rank sum test	4.2915823677273e-4	0	2.2990619827110538e-5	0.0065751307520339536
Porphyromonadaceae unclassified	12.743068925683483	0.0017095339955288278	2	Kruskal-Wallis rank sum test	0.6408558641407639	0.0027588743792532648	0.011564281773036601	0.0065751307520339536
Lachnospiraceae unclassified	11.021448828222388	0.0040431773873317025	2	Kruskal-Wallis rank sum test	0.09735761142787076	0.0011560997398775586	0.009702041567040647	0.014439919240470367
Akkermansia	10.500794721125128	0.005245433656542904	2	Kruskal-Wallis rank sum test	0.016062779719207897	2.627499408812633e-4	0.12293084421556007	0.017484778855143015
Ruminococcaceae unclassified	10.2257786015271	0.006018668035139862	2	Kruskal-Wallis rank sum test	0.009165593771074735	2.8902493496938965e-4	0.0023680338421923856	0.01880833760981207
Butyricicoccus	9.724922839506164	0.007731430156230734	2	Kruskal-Wallis rank sum test	3.985040770032493e-4	5.254998817625266e-5	2.2990619827110538e-5	0.02273950045950216
Coriobacteriaceae unclassified	9.41208937611816	0.009040464817281045	2	Kruskal-Wallis rank sum test	6.437373551590951e-4	7.882498226437898e-5	6.897185948133162e-5	0.025112402270225122
