family	statistic	p.value	parameter	method	-1	0	1	p.value.adj
Anaeroplasmataceae	20.76607387140903	3.095311444253715e-5	2	Kruskal-Wallis rank sum test	0.0010345778922199742	0	0	4.4621791063798266e-4
Clostridiales unclassified	19.44192160611854	6.0012312824181686e-05	2	Kruskal-Wallis rank sum test	0.021634173257311016	4.5981239654221075e-5	0	4.4621791063798266e-4
Enterobacteriaceae	19.302173297465657	6.435559709683284e-5	2	Kruskal-Wallis rank sum test	4.368217767151002e-4	0.756667279749862	0.5494101263827216	4.4621791063798266e-4
Firmicutes unclassified	18.659529553679125	8.874310907579935e-5	2	Kruskal-Wallis rank sum test	0.0018162589663417326	4.5981239654221075e-5	0	4.4621791063798266e-4
Peptostreptococcaceae	19.475409836065566	5.901582568761893e-5	2	Kruskal-Wallis rank sum test	2.2990619827110538e-5	0	0.06219291100659503	4.4621791063798266e-4
Rikenellaceae	18.64828209764918	8.924358212759653e-5	2	Kruskal-Wallis rank sum test	0.13403531359205445	4.5981239654221075e-5	0	4.4621791063798266e-4
Clostridia unclassified	17.34654850746269	1.7109796791464838e-4	2	Kruskal-Wallis rank sum test	5.747654956777635e-4	0	0	7.332770053484931e-4
Lachnospiraceae	15.813873626373626	3.6818066116315885e-4	2	Kruskal-Wallis rank sum test	0.1795567408497333	7.356998344675372e-4	0.004177724060012086	0.0013806774793618456
Lactobacillaceae	15.372670807453417	4.590573529601369e-4	2	Kruskal-Wallis rank sum test	0.056970755931579915	0.23025105756851205	0.20281667936624714	0.0015301911765337897
Coriobacteriaceae	14.994248466257668	5.546772010639239e-4	2	Kruskal-Wallis rank sum test	0.0027588743792532648	1.839249586168843e-4	2.1019995270501064e-4	0.0016344561671059064
Verrucomicrobiaceae	14.839494516667868	5.99300594605499e-4	2	Kruskal-Wallis rank sum test	0.10952731285635461	1.6093433878977377e-4	0.03289629259833417	0.0016344561671059064
Bifidobacteriaceae	14.010665464924138	9.07032086043596e-4	2	Kruskal-Wallis rank sum test	0.007494942063638036	0	0.004755773929950866	0.00226758021510899
Unclassified	11.308754430797133	0.0035021534950429234	2	Kruskal-Wallis rank sum test	0.01285175648335479	1.3794371896266324e-4	2.627499408812633e-5	0.008081892680868284
