otu	statistic	p.value	method	alternative	1	2	p.value.adj
Porphyromonadaceae (OTU 7)	0	0.06360256962075364	Wilcoxon rank sum test with continuity correction	two.sided	0	0.05241861320581203	0.5930493786817089
Lachnospiraceae (OTU 35)	9	0.07652250047505922	Wilcoxon rank sum test with continuity correction	two.sided	0.0027588743792532648	0	0.5930493786817089
Porphyromonadaceae (OTU 52)	0	0.06360256962075364	Wilcoxon rank sum test with continuity correction	two.sided	0	0.13500091962479308	0.5930493786817089
Porphyromonadaceae (OTU 87)	0	0.06360256962075364	Wilcoxon rank sum test with continuity correction	two.sided	0	0.10961927533566306	0.5930493786817089
Porphyromonadaceae (OTU 88)	0	0.07652250047505922	Wilcoxon rank sum test with continuity correction	two.sided	0	0.051498988412727605	0.5930493786817089
Lachnospiraceae (OTU 93)	9	0.07652250047505922	Wilcoxon rank sum test with continuity correction	two.sided	0.0020231745447857274	1.839249586168843e-4	0.5930493786817089
Alistipes (OTU 100)	0	0.06360256962075364	Wilcoxon rank sum test with continuity correction	two.sided	0	0.03770461651646129	0.5930493786817089
Bacteria (OTU 129)	0	0.06360256962075364	Wilcoxon rank sum test with continuity correction	two.sided	0	0.00809269817914291	0.5930493786817089
Acetatifactor (OTU 132)	9	0.05934643879191985	Wilcoxon rank sum test with continuity correction	two.sided	3.678499172337686e-4	0	0.5930493786817089
Ruminococcaceae (OTU 133)	0	0.07219819770165758	Wilcoxon rank sum test with continuity correction	two.sided	0	5.51774875850653e-4	0.5930493786817089
Porphyromonadaceae (OTU 139)	0	0.06360256962075364	Wilcoxon rank sum test with continuity correction	two.sided	0	0.06363803568144197	0.5930493786817089
Porphyromonadaceae (OTU 140)	0	0.06360256962075364	Wilcoxon rank sum test with continuity correction	two.sided	0	0.05205076328857826	0.5930493786817089
Porphyromonadaceae (OTU 157)	0	0.06360256962075364	Wilcoxon rank sum test with continuity correction	two.sided	0	0.016737171234136473	0.5930493786817089
Clostridiales (OTU 187)	0	0.06360256962075364	Wilcoxon rank sum test with continuity correction	two.sided	0	7.356998344675372e-4	0.5930493786817089
Erysipelotrichaceae (OTU 189)	0	0.07652250047505922	Wilcoxon rank sum test with continuity correction	two.sided	0	0.0060695236343571825	0.5930493786817089
Lachnospiraceae (OTU 202)	9	0.05934643879191985	Wilcoxon rank sum test with continuity correction	two.sided	5.51774875850653e-4	0	0.5930493786817089
Lachnospiraceae (OTU 207)	9	0.06360256962075364	Wilcoxon rank sum test with continuity correction	two.sided	5.51774875850653e-4	0	0.5930493786817089
Porphyromonadaceae (OTU 222)	0	0.06360256962075364	Wilcoxon rank sum test with continuity correction	two.sided	0	0.01967997057200662	0.5930493786817089
Porphyromonadaceae (OTU 227)	0	0.06360256962075364	Wilcoxon rank sum test with continuity correction	two.sided	0	0.01618539635828582	0.5930493786817089
Porphyromonadaceae (OTU 228)	0	0.06360256962075364	Wilcoxon rank sum test with continuity correction	two.sided	0	0.01066764759977929	0.5930493786817089
Porphyromonadaceae (OTU 233)	0	0.06360256962075364	Wilcoxon rank sum test with continuity correction	two.sided	0	0.009012322972227331	0.5930493786817089
Bacteroidales (OTU 289)	0	0.06360256962075364	Wilcoxon rank sum test with continuity correction	two.sided	0	0.0084605480963766775	0.5930493786817089
Olsenella (OTU 320)	0	0.07652250047505922	Wilcoxon rank sum test with continuity correction	two.sided	0	7.356998344675372e-4	0.5930493786817089
Porphyromonadaceae (OTU 459)	0	0.06360256962075364	Wilcoxon rank sum test with continuity correction	two.sided	0	0.0027588743792532648	0.5930493786817089
Ruminococcaceae (OTU 467)	0	0.05934643879191985	Wilcoxon rank sum test with continuity correction	two.sided	0	5.51774875850653e-4	0.5930493786817089
Firmicutes (OTU 567)	0	0.05934643879191985	Wilcoxon rank sum test with continuity correction	two.sided	0	7.356998344675372e-4	0.5930493786817089
Porphyromonadaceae (OTU 608)	0	0.05934643879191985	Wilcoxon rank sum test with continuity correction	two.sided	0	5.51774875850653e-4	0.5930493786817089
Porphyromonadaceae (OTU 886)	0	0.05934643879191985	Wilcoxon rank sum test with continuity correction	two.sided	0	1.839249586168843e-4	0.5930493786817089
Bacteroides (OTU 3)	9	0.1	Wilcoxon rank sum test	two.sided	0.17840720985837777	0.030899393047636566	0.6200000000000001
Akkermansia (OTU 4)	9	0.1	Wilcoxon rank sum test	two.sided	0.025933419164980688	0.004230274048188339	0.6200000000000001
Porphyromonadaceae (OTU 8)	9	0.1	Wilcoxon rank sum test	two.sided	0.23781497149163142	0.025013794371896266	0.6200000000000001
Turicibacter (OTU 14)	0	0.1	Wilcoxon rank sum test	two.sided	0.004965973882655877	0.025013794371896266	0.6200000000000001
Lachnospiraceae (OTU 17)	9	0.1	Wilcoxon rank sum test	two.sided	0.004965973882655877	9.196247930844216e-4	0.6200000000000001
Lachnospiraceae (OTU 48)	9	0.1	Wilcoxon rank sum test	two.sided	0.0020231745447857274	9.196247930844216e-4	0.6200000000000001
Lachnospiraceae (OTU 181)	9	0.1	Wilcoxon rank sum test	two.sided	0.0016553246275519589	3.678499172337686e-4	0.6200000000000001
Lachnospiraceae (OTU 67)	0.5	0.11568802229950939	Wilcoxon rank sum test with continuity correction	two.sided	0	0.0031267242964870333	0.6606394957629879
Ruminococcaceae (OTU 80)	8.5	0.11568802229950939	Wilcoxon rank sum test with continuity correction	two.sided	7.356998344675372e-4	0	0.6606394957629879
Clostridiales (OTU 356)	8.5	0.11014892418594702	Wilcoxon rank sum test with continuity correction	two.sided	3.678499172337686e-4	0	0.6606394957629879
Enterobacteriaceae (OTU 1)	7	0.30169958247834794	Wilcoxon rank sum test with continuity correction	two.sided	1.839249586168843e-4	1.839249586168843e-4	0.6661967980826773
Bacteroides (OTU 2)	6	0.5049850750938458	Wilcoxon rank sum test with continuity correction	two.sided	0	0	0.6661967980826773
Parabacteroides (OTU 5)	6.5	0.4795001221869535	Wilcoxon rank sum test with continuity correction	two.sided	1.839249586168843e-4	0	0.6661967980826773
Lactobacillus (OTU 6)	2	0.4	Wilcoxon rank sum test	two.sided	0.014713996689350745	0.021887070075409232	0.6661967980826773
Lachnospiraceae (OTU 13)	7	0.4	Wilcoxon rank sum test	two.sided	0.01581754644105205	0.0020231745447857274	0.6661967980826773
Lachnospiraceae (OTU 27)	8	0.18403862719642533	Wilcoxon rank sum test with continuity correction	two.sided	0.0012874747103181902	0	0.6661967980826773
