day_1
S11D1E2
S12D1E2
S21D1E2
S22D1E2
Y11D1E2
Y12D1E2
J11D1E2
J12D1E2
J22D1E2
C11D1E2
C12D1E2
C21D1E2
C22D1E2
T11D1E2
T21D1E2
T22D1E2
E12D1E2
E21D1E2
E22D1E2
S12D1E1
S21D1E1
Y11D1E1
Y12D1E1
Y13D1E1
Y21D1E1
Y22D1E1
J22D1E1
C11D1E1
C12D1E1
C21D1E1
C22D1E1
T12D1E1
E11D1E1
E12D1E1
E21D1E1
E22D1E1
