otu	statistic	p.value	method	alternative	-1	0	p.value.adj
Enterobacteriaceae (OTU 1)	0	0.0625	Wilcoxon signed rank test	two.sided	0.0016553246275519587	0.536656244252345	0.5592769883565297
Bacteroides (OTU 3)	10	0.10034824646229079	Wilcoxon signed rank test with continuity correction	two.sided	0.02063638035681442	0	0.5592769883565297
Akkermansia (OTU 4)	15	0.0625	Wilcoxon signed rank test	two.sided	0.04645944454662498	0	0.5592769883565297
Porphyromonadaceae (OTU 7)	15	0.0625	Wilcoxon signed rank test	two.sided	0.13238918521243334	1.1035497517013058e-4	0.5592769883565297
Porphyromonadaceae (OTU 8)	10	0.10034824646229079	Wilcoxon signed rank test with continuity correction	two.sided	0.02354239470296119	0	0.5592769883565297
Lachnospiraceae (OTU 9)	10	0.10034824646229079	Wilcoxon signed rank test with continuity correction	two.sided	0.013904726871436455	3.678499172337686e-5	0.5592769883565297
Porphyromonadaceae (OTU 10)	6	0.1814492077214203	Wilcoxon signed rank test with continuity correction	two.sided	0.016516461283796212	0	0.5592769883565297
Bacteroides (OTU 11)	14	0.125	Wilcoxon signed rank test	two.sided	0.01276439212801177	2.57494942063638e-4	0.5592769883565297
Lachnospiraceae (OTU 13)	15	0.0625	Wilcoxon signed rank test	two.sided	0.004892403899209122	0	0.5592769883565297
Mucispirillum (OTU 19)	15	0.0625	Wilcoxon signed rank test	two.sided	0.01736251609343388	3.310649255103918e-4	0.5592769883565297
Alistipes (OTU 21)	6	0.1814492077214203	Wilcoxon signed rank test with continuity correction	two.sided	0.0012139047268714363	0	0.5592769883565297
Porphyromonadaceae (OTU 22)	10	0.10034824646229079	Wilcoxon signed rank test with continuity correction	two.sided	0.04046349089571455	0	0.5592769883565297
Enterococcus (OTU 23)	0	0.0625	Wilcoxon signed rank test	two.sided	2.2070995034026116e-4	0.0947581386794188	0.5592769883565297
Lachnospiraceae (OTU 25)	15	0.0625	Wilcoxon signed rank test	two.sided	0.044215560051498994	7.356998344675372e-5	0.5592769883565297
Lachnospiraceae (OTU 28)	15	0.0579072654172973	Wilcoxon signed rank test with continuity correction	two.sided	0.0012506897185948134	0	0.5592769883565297
Porphyromonadaceae (OTU 30)	10	0.10034824646229079	Wilcoxon signed rank test with continuity correction	two.sided	0.02100423027404819	7.356998344675372e-5	0.5592769883565297
Ruminococcaceae (OTU 37)	15	0.0625	Wilcoxon signed rank test	two.sided	0.0027588743792532648	0	0.5592769883565297
Oscillibacter (OTU 40)	6	0.1814492077214203	Wilcoxon signed rank test with continuity correction	two.sided	0.0011035497517013057	0	0.5592769883565297
Lachnospiraceae (OTU 42)	10	0.09751253817810959	Wilcoxon signed rank test with continuity correction	two.sided	0.0018760345778922197	0	0.5592769883565297
Lachnospiraceae (OTU 44)	15	0.0625	Wilcoxon signed rank test	two.sided	0.0016553246275519589	0	0.5592769883565297
Lachnospiraceae (OTU 47)	15	0.0625	Wilcoxon signed rank test	two.sided	0.0020231745447857274	0	0.5592769883565297
Lachnospiraceae (OTU 48)	6	0.1814492077214203	Wilcoxon signed rank test with continuity correction	two.sided	2.57494942063638e-4	0	0.5592769883565297
Lachnospiraceae (OTU 50)	15	0.05675944638601353	Wilcoxon signed rank test with continuity correction	two.sided	0.0012139047268714363	0	0.5592769883565297
