otu	method	Schloss	Young	Jackson	Charles River	Taconic	Envigo	Young-Schloss	Jackson-Schloss	Jackson-Young	Charles River-Schloss	Charles River-Young	Charles River-Jackson	Taconic-Schloss	Taconic-Young	Taconic-Jackson	Taconic-Charles River	Envigo-Schloss	Envigo-Young	Envigo-Jackson	Envigo-Charles River	Envigo-Taconic
Bacteroides (OTU 2)	Kruskal-Wallis rank sum test	0	0	0.23156152289865733	0.03871620378885415	0	0	1	0.010301457891808507	0.009000991395137695	0.009000991395137695	0.009000991395137695	0.013282355040202982	0.781490930140476	0.6080708346884135	0.009000991395137695	0.009000991395137695	0.9770719872254653	0.781490930140476	0.009000991395137695	0.009000991395137695	1
Bacteroides (OTU 3)	Kruskal-Wallis rank sum test	0.08120286922935442	0.020599595365091043	0	0.11164244988044877	0	0.015449696523818283	0.11525839551074438	0.028298379339193925	0.30931048743856554	1	0.034357657328797864	0.028298379339193925	0.011925712809339297	0.1234577725991111	0.7002385431646218	0.011925712809339297	0.03911970125884135	0.6407577580003168	0.20667046047198792	0.03911970125884135	0.08320955127278792
Akkermansia (OTU 4)	Kruskal-Wallis rank sum test	0.009564097848077983	0.09748022806694868	0.02096744528232481	0.001195512231009748	6.437373551590951e-4	0.009564097848077983	0.12175324675324674	0.22186147186147184	0.8355746817285278	0.12175324675324674	0.023310023310023312	0.09090909090909091	0.08892851763133311	0.023310023310023312	0.023310023310023312	0.8519460884189735	0.9452214452214451	0.1808857808857809	0.20316804407713498	0.12237762237762238	0.10664525920976758
Parabacteroides (OTU 5)	Kruskal-Wallis rank sum test	9.196247930844215e-5	0	0	0.07338605848813684	0.3669302924406842	0.0014713996689350744	0.17847638586545916	0.682236562435615	0.3399755441388365	0.00880818279249389	0.003589037247283393	0.012346389519482689	0.005708758911875923	0.00333000333000333	0.008676474180029002	0.00333000333000333	0.015645814729989153	0.003589037247283393	0.01260144931338503	0.2703066164604626	0.00333000333000333
Lactobacillus (OTU 6)	Kruskal-Wallis rank sum test	0.019128195696155967	0.018944270737539085	3.678499172337686e-4	0.04772852676108148	0.03430200478204892	0.028692293544233954	0.8518148518148518	0.05102499582527603	0.08339927470487979	0.13914656771799627	0.09663185805832065	0.05102499582527603	0.6636465538763109	0.3879551108324748	0.05102499582527603	0.8518148518148518	0.8518148518148518	0.6697746697746698	0.08339927470487979	0.4914529914529915	0.6636465538763109
Porphyromonadaceae (OTU 7)	Kruskal-Wallis rank sum test	0.0066212985102078355	0.03071546808901968	1.839249586168843e-4	9.196247930844215e-5	0	0.04211881552326651	0.5271287638976812	0.6763799414801506	0.08082718194910501	0.6763799414801506	0.06612744967743558	1	0.5271287638976812	0.052003256501728226	0.6362628432927548	0.6763799414801506	0.3693415692030784	0.6362628432927548	0.05425557539585465	0.05425557539585465	0.03836978884281653
Porphyromonadaceae (OTU 8)	Kruskal-Wallis rank sum test	0.11660842376310465	0.01710502115137024	0	0	0	0.0027588743792532648	0.0987900987900988	0.025259802543576345	0.041991480013621664	0.025259802543576345	0.036451984861391035	0.8395424134276523	0.025259802543576345	0.025259802543576345	0.8444231643739416	1	0.036451984861391035	0.19179218830385852	0.10226392102473225	0.19179218830385852	0.08236175593983096
Bacteroides (OTU 12)	Kruskal-Wallis rank sum test	0	0	0	0.18438477101342654	0	0	0.5988009008020959	0.5620384443740558	0.8780526400748606	0.009724505385346614	0.007325159047476959	0.01886065256587034	0.485189876051178	0.6852643627133606	0.920344325445942	0.007325159047476959	NA	0.5917493038388896	0.5433652600551611	0.007325159047476959	0.47225737060357065
Lachnospiraceae (OTU 13)	Kruskal-Wallis rank sum test	0.010115872723928637	0.010207835203237078	0.015081846606584513	0.010115872723928637	0	7.356998344675372e-4	1	0.9031877213695395	0.9052059052059052	1	1	0.6428571428571428	0.010042622437633528	0.00567681833082184	0.00567681833082184	0.00567681833082184	0.2892491585236194	0.27616160775045506	0.0441919191919192	0.06833229287428019	0.008077914194307437
Turicibacter (OTU 14)	Kruskal-Wallis rank sum test	0.01535773404450984	0.04230274048188339	0.04138311568879897	4.598123965422108e-4	0	0	0.2913889541452408	0.06493506493506494	0.8832986996281034	0.01443001443001443	0.04176038559117169	0.01054295126566209	0.00961297846450994	0.01054295126566209	0.009827553690975578	0.06493506493506494	0.00961297846450994	0.00961297846450994	0.00961297846450994	0.01054295126566209	0.1124096414727039
