original_id,run,plate,plate_location
T21_Dn1_E2,run_1,plate_3,A1
Y11_Dn1_E2,run_1,plate_3,B1
S11_Dn1_E1,run_1,plate_3,C1
T21_Dn1_E1,run_1,plate_3,D1
S22_D0_E2,run_1,plate_3,E1
Y22_D0_E2,run_1,plate_3,F1
Y11_D5_E1,run_1,plate_3,G1
C11_D5_E1,run_1,plate_3,H1
Y22_Dn1_E2,run_1,plate_3,A2
C12_Dn1_E2,run_1,plate_3,B2
Y12_Dn1_E1,run_1,plate_3,C2
Y22_Dn1_E1,run_1,plate_3,D2
S21_D0_E2,run_1,plate_3,E2
T22_D0_E2,run_1,plate_3,F2
E11_D5_E1,run_1,plate_3,G2
Y21_D5_E1,run_1,plate_3,H2
E21_Dn1_E2,run_1,plate_3,A3
Y21_Dn1_E2,run_1,plate_3,B3
S12_Dn1_E1,run_1,plate_3,C3
E22_Dn1_E1,run_1,plate_3,D3
S11_D0_E2,run_1,plate_3,E3
J11_D0_E2,run_1,plate_3,F3
Y13_D5_E1,run_1,plate_3,G3
J11_D5_E1,run_1,plate_3,H3
T11_Dn1_E2,run_1,plate_3,A4
J21_Dn1_E2,run_1,plate_3,B4
Y11_Dn1_E1,run_1,plate_3,C4
S21_Dn1_E1,run_1,plate_3,D4
J22_D0_E2,run_1,plate_3,E4
Y21_D0_E2,run_1,plate_3,F4
E21_D5_E1,run_1,plate_3,G4
S22_D5_E1,run_1,plate_3,H4
C22_Dn1_E2,run_1,plate_3,A5
E11_Dn1_E2,run_1,plate_3,B5
C12_Dn1_E1,run_1,plate_3,C5
C21_Dn1_E1,run_1,plate_3,D5
E12_D0_E2,run_1,plate_3,E5
C22_D0_E2,run_1,plate_3,F5
S21_D5_E1,run_1,plate_3,G5
S22_D5_E2,run_1,plate_3,H5
Y12_Dn1_E2,run_1,plate_3,A6
E212_Dn1_E2,run_1,plate_3,B6
E21_Dn1_E1,run_1,plate_3,C6
C22_Dn1_E1,run_1,plate_3,D6
J21_D0_E2,run_1,plate_3,E6
E12_D5_E1,run_1,plate_3,F6
E22_D5_E1,run_1,plate_3,G6
S11_D5_E2,run_1,plate_3,H6
C21_Dn1_E2,run_1,plate_3,A7
S21_Dn1_E2,run_1,plate_3,B7
T11_Dn1_E1,run_1,plate_3,C7
T22_Dn1_E1,run_1,plate_3,D7
J12_D0_E2,run_1,plate_3,E7
T21_D5_E1,run_1,plate_3,F7
C21_D5_E1,run_1,plate_3,G7
J11_D5_E2,run_1,plate_3,H7
C11_Dn1_E2,run_1,plate_3,A8
J22_Dn1_E2,run_1,plate_3,B8
E12_Dn1_E1,run_1,plate_3,C8
C21_D0_E2,run_1,plate_3,D8
S12_D0_E2,run_1,plate_3,E8
C22_D5_E1,run_1,plate_3,F8
J12_D5_E1,run_1,plate_3,G8
S12_D5_E2,run_1,plate_3,H8
E22_Dn1_E2,run_1,plate_3,A9
T22_Dn1_E2,run_1,plate_3,B9
E21_Dn1_E1_no2,run_1,plate_3,C9
Y12_D0_E2,run_1,plate_3,D9
T12_D0_E2,run_1,plate_3,E9
J21_D5_E1,run_1,plate_3,F9
T11_D5_E1,run_1,plate_3,G9
T12_D5_E2,run_1,plate_3,H9
S22_Dn1_E2,run_1,plate_3,A10
S11_Dn1_E2,run_1,plate_3,B10
J11_Dn1_E1,run_1,plate_3,C10
C21_D0_E2_no2,run_1,plate_3,D10
E11_D0_E2,run_1,plate_3,E10
