day	statistic	p.value	parameter	method	Schloss	Young	Jackson	Charles River	Taconic	Envigo	p.value.adj
5	25.19358833959118	1.278383518275863e-4	5	Kruskal-Wallis rank sum test	3937.5	27444.444444444445	427714.28571428574	3487.5	2408000	151666.66666666666	0.0011505451664482766
6	22.394957983193287	4.403849732926133e-4	5	Kruskal-Wallis rank sum test	2342.8571428571427	26875	872714.2857142857	914.2857142857143	17186666.666666668	146500	0.00198173237981676
7	21.365071394671958	6.909791768837951e-4	5	Kruskal-Wallis rank sum test	6083.333333333333	644.4444444444445	159800	175	398800	1689357.142857143	0.002072937530651385
4	17.701183431952664	0.0033451884734460287	5	Kruskal-Wallis rank sum test	106666.66666666667	312500	4352857.142857143	86000	8900000	4993333.333333333	0.007526674065253564
3	14.928048921696332	0.010674238688097687	5	Kruskal-Wallis rank sum test	1128571.4285714286	1488750	43289999.99999999	5940000	18263999.999999996	12352857.142857142	0.019213629638575837
8	12.063829787233947	0.033923555488053404	5	Kruskal-Wallis rank sum test	0	0	0	0	176000	7600	0.05088533323208011
2	7.530423877602205	0.11037518715325875	4	Kruskal-Wallis rank sum test	16426666.666666666	15384000	71400000	18382000	NA	40666666.666666664	0.14191095491133268
1	8.15893349553934	0.1476912773714962	5	Kruskal-Wallis rank sum test	66875000	90111111.1111111	145800000	30000000	57000000	45625000	0.14971092584225307
9	8.120642400346258	0.14971092584225307	5	Kruskal-Wallis rank sum test	0	0	0	0	13714.285714285714	16000	0.14971092584225307
0	NaN	NaN	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	NaN
