otu	statistic	p.value	parameter	method	Schloss	Young	Jackson	Charles River	Taconic	Envigo	p.value.adj
Parasutterella (OTU 26)	43.500440442399935	2.925174886885707e-8	5	Kruskal-Wallis rank sum test	0	0	0.015541659003126724	0.0037704616516461287	0	0	6.3882784676684795e-6
Burkholderiales (OTU 34)	43.5993377483444	2.7931202024913074e-8	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0.013794371896266323	6.3882784676684795e-6
Deltaproteobacteria (OTU 174)	43.6065573770492	2.7837160883836123e-8	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0.001103549751701306	6.3882784676684795e-6
Alistipes (OTU 194)	43.45195729537369	2.992167900547297e-8	5	Kruskal-Wallis rank sum test	0	0	0	0.0027588743792532643	0	0	6.3882784676684795e-6
Parabacteroides (OTU 5)	39.00078459774279	2.373973146727863e-7	5	Kruskal-Wallis rank sum test	0	0	0	0.06575317270553614	0.35331984550303475	0.12598859665256576	2.4049766043824843e-5
Bacteroides (OTU 32)	40.01735106998266	1.4813846674830453e-7	5	Kruskal-Wallis rank sum test	0	0	0	0.01802464594445466	0	0	2.4049766043824843e-5
Betaproteobacteria (OTU 58)	39.25046609182013	2.1145045460380602e-7	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0.0031267242964870333	2.4049766043824843e-5
Lachnospiraceae (OTU 93)	38.859568637850295	2.5345186697239295e-7	5	Kruskal-Wallis rank sum test	0.005241861320581203	0.001103549751701306	0	0	0	0	2.4049766043824843e-5
Desulfovibrionaceae (OTU 192)	39.447475945696574	1.9298731809784008e-7	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0.0025749494206363803	2.4049766043824843e-5
Lactobacillus (OTU 49)	38.35174113698343	3.206499984970995e-7	5	Kruskal-Wallis rank sum test	0	0	0	0.0010115872723928637	0	0.0014713996689350744	2.73835098716523e-5
Lachnospiraceae (OTU 206)	36.17199582586356	8.774586911683116e-7	5	Kruskal-Wallis rank sum test	0	0	0	9.196247930844216e-4	0.0016553246275519589	0	6.812270202343074e-5
Lachnospiraceae (OTU 79)	35.535934676246306	1.1760182381619243e-6	5	Kruskal-Wallis rank sum test	0	0	0	0.002391024462019496	0	0.0020231745447857274	7.725535195309872e-5
Dorea (OTU 301)	35.59181415929206	1.1461665180091393e-6	5	Kruskal-Wallis rank sum test	0	0	4.598123965422108e-4	0	0	0	7.725535195309872e-5
Lactobacillus (OTU 31)	34.75997216171623	1.6800542855475006e-6	5	Kruskal-Wallis rank sum test	0.0072650358653669304	0.0093801728894611	0	8.276623137759794e-4	0	0.0033106492551039177	9.834309168437816e-5
Lachnospiraceae (OTU 241)	34.69953230367632	1.72733767595512e-6	5	Kruskal-Wallis rank sum test	0.002207099503402612	0	0	9.196247930844215e-5	0	0	9.834309168437816e-5
Bifidobacterium (OTU 46)	34.45247607157719	1.934777335761131e-6	5	Kruskal-Wallis rank sum test	0.002391024462019496	5.51774875850653e-4	0	0	0	0	1.0326874029625035e-4
Akkermansia (OTU 4)	33.44920478020972	3.0643275982636297e-6	5	Kruskal-Wallis rank sum test	0.015081846606584515	0.19532830605113113	0.22705536141254368	0.0111274599963215	0.002942799337870149	0.1947765311752805	1.30846788445857e-4
Mucispirillum (OTU 19)	33.57039810917628	2.8989338444079703e-6	5	Kruskal-Wallis rank sum test	0	0	0	0.019404083134081294	0.007173073386058488	0.0060695236343571825	1.30846788445857e-4
Lachnospiraceae (OTU 35)	33.62463236999846	2.8278245279197007e-6	5	Kruskal-Wallis rank sum test	0.005333823799889645	0.0033106492551039177	0	0	0.0018392495861688431	0	1.30846788445857e-4
Clostridiales (OTU 148)	33.495469083155605	3.000111155241559e-6	5	Kruskal-Wallis rank sum test	0	0	0	0.0037704616516461282	0	0	1.30846788445857e-4
Parabacteroides (OTU 24)	32.392082673161994	4.968162647781874e-6	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0.004046349089571455	2.0203861434312952e-4
Lachnospiraceae (OTU 36)	32.21820962835833	5.37843006951243e-6	5	Kruskal-Wallis rank sum test	0	0	0	0.0060695236343571825	0.014346146772116977	0	2.0878087633470979e-4
Bacteroides (OTU 2)	31.945822376653883	6.089841149806234e-6	5	Kruskal-Wallis rank sum test	1.839249586168843e-4	0	0.309269817914291	0.041475078168107415	0	0	2.2428133823079263e-4
Clostridium (OTU 43)	31.87035278465913	6.302988428031643e-6	5	Kruskal-Wallis rank sum test	0	0	0.005609711237814972	7.356998344675372e-4	0.0018392495861688431	0	2.2428133823079263e-4
Bacteroides (OTU 64)	31.100943396226402	8.94702349908302e-6	5	Kruskal-Wallis rank sum test	0	0	0	0.013426521979032555	0	0	2.546919356072299e-4
Lachnospiraceae (OTU 114)	31.100943396226402	8.94702349908302e-6	5	Kruskal-Wallis rank sum test	0	0	0	0.0034026117344123597	0	0	2.546919356072299e-4
Lachnospiraceae (OTU 121)	31.100943396226402	8.94702349908302e-6	5	Kruskal-Wallis rank sum test	0	0	0	0.0053338237998896455	0	0	2.546919356072299e-4
Clostridiales (OTU 276)	31.106812606152086	8.92317455806251e-6	5	Kruskal-Wallis rank sum test	0	0	0	8.276623137759794e-4	0	0	2.546919356072299e-4
Oscillibacter (OTU 413)	31.124433534743183	8.851952455070792e-6	5	Kruskal-Wallis rank sum test	0	0	0	3.678499172337686e-4	0	0	2.546919356072299e-4
Clostridiales (OTU 431)	31.124433534743183	8.851952455070792e-6	5	Kruskal-Wallis rank sum test	0	0	0	1.839249586168843e-4	0	0	2.546919356072299e-4
Akkermansia (OTU 15)	30.515139563526674	1.1675437033960032e-5	5	Kruskal-Wallis rank sum test	0	0	0	0	0.06970755931579915	0	3.17457255637108e-4
Ruminococcaceae (OTU 214)	30.474029864758183	1.189535384120311e-5	5	Kruskal-Wallis rank sum test	0	0	0	5.51774875850653e-4	0	0	3.17457255637108e-4
Lachnospiraceae (OTU 127)	30.28914637670455	1.2936350176335846e-5	5	Kruskal-Wallis rank sum test	0.0033106492551039177	0.002207099503402612	0	0	0	0	3.3477706213911555e-4
Desulfovibrio (OTU 209)	29.482778519727624	1.864097098527287e-5	5	Kruskal-Wallis rank sum test	0	0	0	0	0	3.678499172337686e-4	4.682173300418538e-4
Acetatifactor (OTU 242)	29.284266746530893	2.0392117484188543e-5	5	Kruskal-Wallis rank sum test	0.0016553246275519589	3.678499172337686e-4	0	1.839249586168843e-4	0	0	4.975676666142004e-4
Lachnospiraceae (OTU 205)	28.903497504649508	2.422053923563637e-5	5	Kruskal-Wallis rank sum test	0	0	0	4.598123965422108e-4	7.356998344675372e-4	0	5.745650140898183e-4
Alistipes (OTU 21)	28.807461806072475	2.529381015371472e-5	5	Kruskal-Wallis rank sum test	0	0.0866286555085525	0	0.009472135368769542	0	0	5.838084830073613e-4
Lachnospiraceae (OTU 38)	28.085175545275778	3.5029505950315335e-5	5	Kruskal-Wallis rank sum test	0	0.004965973882655877	0	0	0.008276623137759793	0	7.478799520392324e-4
Lachnospiraceae (OTU 169)	28.11037273166116	3.463432420581701e-5	5	Kruskal-Wallis rank sum test	0	0	0	0.0030347618171785913	0	1.839249586168843e-4	7.478799520392324e-4
Clostridium (OTU 296)	28.159643435980527	3.3874317454490634e-5	5	Kruskal-Wallis rank sum test	0	0	9.196247930844216e-4	9.196247930844215e-5	0	0	7.478799520392324e-4
Lachnospiraceae (OTU 42)	27.806057355495867	3.9717770087531245e-5	5	Kruskal-Wallis rank sum test	0.0076328857826006985	0.0075409233032922565	0.0033106492551039173	0.001103549751701306	0	0.0027588743792532648	8.173830932865431e-4
Lachnospiraceae (OTU 50)	27.77927070865928	4.0199168522289005e-5	5	Kruskal-Wallis rank sum test	0.0069891484274416035	0.0016553246275519589	0.0053338237998896455	0.002299061982711054	0	0.001103549751701306	8.173830932865431e-4
Lachnospiraceae (OTU 104)	27.560273682045477	4.4358192921929684e-5	5	Kruskal-Wallis rank sum test	0	0	0	4.598123965422108e-4	1.839249586168843e-4	0.002207099503402612	8.809743431471616e-4
Lachnospiraceae (OTU 44)	27.482325537516545	4.593924190647223e-5	5	Kruskal-Wallis rank sum test	0.014713996689350745	0.001103549751701306	0	3.678499172337686e-4	0	0	8.916389224574384e-4
Lachnospiraceae (OTU 82)	27.205212989019437	5.2025929992868635e-5	5	Kruskal-Wallis rank sum test	0	0	0.011311384954938386	3.678499172337686e-4	0	0	9.873365380868848e-4
Lachnospiraceae (OTU 85)	27.142581626355554	5.3508740449113316e-5	5	Kruskal-Wallis rank sum test	0	0	0	0	0.0027588743792532648	0	9.934013987726688e-4
Firmicutes (OTU 196)	26.898634563268708	5.969441558968506e-5	5	Kruskal-Wallis rank sum test	0	5.51774875850653e-4	0	0	0	0	0.0010846602322040649
Porphyromonadaceae (OTU 7)	26.598085585207723	6.829713701554199e-5	5	Kruskal-Wallis rank sum test	9.196247930844215e-5	0.1852124333272025	0	0.022438844951259886	0	0.10410152657715652	0.0011825832096038723
Lachnospiraceae (OTU 119)	26.62624152434219	6.744162915169586e-5	5	Kruskal-Wallis rank sum test	0.004046349089571455	0.0036784991723376862	0	0	0	0	0.0011825832096038723
Lachnospiraceae (OTU 263)	26.567524667524594	6.923789283395038e-5	5	Kruskal-Wallis rank sum test	0	0	0	0	5.51774875850653e-4	0	0.0011825832096038723
Lachnospiraceae (OTU 91)	26.414508847720242	7.4144759618089e-5	5	Kruskal-Wallis rank sum test	0.006437373551590951	0.0016553246275519589	0	0.0032186867757954753	0	0	0.0012415612688989805
Ruminococcaceae (OTU 60)	26.326855278955133	7.710922651477002e-5	5	Kruskal-Wallis rank sum test	0.004138311568879897	0.009564097848077983	0	4.598123965422107e-4	0	0	0.0012663707585310307
Acetatifactor (OTU 103)	26.283763166387946	7.860937039478088e-5	5	Kruskal-Wallis rank sum test	0	0	0.005333823799889645	0.001103549751701306	0	0	0.0012666491003234504
Porphyromonadaceae (OTU 10)	25.915803001409508	9.265442285939511e-5	5	Kruskal-Wallis rank sum test	0.1361044693764944	0	0	0	0	0	0.0014653125392948782
Lachnospiraceae (OTU 17)	25.766441554634163	9.90406434243306e-5	5	Kruskal-Wallis rank sum test	0.013886334375574766	0.0018392495861688431	0.06382196064005885	0.005701673717123414	0.027220893875298878	1.839249586168843e-4	0.0015378310815341513
Lachnospiraceae (OTU 141)	25.715159636448345	1.0133231034867255e-4	5	Kruskal-Wallis rank sum test	0	0	0	0.0037704616516461287	0	0	0.0015453177328172564
Lachnospiraceae (OTU 170)	25.290105647248456	1.2246295417999936e-4	5	Kruskal-Wallis rank sum test	0	0	0	2.758874379253265e-4	0	0	0.0016341150448393664
Lachnospiraceae (OTU 243)	25.32494469026549	1.2057811416444984e-4	5	Kruskal-Wallis rank sum test	0	0	0	8.276623137759793e-4	0	0	0.0016341150448393664
Roseburia (OTU 252)	25.32494469026549	1.2057811416444984e-4	5	Kruskal-Wallis rank sum test	0	0	0	4.598123965422108e-4	0	0	0.0016341150448393664
Bacteroides (OTU 253)	25.330548793980974	1.202776175438898e-4	5	Kruskal-Wallis rank sum test	0	0	0	1.839249586168843e-4	0	0	0.0016341150448393664
Lachnospiraceae (OTU 257)	25.330548793980974	1.202776175438898e-4	5	Kruskal-Wallis rank sum test	0	0	0	8.276623137759794e-4	0	0	0.0016341150448393664
Clostridiales (OTU 333)	25.330548793980974	1.202776175438898e-4	5	Kruskal-Wallis rank sum test	0	0	0	2.758874379253265e-4	0	0	0.0016341150448393664
