otu	statistic	p.value	method	alternative	p.value.adj
Akkermansia (OTU 4)	703	1.1878111718723648e-07	Wilcoxon signed rank test with continuity correction	two.sided	2.591005202022109e-5
Lactobacillus (OTU 6)	741	8.041513571420378e-8	Wilcoxon signed rank test with continuity correction	two.sided	2.591005202022109e-5
Lachnospiraceae (OTU 28)	741	8.000736107172705e-8	Wilcoxon signed rank test with continuity correction	two.sided	2.591005202022109e-5
Ruminococcaceae (OTU 37)	666	1.7311838766294715e-7	Wilcoxon signed rank test with continuity correction	two.sided	2.591005202022109e-5
Ruminococcaceae (OTU 66)	703	1.1525270923247095e-7	Wilcoxon signed rank test with continuity correction	two.sided	2.591005202022109e-5
Acetatifactor (OTU 70)	666	1.7176377776791013e-7	Wilcoxon signed rank test with continuity correction	two.sided	2.591005202022109e-5
Lachnospiraceae (OTU 107)	630	2.50192379007046e-7	Wilcoxon signed rank test with continuity correction	two.sided	2.808409454354091e-5
Lachnospiraceae (OTU 117)	630	2.4571096981882073e-7	Wilcoxon signed rank test with continuity correction	two.sided	2.808409454354091e-5
Lachnospiraceae (OTU 9)	595	3.8191520023814874e-7	Wilcoxon signed rank test with continuity correction	two.sided	3.1178168164896144e-5
Lachnospiraceae (OTU 68)	595	3.778328056990125e-7	Wilcoxon signed rank test with continuity correction	two.sided	3.1178168164896144e-5
Lachnospiraceae (OTU 78)	595	3.679698496523229e-7	Wilcoxon signed rank test with continuity correction	two.sided	3.1178168164896144e-5
Lachnospiraceae (OTU 17)	561	5.61845755522739e-7	Wilcoxon signed rank test with continuity correction	two.sided	3.1533593028713726e-5
Oscillibacter (OTU 40)	561	5.488676969192756e-7	Wilcoxon signed rank test with continuity correction	two.sided	3.1533593028713726e-5
Lachnospiraceae (OTU 50)	561	5.491533088047613e-7	Wilcoxon signed rank test with continuity correction	two.sided	3.1533593028713726e-5
Lachnospiraceae (OTU 122)	561	5.400760522073422e-7	Wilcoxon signed rank test with continuity correction	two.sided	3.1533593028713726e-5
Enterorhabdus (OTU 156)	561	5.286322538979801e-7	Wilcoxon signed rank test with continuity correction	two.sided	3.1533593028713726e-5
Enterobacteriaceae (OTU 1)	528	7.275032041915805e-7	Wilcoxon signed rank test with continuity correction	two.sided	3.5032198290478586e-5
Ruminococcaceae (OTU 55)	528	8.192384900891429e-7	Wilcoxon signed rank test with continuity correction	two.sided	3.5032198290478586e-5
Ruminococcaceae (OTU 84)	528	8.106775539202301e-7	Wilcoxon signed rank test with continuity correction	two.sided	3.5032198290478586e-5
Clostridiales (OTU 123)	528	7.732974703550061e-7	Wilcoxon signed rank test with continuity correction	two.sided	3.5032198290478586e-5
Lachnospiraceae (OTU 151)	528	7.767523321775546e-7	Wilcoxon signed rank test with continuity correction	two.sided	3.5032198290478586e-5
Lactobacillus (OTU 18)	496	1.232989270728632e-6	Wilcoxon signed rank test with continuity correction	two.sided	4.2585552504396604e-5
Lachnospiraceae (OTU 42)	496	1.2228921126382427e-6	Wilcoxon signed rank test with continuity correction	two.sided	4.2585552504396604e-5
Clostridia (OTU 86)	496	1.201488897055184e-6	Wilcoxon signed rank test with continuity correction	two.sided	4.2585552504396604e-5
Lachnospiraceae (OTU 116)	496	1.1859938836434019e-6	Wilcoxon signed rank test with continuity correction	two.sided	4.2585552504396604e-5
Lachnospiraceae (OTU 134)	496	1.1909058043558932e-6	Wilcoxon signed rank test with continuity correction	two.sided	4.2585552504396604e-5
Lachnospiraceae (OTU 13)	465	1.8185196749587937e-6	Wilcoxon signed rank test with continuity correction	two.sided	5.443435560376656e-5
Clostridium (OTU 61)	465	1.761141152790257e-6	Wilcoxon signed rank test with continuity correction	two.sided	5.443435560376656e-5
Oscillibacter (OTU 77)	465	1.7456572964956512e-6	Wilcoxon signed rank test with continuity correction	two.sided	5.443435560376656e-5
Lachnospiraceae (OTU 105)	465	1.771155470867715e-6	Wilcoxon signed rank test with continuity correction	two.sided	5.443435560376656e-5
Lachnospiraceae (OTU 126)	435	2.5989680075313668e-6	Wilcoxon signed rank test with continuity correction	two.sided	7.528623454074734e-5
Lachnospiraceae (OTU 44)	406	3.9431842446395825e-6	Wilcoxon signed rank test with continuity correction	two.sided	9.325086942646129e-5
Ruminococcaceae (OTU 63)	406	3.329979312673747e-6	Wilcoxon signed rank test with continuity correction	two.sided	9.325086942646129e-5
Lachnospiraceae (OTU 73)	406	3.946027882188785e-6	Wilcoxon signed rank test with continuity correction	two.sided	9.325086942646129e-5
Ruminococcaceae (OTU 80)	406	3.917667356168181e-6	Wilcoxon signed rank test with continuity correction	two.sided	9.325086942646129e-5
Lachnospiraceae (OTU 97)	406	3.8979150355397616e-06	Wilcoxon signed rank test with continuity correction	two.sided	9.325086942646129e-5
Lachnospiraceae (OTU 125)	406	3.5016820118724646e-6	Wilcoxon signed rank test with continuity correction	two.sided	9.325086942646129e-5
Lachnospiraceae (OTU 136)	406	3.875441462074094e-6	Wilcoxon signed rank test with continuity correction	two.sided	9.325086942646129e-5
Ruminococcaceae (OTU 236)	378	4.637283920168081e-6	Wilcoxon signed rank test with continuity correction	two.sided	1.067764348797676e-4
Parabacteroides (OTU 5)	378	5.775617863510093e-6	Wilcoxon signed rank test with continuity correction	two.sided	1.1495748245807678e-4
Lachnospiraceae (OTU 27)	378	5.668744013978784e-6	Wilcoxon signed rank test with continuity correction	two.sided	1.1495748245807678e-4
Clostridiales (OTU 51)	378	5.88869063816429e-6	Wilcoxon signed rank test with continuity correction	two.sided	1.1495748245807678e-4
Lachnospiraceae (OTU 67)	378	5.8432464209702335e-6	Wilcoxon signed rank test with continuity correction	two.sided	1.1495748245807678e-4
Lachnospiraceae (OTU 146)	378	5.7353488120867866e-6	Wilcoxon signed rank test with continuity correction	two.sided	1.1495748245807678e-4
Lachnospiraceae (OTU 163)	378	5.257290667275829e-6	Wilcoxon signed rank test with continuity correction	two.sided	1.1495748245807678e-4
Lachnospiraceae (OTU 179)	378	5.642279840932133e-6	Wilcoxon signed rank test with continuity correction	two.sided	1.1495748245807678e-4
Lachnospiraceae (OTU 197)	351	6.362556425935816e-6	Wilcoxon signed rank test with continuity correction	two.sided	1.2156543979766728e-4
Lachnospiraceae (OTU 201)	351	7.573843786302474e-6	Wilcoxon signed rank test with continuity correction	two.sided	1.4169399416874212e-4
Bacteroides (OTU 3)	351	8.715977917622452e-6	Wilcoxon signed rank test with continuity correction	two.sided	1.4290330719475008e-4
Porphyromonadaceae (OTU 7)	351	8.535560191807232e-6	Wilcoxon signed rank test with continuity correction	two.sided	1.4290330719475008e-4
Turicibacter (OTU 14)	351	8.752429727963534e-6	Wilcoxon signed rank test with continuity correction	two.sided	1.4290330719475008e-4
Lachnospiraceae (OTU 38)	351	8.665152232504068e-6	Wilcoxon signed rank test with continuity correction	two.sided	1.4290330719475008e-4
Lachnospiraceae (OTU 48)	351	8.600158279439167e-6	Wilcoxon signed rank test with continuity correction	two.sided	1.4290330719475008e-4
Lachnospiraceae (OTU 98)	351	8.379309153416683e-6	Wilcoxon signed rank test with continuity correction	two.sided	1.4290330719475008e-4
Lachnospiraceae (OTU 203)	351	8.080609616668364e-6	Wilcoxon signed rank test with continuity correction	two.sided	1.4290330719475008e-4
Lachnospiraceae (OTU 110)	325	1.2583374760074108e-5	Wilcoxon signed rank test with continuity correction	two.sided	2.0178340240261693e-4
Pseudoflavonifractor (OTU 95)	325	1.2941556960967086e-5	Wilcoxon signed rank test with continuity correction	two.sided	2.0388628334997268e-4
Lachnospiraceae (OTU 72)	300	1.6871777942085826e-5	Wilcoxon signed rank test with continuity correction	two.sided	2.567941795253063e-4
Bacteria (OTU 155)	300	1.6602022434494374e-5	Wilcoxon signed rank test with continuity correction	two.sided	2.567941795253063e-4
Ruminococcaceae (OTU 133)	300	1.8201311951193722e-5	Wilcoxon signed rank test with continuity correction	two.sided	2.724129688695327e-4
Lachnospiraceae (OTU 143)	300	1.8528110688022434e-5	Wilcoxon signed rank test with continuity correction	two.sided	2.7275808848924827e-4
Porphyromonadaceae (OTU 8)	300	1.9308836498008243e-5	Wilcoxon signed rank test with continuity correction	two.sided	2.7966669637437746e-4
Lachnospiraceae (OTU 35)	276	2.8098138865945748e-5	Wilcoxon signed rank test with continuity correction	two.sided	3.8641306874263436e-4
Clostridium (OTU 41)	276	2.8400069640327246e-5	Wilcoxon signed rank test with continuity correction	two.sided	3.8641306874263436e-4
Lachnospiraceae (OTU 89)	276	2.773916755968425e-5	Wilcoxon signed rank test with continuity correction	two.sided	3.8641306874263436e-4
Lachnospiraceae (OTU 205)	276	2.8248786377523938e-5	Wilcoxon signed rank test with continuity correction	two.sided	3.8641306874263436e-4
Ruminococcaceae (OTU 118)	253	4.085671874252832e-5	Wilcoxon signed rank test with continuity correction	two.sided	5.476019915043348e-4
Mucispirillum (OTU 19)	253	4.2962562380301066e-5	Wilcoxon signed rank test with continuity correction	two.sided	5.51148300250148e-4
Lactobacillus (OTU 31)	253	4.271344564086937e-5	Wilcoxon signed rank test with continuity correction	two.sided	5.51148300250148e-4
Lachnospiraceae (OTU 33)	253	4.2912648760483505e-5	Wilcoxon signed rank test with continuity correction	two.sided	5.51148300250148e-4
Clostridium (OTU 99)	231	5.574623086051856e-5	Wilcoxon signed rank test with continuity correction	two.sided	6.930043275909949e-4
Lachnospiraceae (OTU 145)	231	5.6335541107063055e-5	Wilcoxon signed rank test with continuity correction	two.sided	6.930043275909949e-4
Clostridium (OTU 211)	231	5.6335541107063055e-5	Wilcoxon signed rank test with continuity correction	two.sided	6.930043275909949e-4
Ruminococcaceae (OTU 94)	231	5.851220312616768e-5	Wilcoxon signed rank test with continuity correction	two.sided	7.100534919905213e-4
Bacteria (OTU 75)	231	6.362631710982557e-5	Wilcoxon signed rank test with continuity correction	two.sided	7.618191035283114e-4
Lachnospiraceae (OTU 25)	210	9.250818572966845e-5	Wilcoxon signed rank test with continuity correction	two.sided	0.0010530380647579506
Lachnospiraceae (OTU 47)	210	9.263920614240322e-5	Wilcoxon signed rank test with continuity correction	two.sided	0.0010530380647579506
Eisenbergiella (OTU 164)	210	9.263920614240322e-5	Wilcoxon signed rank test with continuity correction	two.sided	0.0010530380647579506
Lachnospiraceae (OTU 181)	210	9.224656692850768e-5	Wilcoxon signed rank test with continuity correction	two.sided	0.0010530380647579506
Lachnospiraceae (OTU 275)	190	1.0576363075976835e-4	Wilcoxon signed rank test with continuity correction	two.sided	0.0011871967552783997
Clostridiales (OTU 356)	171	1.2112751309896538e-4	Wilcoxon signed rank test with continuity correction	two.sided	0.0013428704538626039
Lachnospiraceae (OTU 56)	190	1.4102986074407233e-4	Wilcoxon signed rank test with continuity correction	two.sided	0.0014115595326923182
Lachnospiraceae (OTU 85)	190	1.3497023506344518e-4	Wilcoxon signed rank test with continuity correction	two.sided	0.0014115595326923182
Lachnospiraceae (OTU 113)	190	1.4147033178430805e-4	Wilcoxon signed rank test with continuity correction	two.sided	0.0014115595326923182
Clostridium (OTU 128)	190	1.3971459197167655e-4	Wilcoxon signed rank test with continuity correction	two.sided	0.0014115595326923182
Butyricicoccus (OTU 131)	190	1.347574857376532e-4	Wilcoxon signed rank test with continuity correction	two.sided	0.0014115595326923182
Clostridiales (OTU 138)	190	1.4037107564997262e-4	Wilcoxon signed rank test with continuity correction	two.sided	0.0014115595326923182
Lachnospiraceae (OTU 177)	190	1.4037107564997262e-4	Wilcoxon signed rank test with continuity correction	two.sided	0.0014115595326923182
Lachnospiraceae (OTU 193)	190	1.3646652384803466e-4	Wilcoxon signed rank test with continuity correction	two.sided	0.0014115595326923182
Lachnospiraceae (OTU 217)	190	1.2931358025114681e-4	Wilcoxon signed rank test with continuity correction	two.sided	0.0014115595326923182
Ruminococcaceae (OTU 180)	171	1.8262230729948356e-4	Wilcoxon signed rank test with continuity correction	two.sided	0.001802141010493805
Coriobacteriaceae (OTU 293)	171	1.899769375903225e-4	Wilcoxon signed rank test with continuity correction	two.sided	0.0018543401082185826
Lachnospiraceae (OTU 130)	171	1.923621998267147e-4	Wilcoxon signed rank test with continuity correction	two.sided	0.0018574328542407506
Clostridium (OTU 43)	171	1.992988584871543e-4	Wilcoxon signed rank test with continuity correction	two.sided	0.0018838986833838373
Lachnospiraceae (OTU 221)	171	1.982468030242265e-4	Wilcoxon signed rank test with continuity correction	two.sided	0.0018838986833838373
Lachnospiraceae (OTU 119)	171	2.0426284422334456e-4	Wilcoxon signed rank test with continuity correction	two.sided	0.0019107086886725353
Bacteroides (OTU 2)	171	2.1004657690825072e-4	Wilcoxon signed rank test with continuity correction	two.sided	0.0019445549078722594
Ruminococcaceae (OTU 115)	153	2.8584807565441584e-4	Wilcoxon signed rank test with continuity correction	two.sided	0.0025957212179618144
Lachnospiraceae (OTU 250)	136	2.8616525676861875e-4	Wilcoxon signed rank test with continuity correction	two.sided	0.0025957212179618144
Clostridiales (OTU 277)	153	2.927697591020005e-4	Wilcoxon signed rank test with continuity correction	two.sided	0.0026290724367359648
Porphyromonadaceae (OTU 22)	153	3.185681884656033e-4	Wilcoxon signed rank test with continuity correction	two.sided	0.002724516507067731
Lachnospiraceae (OTU 91)	153	3.1548734314283667e-4	Wilcoxon signed rank test with continuity correction	two.sided	0.002724516507067731
Anaeroplasma (OTU 92)	153	3.130381522529866e-4	Wilcoxon signed rank test with continuity correction	two.sided	0.002724516507067731
Lachnospiraceae (OTU 127)	153	3.1181870431362327e-4	Wilcoxon signed rank test with continuity correction	two.sided	0.002724516507067731
Clostridiales (OTU 244)	153	3.161017894476039e-4	Wilcoxon signed rank test with continuity correction	two.sided	0.002724516507067731
Clostridium (OTU 306)	136	3.217557973144017e-4	Wilcoxon signed rank test with continuity correction	two.sided	0.0027258179810220064
Lachnospiraceae (OTU 230)	136	4.356550982493049e-4	Wilcoxon signed rank test with continuity correction	two.sided	0.0036562455909147275
Acetatifactor (OTU 132)	136	4.5860912720750393e-4	Wilcoxon signed rank test with continuity correction	two.sided	0.003813249965114246
Porphyromonadaceae (OTU 52)	136	4.709175630078652e-4	Wilcoxon signed rank test with continuity correction	two.sided	0.003818147560830878
Lachnospiraceae (OTU 204)	136	4.719536517285384e-4	Wilcoxon signed rank test with continuity correction	two.sided	0.003818147560830878
Lachnospiraceae (OTU 206)	136	4.709175630078652e-4	Wilcoxon signed rank test with continuity correction	two.sided	0.003818147560830878
Clostridiales (OTU 246)	120	5.811667654039061e-4	Wilcoxon signed rank test with continuity correction	two.sided	0.004659712101184889
Lachnospiraceae (OTU 239)	120	5.96745978117815e-4	Wilcoxon signed rank test with continuity correction	two.sided	0.004742282197785822
Lachnospiraceae (OTU 200)	120	6.569073188132564e-4	Wilcoxon signed rank test with continuity correction	two.sided	0.0050983877579784875
Acetatifactor (OTU 248)	120	6.569073188132564e-4	Wilcoxon signed rank test with continuity correction	two.sided	0.0050983877579784875
Dorea (OTU 267)	120	6.585890645050162e-4	Wilcoxon signed rank test with continuity correction	two.sided	0.0050983877579784875
Firmicutes (OTU 147)	120	6.87634472760634e-4	Wilcoxon signed rank test with continuity correction	two.sided	0.005277741508880764
Lachnospiraceae (OTU 176)	120	6.99846197582363e-4	Wilcoxon signed rank test with continuity correction	two.sided	0.00532102793348092
Lachnospiraceae (OTU 182)	120	7.05125082499142e-4	Wilcoxon signed rank test with continuity correction	two.sided	0.00532102793348092
Lachnospiraceae (OTU 169)	120	7.193355666001977e-4	Wilcoxon signed rank test with continuity correction	two.sided	0.005383027823391479
Ruminococcaceae (OTU 424)	105	7.402906458183578e-4	Wilcoxon signed rank test with continuity correction	two.sided	0.005494057850784176
Ruminococcaceae (OTU 225)	105	9.317722388629301e-4	Wilcoxon signed rank test with continuity correction	two.sided	0.006858454676220584
Acetatifactor (OTU 280)	105	9.771596869762465e-4	Wilcoxon signed rank test with continuity correction	two.sided	0.007134060153696499
Lachnospiraceae (OTU 36)	105	0.001063155573183427	Wilcoxon signed rank test with continuity correction	two.sided	0.007351876313278709
Lactobacillus (OTU 49)	105	0.0010908351761252978	Wilcoxon signed rank test with continuity correction	two.sided	0.007351876313278709
Porphyromonadaceae (OTU 87)	105	0.0010846432189485068	Wilcoxon signed rank test with continuity correction	two.sided	0.007351876313278709
Lachnospiraceae (OTU 104)	105	0.0010510051674060454	Wilcoxon signed rank test with continuity correction	two.sided	0.007351876313278709
Lachnospiraceae (OTU 120)	105	0.0010846432189485068	Wilcoxon signed rank test with continuity correction	two.sided	0.007351876313278709
Bacteria (OTU 129)	105	0.0010970505857231035	Wilcoxon signed rank test with continuity correction	two.sided	0.007351876313278709
Lachnospiraceae (OTU 165)	105	0.0010908351761252978	Wilcoxon signed rank test with continuity correction	two.sided	0.007351876313278709
Lachnospiraceae (OTU 175)	105	0.0010815560245814417	Wilcoxon signed rank test with continuity correction	two.sided	0.007351876313278709
Clostridiales (OTU 187)	105	0.0010939399472879988	Wilcoxon signed rank test with continuity correction	two.sided	0.007351876313278709
Lachnospiraceae (OTU 274)	105	0.0010784746807808335	Wilcoxon signed rank test with continuity correction	two.sided	0.007351876313278709
Clostridiales (OTU 408)	66	0.0010893469687995841	Wilcoxon signed rank test with continuity correction	two.sided	0.007351876313278709
Firmicutes (OTU 259)	91	0.0013501529915963917	Wilcoxon signed rank test with continuity correction	two.sided	0.008981017677433777
Bacteria (OTU 300)	91	0.0013645032631554438	Wilcoxon signed rank test with continuity correction	two.sided	0.009009734781717562
Ruminococcaceae (OTU 60)	91	0.0016345757202903396	Wilcoxon signed rank test with continuity correction	two.sided	0.009595551792530493
Lachnospiraceae (OTU 93)	91	0.0015445043095668708	Wilcoxon signed rank test with continuity correction	two.sided	0.009595551792530493
Alistipes (OTU 100)	91	0.0016562478038332142	Wilcoxon signed rank test with continuity correction	two.sided	0.009595551792530493
Lachnospiraceae (OTU 111)	91	0.0016399765754731299	Wilcoxon signed rank test with continuity correction	two.sided	0.009595551792530493
Porphyromonadaceae (OTU 139)	91	0.0016562478038332142	Wilcoxon signed rank test with continuity correction	two.sided	0.009595551792530493
Clostridiales (OTU 160)	91	0.0016345757202903396	Wilcoxon signed rank test with continuity correction	two.sided	0.009595551792530493
Ruminococcus (OTU 162)	91	0.0016399765754731299	Wilcoxon signed rank test with continuity correction	two.sided	0.009595551792530493
Lachnospiraceae (OTU 167)	91	0.001623808298313278	Wilcoxon signed rank test with continuity correction	two.sided	0.009595551792530493
Erysipelotrichaceae (OTU 189)	91	0.0016399765754731299	Wilcoxon signed rank test with continuity correction	two.sided	0.009595551792530493
Clostridiales (OTU 190)	91	0.0016345757202903396	Wilcoxon signed rank test with continuity correction	two.sided	0.009595551792530493
Lachnospiraceae (OTU 202)	91	0.0014828938971237784	Wilcoxon signed rank test with continuity correction	two.sided	0.009595551792530493
Ruminococcaceae (OTU 214)	91	0.0015497118184081362	Wilcoxon signed rank test with continuity correction	two.sided	0.009595551792530493
Lachnospiraceae (OTU 254)	91	0.001581194725155409	Wilcoxon signed rank test with continuity correction	two.sided	0.009595551792530493
Lachnospiraceae (OTU 272)	91	0.0015759192205662782	Wilcoxon signed rank test with continuity correction	two.sided	0.009595551792530493
Lachnospiraceae (OTU 273)	91	0.0015706550673359142	Wilcoxon signed rank test with continuity correction	two.sided	0.009595551792530493
Ruminococcaceae (OTU 288)	91	0.0016184417170965679	Wilcoxon signed rank test with continuity correction	two.sided	0.009595551792530493
Olsenella (OTU 320)	91	0.0015393081069550447	Wilcoxon signed rank test with continuity correction	two.sided	0.009595551792530493
Clostridium (OTU 331)	91	0.0015393081069550447	Wilcoxon signed rank test with continuity correction	two.sided	0.009595551792530493
Lachnospiraceae (OTU 373)	66	0.001585604873133346	Wilcoxon signed rank test with continuity correction	two.sided	0.009595551792530493
Enterococcus (OTU 23)	78	0.0021655415538484875	Wilcoxon signed rank test with continuity correction	two.sided	0.01230795136301229
Acetatifactor (OTU 231)	78	0.0021655415538484875	Wilcoxon signed rank test with continuity correction	two.sided	0.01230795136301229
Lachnospiraceae (OTU 388)	78	0.002156744943439856	Wilcoxon signed rank test with continuity correction	two.sided	0.01230795136301229
Oscillibacter (OTU 268)	78	0.002192065620774227	Wilcoxon signed rank test with continuity correction	two.sided	0.012380345455693434
Bacteria (OTU 298)	78	0.002392757655483361	Wilcoxon signed rank test with continuity correction	two.sided	0.013429352341400363
Lachnospiraceae (OTU 183)	78	0.0024209719506400737	Wilcoxon signed rank test with continuity correction	two.sided	0.013503309389284386
Porphyromonadaceae (OTU 10)	78	0.0025261742685021692	Wilcoxon signed rank test with continuity correction	two.sided	0.013748512079484533
Bifidobacterium (OTU 46)	78	0.0025261742685021692	Wilcoxon signed rank test with continuity correction	two.sided	0.013748512079484533
Porphyromonadaceae (OTU 222)	78	0.0025261742685021692	Wilcoxon signed rank test with continuity correction	two.sided	0.013748512079484533
Clostridiales (OTU 323)	78	0.0025261742685021692	Wilcoxon signed rank test with continuity correction	two.sided	0.013748512079484533
Firmicutes (OTU 256)	66	0.0034502309476072495	Wilcoxon signed rank test with continuity correction	two.sided	0.018664502355128374
Lachnospiraceae (OTU 108)	66	0.0035162269050049637	Wilcoxon signed rank test with continuity correction	two.sided	0.018795070004133673
Butyricicoccus (OTU 292)	66	0.0034996587229010863	Wilcoxon signed rank test with continuity correction	two.sided	0.018795070004133673
Lachnospiraceae (OTU 76)	66	0.0037875997707152373	Wilcoxon signed rank test with continuity correction	two.sided	0.019325367011944792
Lachnospiraceae (OTU 96)	66	0.003770292207739229	Wilcoxon signed rank test with continuity correction	two.sided	0.019325367011944792
Acetatifactor (OTU 103)	66	0.0036844482870212157	Wilcoxon signed rank test with continuity correction	two.sided	0.019325367011944792
Lachnospiraceae (OTU 215)	66	0.0037015245748410904	Wilcoxon signed rank test with continuity correction	two.sided	0.019325367011944792
Porphyromonadaceae (OTU 228)	66	0.0037875997707152373	Wilcoxon signed rank test with continuity correction	two.sided	0.019325367011944792
Oscillibacter (OTU 271)	66	0.003753030913295479	Wilcoxon signed rank test with continuity correction	two.sided	0.019325367011944792
Lachnospiraceae (OTU 281)	66	0.0036504344044418786	Wilcoxon signed rank test with continuity correction	two.sided	0.019325367011944792
Lachnospiraceae (OTU 332)	66	0.0036844482870212157	Wilcoxon signed rank test with continuity correction	two.sided	0.019325367011944792
Alistipes (OTU 21)	66	0.0038572928299425344	Wilcoxon signed rank test with continuity correction	two.sided	0.01935111151557763
Parasutterella (OTU 26)	66	0.0038572928299425344	Wilcoxon signed rank test with continuity correction	two.sided	0.01935111151557763
Porphyromonadaceae (OTU 140)	66	0.0038572928299425344	Wilcoxon signed rank test with continuity correction	two.sided	0.01935111151557763
Ruminococcaceae (OTU 279)	45	0.004763576802836744	Wilcoxon signed rank test with continuity correction	two.sided	0.023764955383041093
Lachnospiraceae (OTU 325)	55	0.004995460900630501	Wilcoxon signed rank test with continuity correction	two.sided	0.024784109882686135
Lachnospiraceae (OTU 220)	55	0.0052944899464669615	Wilcoxon signed rank test with continuity correction	two.sided	0.026123362483117207
Bacteroides (OTU 12)	55	0.00560319359993426	Wilcoxon signed rank test with continuity correction	two.sided	0.02676419070606896
Lachnospiraceae (OTU 198)	55	0.005571888809893588	Wilcoxon signed rank test with continuity correction	two.sided	0.02676419070606896
Lachnospiraceae (OTU 247)	55	0.005571888809893588	Wilcoxon signed rank test with continuity correction	two.sided	0.02676419070606896
Clostridiales (OTU 322)	55	0.00560319359993426	Wilcoxon signed rank test with continuity correction	two.sided	0.02676419070606896
Firmicutes (OTU 326)	55	0.005540680462065574	Wilcoxon signed rank test with continuity correction	two.sided	0.02676419070606896
Oscillibacter (OTU 441)	55	0.005478553242547369	Wilcoxon signed rank test with continuity correction	two.sided	0.02676419070606896
Lachnospiraceae (OTU 45)	55	0.005889270041817481	Wilcoxon signed rank test with continuity correction	two.sided	0.026845505063716232
Porphyromonadaceae (OTU 112)	55	0.005889270041817481	Wilcoxon signed rank test with continuity correction	two.sided	0.026845505063716232
Alistipes (OTU 161)	55	0.005889270041817481	Wilcoxon signed rank test with continuity correction	two.sided	0.026845505063716232
Porphyromonadaceae (OTU 227)	55	0.005889270041817481	Wilcoxon signed rank test with continuity correction	two.sided	0.026845505063716232
Acetatifactor (OTU 237)	55	0.005825024199461524	Wilcoxon signed rank test with continuity correction	two.sided	0.026845505063716232
Lachnospiraceae (OTU 249)	55	0.005729376404626987	Wilcoxon signed rank test with continuity correction	two.sided	0.026845505063716232
Clostridiales (OTU 333)	55	0.005761162816017594	Wilcoxon signed rank test with continuity correction	two.sided	0.026845505063716232
Bacteria (OTU 365)	55	0.005729376404626987	Wilcoxon signed rank test with continuity correction	two.sided	0.026845505063716232
Ruminococcaceae (OTU 467)	55	0.005729376404626987	Wilcoxon signed rank test with continuity correction	two.sided	0.026845505063716232
Erysipelotrichaceae (OTU 234)	45	0.006008477630246814	Wilcoxon signed rank test with continuity correction	two.sided	0.02711363272342532
Lachnospiraceae (OTU 303)	45	0.006008477630246814	Wilcoxon signed rank test with continuity correction	two.sided	0.02711363272342532
Firmicutes (OTU 444)	45	0.007086405184044073	Wilcoxon signed rank test with continuity correction	two.sided	0.03181795927635789
Lachnospiraceae (OTU 493)	45	0.0074117471310097185	Wilcoxon signed rank test with continuity correction	two.sided	0.03311317872461059
Oscillibacter (OTU 413)	45	0.007744715088732198	Wilcoxon signed rank test with continuity correction	two.sided	0.03442947598852235
Ruminococcaceae (OTU 354)	45	0.007914041622147478	Wilcoxon signed rank test with continuity correction	two.sided	0.03500891318565732
Bacteria (OTU 370)	45	0.008433303834235335	Wilcoxon signed rank test with continuity correction	two.sided	0.037123072760506526
Bacteria (OTU 265)	45	0.008550979237125333	Wilcoxon signed rank test with continuity correction	two.sided	0.037457460267992924
Lachnospiraceae (OTU 82)	45	0.009090698015925056	Wilcoxon signed rank test with continuity correction	two.sided	0.037619570591247466
Porphyromonadaceae (OTU 88)	45	0.009090698015925056	Wilcoxon signed rank test with continuity correction	two.sided	0.037619570591247466
Clostridiales (OTU 148)	45	0.009090698015925056	Wilcoxon signed rank test with continuity correction	two.sided	0.037619570591247466
Firmicutes (OTU 184)	45	0.008908948268732642	Wilcoxon signed rank test with continuity correction	two.sided	0.037619570591247466
Firmicutes (OTU 186)	45	0.008908948268732642	Wilcoxon signed rank test with continuity correction	two.sided	0.037619570591247466
Clostridiales (OTU 188)	45	0.009090698015925056	Wilcoxon signed rank test with continuity correction	two.sided	0.037619570591247466
Lachnospiraceae (OTU 208)	45	0.009090698015925056	Wilcoxon signed rank test with continuity correction	two.sided	0.037619570591247466
Lachnospiraceae (OTU 263)	45	0.008848773653994606	Wilcoxon signed rank test with continuity correction	two.sided	0.037619570591247466
Lachnospiraceae (OTU 278)	45	0.008848773653994606	Wilcoxon signed rank test with continuity correction	two.sided	0.037619570591247466
Lachnospiraceae (OTU 338)	45	0.008848773653994606	Wilcoxon signed rank test with continuity correction	two.sided	0.037619570591247466
Clostridiales (OTU 341)	45	0.008908948268732642	Wilcoxon signed rank test with continuity correction	two.sided	0.037619570591247466
Oscillibacter (OTU 361)	45	0.009029910762692462	Wilcoxon signed rank test with continuity correction	two.sided	0.037619570591247466
Porphyromonadaceae (OTU 157)	45	0.009151688852650072	Wilcoxon signed rank test with continuity correction	two.sided	0.03769824123706314
Lachnospiraceae (OTU 348)	28	0.010733416102997195	Wilcoxon signed rank test with continuity correction	two.sided	0.04401190712553188
Asaccharobacter (OTU 385)	36	0.011975903676808506	Wilcoxon signed rank test with continuity correction	two.sided	0.04888346137170018
Lachnospiraceae (OTU 223)	36	0.012643830673814168	Wilcoxon signed rank test with continuity correction	two.sided	0.05137628934427657
Clostridiales (OTU 310)	36	0.0129840292564408	Wilcoxon signed rank test with continuity correction	two.sided	0.05228546310441183
Lachnospiraceae (OTU 375)	36	0.0129840292564408	Wilcoxon signed rank test with continuity correction	two.sided	0.05228546310441183
