otu	statistic	p.value	parameter	method	Schloss	Young	Jackson	Charles River	Taconic	Envigo	p.value.adj
Parabacteroides (OTU 24)	37.518987341772174	4.7129557584711234e-7	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0.09233032922567593	8.543154792189347e-5
Bacteroides (OTU 32)	37.35121951219511	5.092789741990669e-7	5	Kruskal-Wallis rank sum test	0	0	0	0.023128563546073202	0	0	8.543154792189347e-5
Deltaproteobacteria (OTU 174)	37.5274700429573	4.6945180063428355e-7	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0.0052549988176252655	8.543154792189347e-5
Alistipes (OTU 194)	37.366409109394056	5.057180549912714e-7	5	Kruskal-Wallis rank sum test	0	0	0	0.0021151370240941694	0	0	8.543154792189347e-5
Parasutterella (OTU 26)	34.703234189678085	1.7244039303359587e-6	5	Kruskal-Wallis rank sum test	3.0654159769480714e-5	0	0.022144565017472872	0.017840720985837777	0	0	2.2124961796032307e-4
Burkholderiales (OTU 34)	34.403902439024414	1.9783870458449157e-6	5	Kruskal-Wallis rank sum test	0	0	0	0	3.678499172337686e-5	0.020941170288236687	2.2124961796032307e-4
Clostridiales (OTU 148)	31.81758819538669	6.456397879961182e-6	5	Kruskal-Wallis rank sum test	0	0	0	0.002253080743056833	0	0	5.450917504021287e-4
Rhodospirillaceae (OTU 150)	31.803204113924036	6.498858425062637e-6	5	Kruskal-Wallis rank sum test	0	0	0	0.010644656979952179	0	0	5.450917504021287e-4
Parabacteroides (OTU 5)	31.44112012430871	7.664063730058192e-6	5	Kruskal-Wallis rank sum test	2.4523327815584577e-4	1.1495309913555268e-4	1.1035497517013058e-4	0.07175372448041199	0.18646312304579732	0.3203184529283481	5.713985292076719e-4
Mucispirillum (OTU 19)	30.98370334813394	9.436905642824306e-6	5	Kruskal-Wallis rank sum test	0	0	0	0.007517932683465146	0.02663233400772485	0.0020231745447857274	5.756512442122827e-4
Bifidobacterium (OTU 46)	31.171835400827028	8.663149368781248e-6	5	Kruskal-Wallis rank sum test	0.004352890687266262	0.01574857458157072	0	0	0	5.51774875850653e-4	5.756512442122827e-4
Akkermansia (OTU 15)	30.727137690519275	1.0603865451097912e-5	5	Kruskal-Wallis rank sum test	0	0	0	0	0.17848077984182453	7.882498226437898e-5	5.929328098072249e-4
Clostridium (OTU 74)	29.423649635036483	1.914634861535845e-5	5	Kruskal-Wallis rank sum test	0	0	0	0	0.04373735515909509	0	8.564799947270346e-4
Anaerostipes (OTU 166)	29.423649635036483	1.914634861535845e-5	5	Kruskal-Wallis rank sum test	0	0	0	0	0.015964686407945558	0	8.564799947270346e-4
Dorea (OTU 301)	29.43439211391017	1.905353177727856e-5	5	Kruskal-Wallis rank sum test	0	0	3.678499172337686e-4	0	0	0	8.564799947270346e-4
Bacteroides (OTU 2)	28.529041889483057	2.867942589072327e-5	5	Kruskal-Wallis rank sum test	1.532707988474036e-4	6.897185948133162e-5	0.6111826374839066	0.050970204156704065	1.4713996689350744e-4	1.5764996452875796e-4	0.001202743423292207
Proteus (OTU 16)	28.24230429191449	3.263624616600982e-5	5	Kruskal-Wallis rank sum test	0	0	3.678499172337686e-5	3.2186867757954754e-4	0.09839985286003311	0	0.0012881718339642699
Turicibacter (OTU 14)	27.640417165017592	4.278886827284801e-5	5	Kruskal-Wallis rank sum test	0.009410827049230581	0.00986297590583042	0.033474342468272945	2.528968180982159e-4	0.0033474342468272945	0	0.0015950739228378342
Lactobacillus (OTU 49)	26.992406049198404	5.723701948806382e-5	5	Kruskal-Wallis rank sum test	0	0	0	0.011771197351480597	0	0.005176173835360887	0.0020213705303416224
Porphyromonadaceae (OTU 10)	26.19976419728826	8.161718093292512e-5	5	Kruskal-Wallis rank sum test	0.13573661945926063	0	1.1035497517013058e-4	0	3.678499172337686e-5	7.8824982264379e-5	0.0026686022778455213
Lachnospiraceae (OTU 85)	26.14824441669332	8.351810407564225e-5	5	Kruskal-Wallis rank sum test	0	0	0	2.528968180982159e-4	0.005149898841272761	7.882498226437898e-5	0.0026686022778455213
Parabacteroides (OTU 386)	25.393017776825914	1.1697775978325109e-4	5	Kruskal-Wallis rank sum test	0	0	0	0	0	6.568748522031583e-4	0.0035678216733891583
Ruminococcaceae (OTU 133)	24.73226260379058	1.569351403249902e-4	5	Kruskal-Wallis rank sum test	3.0654159769480714e-5	3.2186867757954754e-4	1.1035497517013058e-4	0.0017702777266875114	0	5.254998817625266e-5	0.004412281311049674
Lachnospiraceae (OTU 175)	24.71965247737587	1.5781632111056958e-4	5	Kruskal-Wallis rank sum test	0	0	0	0.0015633621482435166	3.678499172337686e-5	1.3137497044063165e-4	0.004412281311049674
Oscillibacter (OTU 77)	23.988320663441606	2.182378075887296e-4	5	Kruskal-Wallis rank sum test	2.758874379253265e-4	0	3.678499172337686e-5	7.816810741217583e-4	0.008129483170866286	0	0.005857502755681502
Clostridium (OTU 43)	23.30255877880456	2.954416614856238e-4	5	Kruskal-Wallis rank sum test	0	0	0.03851388633437557	0.0023220526025381646	0.014493286739010484	0.0078036732441735205	0.007369517516327903
Lachnospiraceae (OTU 104)	23.216203692337913	3.069044090535437e-4	5	Kruskal-Wallis rank sum test	0	0	0	0.0012414934706639692	0	0.002785149373341391	0.007369517516327903
Lachnospiraceae (OTU 120)	23.132004404037367	3.185037376654384e-4	5	Kruskal-Wallis rank sum test	0	0	3.678499172337686e-5	8.276623137759794e-4	4.414199006805224e-4	0.002233374497490738	0.007369517516327903
Lachnospiraceae (OTU 149)	23.17754167474315	3.1217774733963914e-4	5	Kruskal-Wallis rank sum test	0	0	0	0.003954386610263013	0	2.627499408812633e-5	0.007369517516327903
Enterococcus (OTU 23)	22.762471709759268	3.7474661420757946e-4	5	Kruskal-Wallis rank sum test	0	9.196247930844215e-5	0.003421004230274048	1.839249586168843e-4	0.011771197351480595	0.0031529992905751595	0.0083818326044428609
Butyricicoccus (OTU 131)	22.450087374399278	4.298600259220382e-4	5	Kruskal-Wallis rank sum test	0.0011648580712402673	7.127092146404267e-4	0	2.299061982711054e-4	0	5.254998817625266e-5	0.009304389593344762
