otu	statistic	p.value	method	Schloss	Young	Jackson	Charles River	Taconic	Envigo	p.value.adj	Young-Schloss	Jackson-Schloss	Charles River-Schloss	Taconic-Schloss	Envigo-Schloss	Jackson-Young	Charles River-Young	Taconic-Young	Envigo-Young	Charles River-Jackson	Taconic-Jackson	Envigo-Jackson	Taconic-Charles River	Envigo-Charles River	Envigo-Taconic	day
Akkermansia (OTU 15)	38.370484242890065	3.178801327019408e-7	Kruskal-Wallis rank sum test	0	0	0	0	0.019863895530623506	0	4.073406843337727e-5	NA	NA	NA	0.0019876188015565495	NA	NA	NA	0.0019865897514636174	NA	NA	0.0033213651890804563	NA	0.0019876188015565495	NA	0.0019865897514636174	-1
Parasutterella (OTU 26)	38.675	2.7607571712332344e-7	Kruskal-Wallis rank sum test	0	0	0.02299061982711054	6.437373551590951e-4	0	0	4.073406843337727e-5	NA	0.004329004329004329	0.003572267284413042	NA	NA	0.0025545682488698276	0.0025545682488698276	NA	NA	0.004329004329004329	0.0025545682488698276	0.0031196595386267802	0.0025545682488698276	0.002617366389042625	NA	-1
Bacteroides (OTU 32)	38.6682867557716	2.769354622256758e-7	Kruskal-Wallis rank sum test	0	0	0	0.018116608423763104	0	0	4.073406843337727e-5	NA	NA	0.0034730376376237906	NA	NA	NA	0.0019501063995788902	NA	NA	0.005494110875631204	NA	NA	0.0019501063995788902	0.00242348739726169	NA	-1
Burkholderiales (OTU 34)	38.53293413173654	2.9484980395386926e-7	Kruskal-Wallis rank sum test	0	0	0	0	0	0.0075409233032922565	4.073406843337727e-5	NA	NA	NA	NA	0.002583945311582054	NA	NA	NA	0.001391567614424949	NA	NA	0.0042004626510642575	NA	0.002583945311582054	0.001391567614424949	-1
Betaproteobacteria (OTU 58)	38.54117647058825	2.937266427534004e-7	Kruskal-Wallis rank sum test	0	0	0	0	0	0.0025749494206363803	4.073406843337727e-5	NA	NA	NA	NA	0.00254352558960903	NA	NA	NA	0.0013729550849788026	NA	NA	0.004129481276839131	NA	0.00254352558960903	0.0013729550849788026	-1
Butyricimonas (OTU 65)	38.6682867557716	2.769354622256758e-7	Kruskal-Wallis rank sum test	0	0	0	0.01370240941695788	0	0	4.073406843337727e-5	NA	NA	0.0034730376376237906	NA	NA	NA	0.0019501063995788902	NA	NA	0.005494110875631204	NA	NA	0.0019501063995788902	0.00242348739726169	NA	-1
Bacteroides (OTU 266)	38.7059109705668	2.721512091340898e-7	Kruskal-Wallis rank sum test	0	0	0	5.51774875850653e-4	0	0	4.073406843337727e-5	NA	NA	0.003208348091437589	NA	NA	NA	0.0018251055536436436	NA	NA	0.005035912801732338	NA	NA	0.0018251055536436436	0.002254408976691342	NA	-1
Lactobacillus (OTU 49)	35.688075224917355	1.0964999316638907e-6	Kruskal-Wallis rank sum test	0	0	0	0.0034026117344123597	0	0.0018392495861688431	1.2294505483781374e-4	NA	0.36131042852617873	0.005556860220198065	NA	0.004961174998237543	0.32205795275131294	0.0023401276794946684	NA	0.0023401276794946684	0.01309538530873616	0.32205795275131294	0.008483271226763065	0.0023401276794946684	0.34543073317620665	0.0023401276794946684	-1
Lachnospiraceae (OTU 263)	35.05263388937663	1.4686932593524659e-6	Kruskal-Wallis rank sum test	0	0	0	0	0.0010115872723928637	0	1.4637976151546245e-4	NA	NA	0.4552388571681968	0.004648285684235553	NA	NA	0.4552388571681968	0.0034905331833082116	NA	0.4652088184521417	0.0058152787206745445	NA	0.0058152787206745445	0.4552388571681968	0.0034905331833082116	-1
Bacteroides (OTU 39)	34.69076133447391	1.734308504070209e-6	Kruskal-Wallis rank sum test	0	0	0	0.018852308258230643	0	0	1.5556747281509777e-4	0.39885691474518903	0.4652088184521417	0.008245232077586715	0.39885691474518903	0.39885691474518903	NA	0.0035101915192420024	NA	NA	0.009889399576136167	NA	NA	0.0035101915192420024	0.004362277315071042	NA	-1
Parabacteroides (OTU 5)	34.19591883971209	2.1764432125955875e-6	Kruskal-Wallis rank sum test	9.196247930844215e-5	0	0	0.07338605848813684	0.3669302924406842	0.0014713996689350744	1.7747905106347655e-4	0.17847638586545916	0.682236562435615	0.00880818279249389	0.005708758911875923	0.015645814729989153	0.3399755441388365	0.003589037247283393	0.00333000333000333	0.003589037247283393	0.012346389519482689	0.008676474180029002	0.01260144931338503	0.00333000333000333	0.2703066164604626	0.00333000333000333	-1
Lactobacillus (OTU 31)	33.85699904122722	2.5422809292740494e-6	Kruskal-Wallis rank sum test	0.009012322972227331	0.00974802280669487	0	0	0	0.0016553246275519589	1.900354994632352e-4	0.6982198193799275	0.009614694032354607	0.008258962553678263	0.003640198612547262	0.025558204822443018	0.008258962553678263	0.008258962553678263	0.003640198612547262	0.04029764453207183	0.5009941121792295	NA	0.008258962553678263	0.36437499195558537	0.010076646316235631	0.003640198612547262	-1
Alistipes (OTU 21)	33.29350649350654	3.2906491213752878e-6	Kruskal-Wallis rank sum test	0	0.038440316350928816	0	0	0	0	2.2705478937489485e-4	0.003577713842801789	NA	NA	NA	0.11310039630538028	0.005978457340344821	0.003577713842801789	0.003577713842801789	0.003577713842801789	NA	NA	0.13566031832461298	NA	0.11310039630538028	0.08563424908454584	-1
Bacteroidetes (OTU 59)	32.24700598802398	5.30822786084765e-6	Kruskal-Wallis rank sum test	0	0	0	0.01563362148243517	0	0	3.34760078705482e-4	NA	NA	0.008335290330297097	NA	0.4954507854063787	NA	0.0035101915192420024	NA	0.4494533221585263	0.012361749470170208	NA	0.49896229860376107	0.0035101915192420024	0.02369166764309333	0.4494533221585263	-1
Lachnospiraceae (OTU 114)	31.400966183574905	7.80543494104695e-6	Kruskal-Wallis rank sum test	0	0	0	6.437373551590951e-4	0	0	3.34760078705482e-4	NA	NA	0.011831346423055257	NA	NA	NA	0.00825128122339838	NA	NA	0.016591004392462465	NA	NA	0.00825128122339838	0.009229878783329003	NA	-1
Alistipes (OTU 194)	31.39204545454548	7.837192478054762e-6	Kruskal-Wallis rank sum test	0	0	0	0.002482986941327938	0	0	3.34760078705482e-4	NA	NA	0.01202714948219892	NA	NA	NA	0.008368852031361272	NA	NA	0.01688672882333288	NA	NA	0.008368852031361272	0.00937151223614408	NA	-1
Romboutsia (OTU 212)	31.39204545454548	7.837192478054762e-6	Kruskal-Wallis rank sum test	0	0	0	0.005425786279198087	0	0	3.34760078705482e-4	NA	NA	0.01202714948219892	NA	NA	NA	0.008368852031361272	NA	NA	0.01688672882333288	NA	NA	0.008368852031361272	0.00937151223614408	NA	-1
Roseburia (OTU 252)	31.39204545454548	7.837192478054762e-6	Kruskal-Wallis rank sum test	0	0	0	6.437373551590951e-4	0	0	3.34760078705482e-4	NA	NA	0.01202714948219892	NA	NA	NA	0.008368852031361272	NA	NA	0.01688672882333288	NA	NA	0.008368852031361272	0.00937151223614408	NA	-1
Clostridiales (OTU 276)	31.42775881683734	7.71082057563731e-6	Kruskal-Wallis rank sum test	0	0	0	8.276623137759794e-4	0	0	3.34760078705482e-4	NA	NA	0.011253499405108338	NA	NA	NA	0.007904489321045845	NA	NA	0.01571707140943227	NA	NA	0.007904489321045845	0.008812103144104137	NA	-1
Firmicutes (OTU 304)	31.39204545454548	7.837192478054762e-6	Kruskal-Wallis rank sum test	0	0	0	0.001195512231009748	0	0	3.34760078705482e-4	NA	NA	0.01202714948219892	NA	NA	NA	0.008368852031361272	NA	NA	0.01688672882333288	NA	NA	0.008368852031361272	0.00937151223614408	NA	-1
Clostridia (OTU 316)	31.400966183574905	7.80543494104695e-6	Kruskal-Wallis rank sum test	0	0	0	2.758874379253265e-4	0	0	3.34760078705482e-4	NA	NA	0.011831346423055257	NA	NA	NA	0.00825128122339838	NA	NA	0.016591004392462465	NA	NA	0.00825128122339838	0.009229878783329003	NA	-1
Ruminococcaceae (OTU 488)	30.97844611528821	9.45948626708471e-6	Kruskal-Wallis rank sum test	0	0	1.839249586168843e-4	0	0	0	3.856890537079538e-4	NA	0.006738881799500514	NA	NA	0.4404006981390033	0.004133352706286664	NA	NA	0.4404006981390033	0.006738881799500514	0.004133352706286664	0.04804308267559929	NA	0.4404006981390033	0.4404006981390033	-1
