otu	statistic	p.value	parameter	method	-1	0	1	p.value.adj
Otu0225	9.281767955801095	0.009649164208497462	2	Kruskal-Wallis rank sum test	4.203999054100213e-4	0	0	0.08636792881704286
Otu0238	9.281767955801095	0.009649164208497462	2	Kruskal-Wallis rank sum test	0.005176173835360886	0	0	0.08636792881704286
Otu0255	9.281767955801095	0.009649164208497462	2	Kruskal-Wallis rank sum test	0.004545573977245855	0	0	0.08636792881704286
Otu0261	9.281767955801095	0.009649164208497462	2	Kruskal-Wallis rank sum test	0.002627499408812633	0	0	0.08636792881704286
Otu0283	9.294605809128623	0.00958742529184925	2	Kruskal-Wallis rank sum test	3.6784991723376866e-4	0	0	0.08636792881704286
Otu0285	9.294605809128623	0.00958742529184925	2	Kruskal-Wallis rank sum test	8.145248167319162e-4	0	0	0.08636792881704286
Otu0288	9.294605809128623	0.00958742529184925	2	Kruskal-Wallis rank sum test	4.7294989358627395e-4	0	0	0.08636792881704286
Otu0295	9.281767955801095	0.009649164208497462	2	Kruskal-Wallis rank sum test	0.0037047741664258125	0	0	0.08636792881704286
Otu0298	9.294605809128623	0.00958742529184925	2	Kruskal-Wallis rank sum test	3.415749231456423e-4	0	0	0.08636792881704286
Otu0312	9.281767955801095	0.009649164208497462	2	Kruskal-Wallis rank sum test	0.003573399195985181	0	0	0.08636792881704286
Otu0339	9.281767955801095	0.009649164208497462	2	Kruskal-Wallis rank sum test	0.0018392495861688431	0	0	0.08636792881704286
Otu0391	9.307479224376722	0.009525912022224576	2	Kruskal-Wallis rank sum test	1.5764996452875796e-4	0	0	0.08636792881704286
Otu0438	9.281767955801095	0.009649164208497462	2	Kruskal-Wallis rank sum test	0.0016290496334638324	0	0	0.08636792881704286
Otu0441	9.294605809128623	0.00958742529184925	2	Kruskal-Wallis rank sum test	7.356998344675372e-4	0	0	0.08636792881704286
Otu0473	9.294605809128623	0.00958742529184925	2	Kruskal-Wallis rank sum test	2.627499408812633e-4	0	0	0.08636792881704286
Otu0019	8.92220172201722	0.011549641736172636	2	Kruskal-Wallis rank sum test	0.012401797209595628	3.6784991723376866e-4	0	0.10171136109597192
Otu0044	8.660302830809746	0.01316555387148145	2	Kruskal-Wallis rank sum test	0.0011823747339656848	0	1.1495309913555268e-4	0.11410146688617255
Otu0004	8.566556952904962	0.01379735355684595	2	Kruskal-Wallis rank sum test	0.04348511521584908	4.2915823677273007e-4	0.006046533014530071	0.117708672531842
Otu0005	8.287002135946727	0.015867201992270683	2	Kruskal-Wallis rank sum test	0.0439055151212591	2.452332781558457e-4	0.22634265219790325	0.13328449673507375
Otu0003	6.895014103202239	0.031824875339731586	2	Kruskal-Wallis rank sum test	0.014766546677526998	3.0654159769480714e-5	0.050487401140334745	0.14447956555449662
Otu0021	6.619964973730294	0.036516813272015634	2	Kruskal-Wallis rank sum test	8.670748049081689e-4	0	0	0.14447956555449662
Otu0028	6.971131903240529	0.0306364147932478	2	Kruskal-Wallis rank sum test	8.933497989962952e-4	0	4.368217767151002e-4	0.14447956555449662
Otu0038	6.631578947368419	0.03630537512210585	2	Kruskal-Wallis rank sum test	1.5764996452875796e-4	0	0	0.14447956555449662
Otu0040	6.619964973730294	0.036516813272015634	2	Kruskal-Wallis rank sum test	7.882498226437899e-4	0	0	0.14447956555449662
Otu0048	6.619964973730294	0.036516813272015634	2	Kruskal-Wallis rank sum test	1.839249586168843e-4	0	0	0.14447956555449662
Otu0067	6.619964973730294	0.036516813272015634	2	Kruskal-Wallis rank sum test	9.984497753488006e-4	0	0	0.14447956555449662
Otu0077	6.631578947368419	0.03630537512210585	2	Kruskal-Wallis rank sum test	4.203999054100213e-4	0	0	0.14447956555449662
Otu0079	6.947447197738237	0.031001378775124763	2	Kruskal-Wallis rank sum test	9.458997871725479e-4	0	2.2990619827110538e-5	0.14447956555449662
Otu0089	7.179194352159466	0.027609449930354565	2	Kruskal-Wallis rank sum test	6.043248640269056e-4	0	2.2990619827110538e-5	0.14447956555449662
Otu0098	6.666666666666663	0.03567399334725246	2	Kruskal-Wallis rank sum test	7.882498226437898e-5	0	0	0.14447956555449662
Otu0100	6.619964973730294	0.036516813272015634	2	Kruskal-Wallis rank sum test	0.001681599621640085	0	0	0.14447956555449662
Otu0101	6.619964973730294	0.036516813272015634	2	Kruskal-Wallis rank sum test	0.06778948474736593	0	0	0.14447956555449662
Otu0102	6.619964973730294	0.036516813272015634	2	Kruskal-Wallis rank sum test	0.0022859244856669905	0	0	0.14447956555449662
Otu0104	7.748571428571426	0.02076916769648718	2	Kruskal-Wallis rank sum test	0.0011560997398775586	0	1.839249586168843e-4	0.14447956555449662
