otu	statistic	p.value	parameter	method	Schloss	Young	Jackson	Charles River	Taconic	Envigo	p.value.adj
Burkholderiales (OTU 34)	37.65862422997945	4.4184148567759325e-7	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0.014805959168659188	6.274149096621824e-5
Betaproteobacteria (OTU 58)	37.65862422997945	4.4184148567759325e-7	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0.03454723806020477	6.274149096621824e-5
Lactobacillus (OTU 49)	36.67514723203769	6.958059317232886e-7	5	Kruskal-Wallis rank sum test	0	0	0	0.012249402243884495	0	0.027956593709766414	6.586962820313799e-5
Ruminococcaceae (OTU 152)	32.78227642276421	4.157226060926562e-6	5	Kruskal-Wallis rank sum test	0	0	0	0.0016921096192753357	0	3.0654159769480714e-5	2.951630503257859e-4
Parasutterella (OTU 26)	30.61593282044238	1.1153180899077695e-5	5	Kruskal-Wallis rank sum test	0	2.2990619827110538e-5	0.0170130586720618	0.07003862424130955	0	3.0654159769480714e-5	6.33500675067613e-4
Ruminococcaceae (OTU 499)	29.531428571428563	1.8235103340044144e-5	5	Kruskal-Wallis rank sum test	0	0	0	1.4713996689350744e-4	0	0	8.631282247620895e-4
Enterobacteriaceae (OTU 1)	28.33430179300634	3.1311054978745696e-5	5	Kruskal-Wallis rank sum test	0.8783467773719751	0.7565293360308993	0.15514070259334192	0.23089939304763657	0.002133529519955858	0.44739746183557105	0.001270334230566254
Mucispirillum (OTU 19)	27.343372104714142	4.8897482114720985e-5	5	Kruskal-Wallis rank sum test	2.627499408812633e-5	4.5981239654221075e-5	1.3794371896266324e-4	0.009931947765311753	0.016332536325179326	3.6784991723376866e-4	0.001735860615072595
Proteus (OTU 16)	26.781931797063795	6.289924751530722e-5	5	Kruskal-Wallis rank sum test	0	6.897185948133162e-5	0	1.103549751701306e-4	0.5392311936729814	0	0.0019848206993719167
Enterococcus (OTU 23)	25.72332229037025	1.009640580776463e-4	5	Kruskal-Wallis rank sum test	5.254998817625266e-5	6.897185948133162e-5	0.075708111090675	0.023137759794004047	0.05510391760161854	0.13665624425234504	0.0028673792494051547
Lactobacillus (OTU 6)	23.301594558376035	2.9556728629794287e-4	5	Kruskal-Wallis rank sum test	0.0820305315431304	0.21514622034210043	6.897185948133162e-5	0.09130034945742138	0.12565753172705535	0.27177978051621604	0.007631009937146888
Bacteroides (OTU 224)	21.492511848341316	6.536160646738396e-4	5	Kruskal-Wallis rank sum test	0	0	0	0.003457789221997425	0	0	0.01325906874052646
Erysipelotrichaceae (OTU 342)	21.502702702702784	6.507157920168136e-4	5	Kruskal-Wallis rank sum test	0	0	0	1.839249586168843e-4	0	0	0.01325906874052646
Clostridium (OTU 443)	21.502702702702784	6.507157920168136e-4	5	Kruskal-Wallis rank sum test	0	0	0	4.414199006805223e-4	0	0	0.01325906874052646
Parabacteroides (OTU 5)	21.152295041728	7.581067059387218e-4	5	Kruskal-Wallis rank sum test	2.627499408812633e-5	2.0691557844399486e-4	2.758874379253265e-4	0.03586536693029244	0.1092146404267059	2.452332781558457e-4	0.014353486965773132
Bacteroides (OTU 2)	20.242469761807072	0.0011253231344022356	5	Kruskal-Wallis rank sum test	0.006857773457000973	5.51774875850653e-4	0.7088927717491263	0.005002758874379253	5.51774875850653e-4	2.758874379253265e-4	0.01997448563563968
Lactobacillus (OTU 31)	19.50368618311661	0.0015480506362620667	5	Kruskal-Wallis rank sum test	0.0017341496098163378	7.127092146404267e-4	0	0.005995953650910428	0	0.010299797682545521	0.025861551805789824
Lachnospiraceae (OTU 130)	19.250989462863004	0.001725795005697309	5	Kruskal-Wallis rank sum test	0	0	0	2.2070995034026116e-4	2.942799337870149e-4	3.0654159769480714e-5	0.027229210089890876
Clostridiales (OTU 324)	17.383649289099555	0.0038268373689176413	5	Kruskal-Wallis rank sum test	0	0	0	0	0	8.889706333149408e-4	0.057201148040663695
Turicibacter (OTU 14)	16.890769270671214	0.004711683190691981	5	Kruskal-Wallis rank sum test	0.0012349247221419375	0.0012185028508368584	0.010966525657531727	0	7.356998344675372e-5	3.0654159769480714e-5	0.06690590130782613
Lachnospiraceae (OTU 17)	15.894943350668658	0.007150504693507626	5	Kruskal-Wallis rank sum test	5.254998817625266e-5	0	4.368217767151003e-4	0.007798418245355895	0.0046349089571454845	0	0.09230651513437116
Clostridium (OTU 43)	15.894973571864211	0.007150414651913933	5	Kruskal-Wallis rank sum test	0	0	2.299061982711054e-4	0.025675924222917052	0.001361044693764944	6.130831953896143e-5	0.09230651513437116
Clostridium (OTU 154)	15.561208970613475	0.00821516857172679	5	Kruskal-Wallis rank sum test	0	0.005678683097296303	0	4.0463490895714546e-4	0	7.050456746980566e-4	0.10143947279871339
Bifidobacterium (OTU 46)	14.448747461069752	0.012996670768785131	5	Kruskal-Wallis rank sum test	1.57649964528758e-4	0	0	0	0	0	0.12884753781207756
Lachnospiraceae (OTU 47)	13.957894736842242	0.015879097969798292	5	Kruskal-Wallis rank sum test	0	0	0	0	1.839249586168843e-4	0	0.12884753781207756
Lachnospiraceae (OTU 48)	13.957894736842242	0.015879097969798292	5	Kruskal-Wallis rank sum test	0	0	0	0	1.4713996689350744e-4	0	0.12884753781207756
Ruminococcaceae (OTU 55)	13.967567567567713	0.01581674894505342	5	Kruskal-Wallis rank sum test	0	0	0	0	7.356998344675372e-5	0	0.12884753781207756
Bacteroidetes (OTU 59)	13.957894736842242	0.015879097969798292	5	Kruskal-Wallis rank sum test	0	0	0	1.4713996689350744e-4	0	0	0.12884753781207756
Ruminococcaceae (OTU 84)	13.957894736842242	0.015879097969798292	5	Kruskal-Wallis rank sum test	0	0	0	0	1.1035497517013058e-4	0	0.12884753781207756
Lachnospiraceae (OTU 193)	13.957894736842242	0.015879097969798292	5	Kruskal-Wallis rank sum test	0	0	0	1.4713996689350744e-4	0	0	0.12884753781207756
Lachnospiraceae (OTU 243)	13.957894736842242	0.015879097969798292	5	Kruskal-Wallis rank sum test	0	0	0	1.1035497517013058e-4	0	0	0.12884753781207756
Firmicutes (OTU 258)	13.957894736842242	0.015879097969798292	5	Kruskal-Wallis rank sum test	0	0	0	0	1.1035497517013058e-4	0	0.12884753781207756
Lachnospiraceae (OTU 264)	13.957894736842242	0.015879097969798292	5	Kruskal-Wallis rank sum test	0	0	0	8.460548096376678e-4	0	0	0.12884753781207756
Erysipelotrichaceae (OTU 383)	13.957894736842242	0.015879097969798292	5	Kruskal-Wallis rank sum test	0	0	0	6.989148427441604e-4	0	0	0.12884753781207756
Proteobacteria (OTU 407)	13.957894736842242	0.015879097969798292	5	Kruskal-Wallis rank sum test	0	0	0	7.724848261909141e-4	0	0	0.12884753781207756
Ruminococcaceae (OTU 364)	13.298380813245672	0.02073743153525029	5	Kruskal-Wallis rank sum test	0	0	0	0	1.4713996689350744e-4	1.839249586168843e-4	0.16359529322253008
Ruminococcaceae (OTU 37)	12.555677254472418	0.02791809049416123	5	Kruskal-Wallis rank sum test	0	0	0	1.1035497517013058e-4	0.002391024462019496	0	0.2086509921142576
Lachnospiraceae (OTU 73)	12.595974512743654	0.027473902136955827	5	Kruskal-Wallis rank sum test	0	0	4.5981239654221075e-5	4.414199006805223e-4	5.885598675740298e-4	0	0.2086509921142576
Bacteroides (OTU 11)	11.950747117282175	0.035468926878131	5	Kruskal-Wallis rank sum test	3.678499172337686e-4	2.2990619827110538e-5	0	0.39039911716019865	0	2.14579118386365e-4	0.25828654444587706
Porphyromonadaceae (OTU 30)	11.289473684210563	0.04593322786912777	5	Kruskal-Wallis rank sum test	0	0	0	0	0	9.196247930844215e-5	0.32612591787080714
