otu	statistic	p.value	parameter	method	Schloss	Young	Jackson	Charles River	Taconic	Envigo	p.value.adj
Akkermansia (OTU 15)	38.86505190311417	2.52808768241431e-7	5	Kruskal-Wallis rank sum test	0	0	0	0	0.050487401140334745	0	3.911674065787999e-5
Bacteroides (OTU 32)	38.53293413173654	2.9484980395386926e-7	5	Kruskal-Wallis rank sum test	0	0	0	0.01731522110407525	0	0	3.911674065787999e-5
Betaproteobacteria (OTU 58)	38.53293413173654	2.9484980395386926e-7	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0.005964423658004677	3.911674065787999e-5
Clostridium (OTU 74)	38.86505190311417	2.52808768241431e-7	5	Kruskal-Wallis rank sum test	0	0	0	0	0.037290785359573295	0	3.911674065787999e-5
Desulfovibrio (OTU 209)	38.53293413173654	2.9484980395386926e-7	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0.0031529992905751595	3.911674065787999e-5
Dorea (OTU 301)	38.54117647058825	2.937266427534004e-7	5	Kruskal-Wallis rank sum test	0	0	0.0017341496098163378	0	0	0	3.911674065787999e-5
Parasutterella (OTU 26)	36.02889424952995	9.372540504179236e-7	5	Kruskal-Wallis rank sum test	2.2990619827110538e-5	0	0.016553246275519587	0.001970624556609475	0	0	1.065791748760953e-4
Mucispirillum (OTU 19)	35.17508798997158	1.388311333491319e-6	5	Kruskal-Wallis rank sum test	0	0	0	0.052444888199900154	0.020323707927165716	0.01602774639375706	1.2346621277515324e-4
Parabacteroides (OTU 24)	35.089398973119934	1.4440851907947208e-6	5	Kruskal-Wallis rank sum test	0	0	0	2.627499408812633e-5	0	0.039123466197220104	1.2346621277515324e-4
Lachnospiraceae (OTU 241)	34.933854310280026	1.5510830750647393e-6	5	Kruskal-Wallis rank sum test	0.0024599963215008276	0	0	5.254998817625266e-5	0	0	1.2346621277515324e-4
Clostridiales (OTU 148)	34.54307126386296	1.8559793784549222e-6	5	Kruskal-Wallis rank sum test	0	0	0	0.005018523870832129	0	4.203999054100213e-4	1.343054168409198e-4
Parabacteroides (OTU 5)	33.580087809917366	2.886099996194117e-6	5	Kruskal-Wallis rank sum test	2.2990619827110538e-5	2.627499408812633e-5	5.254998817625266e-5	0.08066423185054783	0.2637943718962663	0.12280932236790247	1.914446330808764e-4
Proteus (OTU 16)	32.735308441558466	4.247405871186526e-6	5	Kruskal-Wallis rank sum test	0	0	0	5.254998817625266e-5	0.027404818833915764	0	2.583196377179397e-4
Burkholderiales (OTU 34)	32.16249874664733	5.516876684930874e-6	5	Kruskal-Wallis rank sum test	2.2990619827110538e-5	0	2.627499408812633e-5	0	0	0.013689271919913818	2.583196377179397e-4
Deltaproteobacteria (OTU 174)	32.169415032112425	5.4994983637216e-6	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0.0017866995979925904	2.583196377179397e-4
Desulfovibrionaceae (OTU 192)	32.169415032112425	5.4994983637216e-6	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0.0031529992905751595	2.583196377179397e-4
Alistipes (OTU 194)	32.17723453017565	5.479916089881202e-6	5	Kruskal-Wallis rank sum test	0	0	0	0.0015764996452875797	0	0	2.583196377179397e-4
Ruminococcaceae (OTU 288)	31.985912011863533	5.979545924233325e-6	5	Kruskal-Wallis rank sum test	0	0	0	7.094248403794109e-4	0	2.3647494679313697e-4	2.6442880864942925e-4
Lachnospiraceae (OTU 175)	31.547748447204963	7.300881670125584e-6	5	Kruskal-Wallis rank sum test	0	0	0	0.0012874747103181902	4.138311568879897e-4	1.0509997635250532e-4	3.058685162852613e-4
Bacteroides (OTU 2)	30.14595584067787	1.380432836649852e-5	5	Kruskal-Wallis rank sum test	1.3794371896266324e-4	1.839249586168843e-4	0.42486665440500276	0.04553456475472293	2.758874379253265e-4	1.3137497044063165e-4	5.49412268986641e-4
Lachnospiraceae (OTU 35)	30.010679449589215	1.4677368054630849e-5	5	Kruskal-Wallis rank sum test	0.010805591318741953	0.00916997293675609	0	7.356998344675373e-4	9.656060327386427e-4	3.1529992905751593e-4	5.563421414993407e-4
Lachnospiraceae (OTU 206)	29.577738283307013	1.785691366287299e-5	5	Kruskal-Wallis rank sum test	0	0	0	0.0013400246984944428	5.97756115504874e-4	0	6.460956034384954e-4
Lachnospiraceae (OTU 169)	28.964405595119064	2.3563394499006007e-5	5	Kruskal-Wallis rank sum test	0	0	0	0.0019706245566094745	4.5981239654221075e-5	4.992248876744003e-4	8.154983487482079e-4
Lachnospiraceae (OTU 93)	28.849129457224198	2.48224664919315e-5	5	Kruskal-Wallis rank sum test	0.006092514254184293	0.00286397435560577	2.627499408812633e-4	2.627499408812633e-5	0	2.627499408812633e-5	8.232784719823947e-4
Lachnospiraceae (OTU 104)	27.837039958956883	3.9168090557764556e-5	5	Kruskal-Wallis rank sum test	0	0	0	0.0027588743792532648	9.196247930844215e-5	0.005281273811713392	0.0011991461570761764
Lachnospiraceae (OTU 204)	27.898960251272616	3.8092034595324713e-5	5	Kruskal-Wallis rank sum test	0	0.0011823747339656848	0	3.15299929057516e-4	1.3794371896266324e-4	0	0.0011991461570761764
Lachnospiraceae (OTU 127)	27.428959577102944	4.705377674564109e-5	5	Kruskal-Wallis rank sum test	0.00471307706455766	0.0023910244620194963	0	0	0	1.0509997635250532e-4	0.0013872150477603818
Enterococcus (OTU 23)	26.604204853940935	6.811029537169917e-5	5	Kruskal-Wallis rank sum test	0	0	2.627499408812633e-5	0	0.007724848261909141	0.0014451246748469482	0.0017293072864692546
Lactobacillus (OTU 49)	26.722597402597366	6.459346097183805e-5	5	Kruskal-Wallis rank sum test	0	0	0	0.006962873433353478	0	0.006358548569326572	0.0017293072864692546
Lachnospiraceae (OTU 121)	26.11607142857137	8.472736705062932e-5	5	Kruskal-Wallis rank sum test	0	0	0	0.010194697706193016	0	0	0.0017293072864692546
Lachnospiraceae (OTU 141)	26.11607142857137	8.472736705062932e-5	5	Kruskal-Wallis rank sum test	0	0	0	0.004834598912215245	0	0	0.0017293072864692546
Lachnospiraceae (OTU 193)	26.11607142857137	8.472736705062932e-5	5	Kruskal-Wallis rank sum test	0	0.0024435744501957487	0	0	0	0	0.0017293072864692546
Lachnospiraceae (OTU 243)	26.123492875410978	8.444689261542072e-5	5	Kruskal-Wallis rank sum test	0	0	0	0.00157649964528758	0	0	0.0017293072864692546
Roseburia (OTU 252)	26.123492875410978	8.444689261542072e-5	5	Kruskal-Wallis rank sum test	0	0	0	0.0012874747103181902	0	0	0.0017293072864692546
Clostridiales (OTU 276)	26.11607142857137	8.472736705062932e-5	5	Kruskal-Wallis rank sum test	0	0	0	0.0018655245802569693	0	0	0.0017293072864692546
Bacteria (OTU 319)	26.123492875410978	8.444689261542072e-5	5	Kruskal-Wallis rank sum test	0	0	0	0.0012086497280538113	0	0	0.0017293072864692546
Ruminococcaceae (OTU 335)	26.123492875410978	8.444689261542072e-5	5	Kruskal-Wallis rank sum test	0	0	0	7.882498226437899e-4	0	0	0.0017293072864692546
Bacteroides (OTU 372)	26.14578254509989	8.361002947584114e-5	5	Kruskal-Wallis rank sum test	0	0	0	3.15299929057516e-4	0	0	0.0017293072864692546
Ruminococcaceae (OTU 479)	26.153220890062936	8.333258997341192e-5	5	Kruskal-Wallis rank sum test	0	0	0	1.839249586168843e-4	0	0	0.0017293072864692546
Clostridium (OTU 296)	25.61210236896445	1.0609766200915347e-4	5	Kruskal-Wallis rank sum test	0	0	5.254998817625266e-4	2.3647494679313697e-4	0	0	0.0021113434739821538
Lachnospiraceae (OTU 151)	25.53701732313945	1.097086749262576e-4	5	Kruskal-Wallis rank sum test	0.00213812764392128	0.0019443495625213485	6.043248640269056e-4	2.1019995270501064e-4	5.97756115504874e-4	2.627499408812633e-5	0.002129953786373196
Butyricicoccus (OTU 131)	25.476618615323236	1.127014800059991e-4	5	Kruskal-Wallis rank sum test	9.656060327386427e-4	0.0037310491605139387	2.3647494679313697e-4	0.0013400246984944428	0	5.254998817625266e-5	0.0021359613829708404
Bifidobacterium (OTU 46)	24.845330117400902	1.4924852417480216e-4	5	Kruskal-Wallis rank sum test	0.0020231745447857274	3.678499172337686e-4	0	2.627499408812633e-5	0	0	0.002762833145189361
Lachnospiraceae (OTU 109)	24.718998320507325	1.578621661479878e-4	5	Kruskal-Wallis rank sum test	0	0	0	0.005649123728947161	0	0.0014976746630232008	0.0028558700966772334
Lachnospiraceae (OTU 221)	24.435396910370113	1.7903124125296215e-4	5	Kruskal-Wallis rank sum test	9.656060327386426e-4	0.002312199479755117	0	0	4.5981239654221075e-5	0	0.0031668637341635084
Lachnospiraceae (OTU 216)	23.750133890317063	2.4247713786171667e-4	5	Kruskal-Wallis rank sum test	7.586904542946478e-4	0.0024435744501957487	0	0	0	1.57649964528758e-4	0.004195908733433184
Lactobacillus (OTU 6)	23.606750392464672	2.583326116324004e-4	5	Kruskal-Wallis rank sum test	0.005862608055913187	0.014083396831235714	0.0024435744501957487	0.040516040883890804	0.05632701857642082	0.05092093854278883	0.00433961423910514
Lachnospiraceae (OTU 79)	23.57754804014745	2.6168528075005867e-4	5	Kruskal-Wallis rank sum test	0	0	0	0.0032318242728395386	0	0.0066212985102078355	0.00433961423910514
Lactobacillus (OTU 31)	23.457165494701396	2.7596616655077365e-4	5	Kruskal-Wallis rank sum test	0.0055177487585065296	0.005701673717123414	0	0.0018917995743450958	0	0.0054389237762421504	0.004483042215804405
Firmicutes (OTU 256)	23.29514800806394	2.9640854123938145e-4	5	Kruskal-Wallis rank sum test	3.448592974066581e-4	4.7294989358627395e-4	0	0.0011298247457894321	0	0	0.004718823976530953
Turicibacter (OTU 14)	23.11653482220955	3.2068144184118675e-4	5	Kruskal-Wallis rank sum test	0.02862332168475262	0.01216532226280249	0.03536614204261804	1.57649964528758e-4	0.010621666360125069	2.627499408812633e-5	0.005005145641285974
Clostridium (OTU 331)	22.788295397384257	3.705160707630817e-4	5	Kruskal-Wallis rank sum test	0	0	5.254998817625266e-5	0	9.196247930844215e-5	3.4157492314564226e-4	0.0056717460062964044
Lachnospiraceae (OTU 73)	22.49895610761683	4.207381706726429e-4	5	Kruskal-Wallis rank sum test	0	6.831498462912846e-4	8.670748049081689e-4	0.005044798864920255	1.3794371896266324e-4	6.568748522031583e-4	0.00631901101614007
Lachnospiraceae (OTU 91)	22.203048190078935	4.790456901844963e-4	5	Kruskal-Wallis rank sum test	0.004552142725767887	0.002706324391077012	0	0.003284374261015791	4.5981239654221075e-5	0	0.006727232507890352
Lachnospiraceae (OTU 96)	22.123935882161827	4.959411425225533e-4	5	Kruskal-Wallis rank sum test	0	0.004676948947686487	0	3.9412491132189494e-4	0.005379805039543866	0	0.006727232507890352
Clostridiales (OTU 160)	22.311172762693566	4.5686958840268296e-4	5	Kruskal-Wallis rank sum test	0	5.254998817625266e-5	0	0.0027325993851651386	0	0.0010772747576131795	0.006727232507890352
Oscillibacter (OTU 268)	22.111607142857107	4.986265301074507e-4	5	Kruskal-Wallis rank sum test	0.0015863527680706271	6.568748522031583e-4	0	2.8902493496938965e-4	2.758874379253265e-4	1.839249586168843e-4	0.006727232507890352
Lachnospiraceae (OTU 269)	22.23154385721229	4.731002691773692e-4	5	Kruskal-Wallis rank sum test	0	0	2.627499408812633e-5	9.721747812606741e-4	0	0	0.006727232507890352
Lachnospiraceae (OTU 373)	22.188325174306467	4.821463710150595e-4	5	Kruskal-Wallis rank sum test	0	0	0	2.627499408812633e-5	3.678499172337686e-4	0	0.006727232507890352
Lachnospiraceae (OTU 27)	21.82756251908186	5.646260798787785e-4	5	Kruskal-Wallis rank sum test	0.008207651278278463	0.011560997398775585	0	0.011613547386951837	4.5981239654221075e-5	0.013084947055886913	0.007373222930494431
Lachnospiraceae (OTU 110)	21.788721505109446	5.742962584053452e-4	5	Kruskal-Wallis rank sum test	8.046716939488688e-4	0.0023384744738432434	0.003258099266927665	0.0013137497044063166	1.839249586168843e-4	2.627499408812633e-5	0.007373222930494431
Acetatifactor (OTU 231)	21.82540329625533	5.651594164760237e-4	5	Kruskal-Wallis rank sum test	0	5.51774875850653e-4	2.627499408812633e-5	7.356998344675372e-4	9.196247930844215e-5	0	0.007373222930494431
