otu	statistic	p.value	method	alternative	colonized	not_detectable	p.value.adj
Bacteroides (OTU 3)	58.5	0.0011653489569593942	Wilcoxon rank sum test with continuity correction	two.sided	0.021028753601863775	0.07665992275151738	0.4641614682823681
Akkermansia (OTU 4)	69	0.00459013462478685	Wilcoxon rank sum test with continuity correction	two.sided	0.014775305008889706	0.08247195144381092	0.4641614682823681
Porphyromonadaceae (OTU 8)	122	0.06183223633011906	Wilcoxon rank sum test with continuity correction	two.sided	2.627499408812633e-5	0.003543620869351971	0.4641614682823681
Bacteroides (OTU 12)	130.5	0.1902836803154731	Wilcoxon rank sum test with continuity correction	two.sided	0.01123693913835536	0.03924958616884311	0.4641614682823681
Lachnospiraceae (OTU 13)	112.5	0.049668155833209944	Wilcoxon rank sum test with continuity correction	two.sided	4.641915622235652e-4	9.073631291766293e-4	0.4641614682823681
Turicibacter (OTU 14)	123.5	0.26032922445431145	Wilcoxon rank sum test with continuity correction	two.sided	0.0024610911129211662	0.009429219545092269	0.4641614682823681
Akkermansia (OTU 15)	195	0.048357760799157316	Wilcoxon rank sum test with continuity correction	two.sided	0.011307005789257031	0	0.4641614682823681
Lachnospiraceae (OTU 17)	128	0.2539660543464711	Wilcoxon rank sum test with continuity correction	two.sided	0.006332273575238446	0.022070995034026118	0.4641614682823681
Lactobacillus (OTU 18)	212	0.08199556442374516	Wilcoxon rank sum test with continuity correction	two.sided	0.005596573740770909	0.0029673226656857336	0.4641614682823681
Enterococcus (OTU 23)	221	0.03719931164374444	Wilcoxon rank sum test with continuity correction	two.sided	0.02116888690366711	0.006314756912513028	0.4641614682823681
Parabacteroides (OTU 24)	185	0.18205561831210787	Wilcoxon rank sum test with continuity correction	two.sided	0.02421678621788977	0.0012997363742259826	0.4641614682823681
Lactobacillus (OTU 31)	88	0.021493482596368362	Wilcoxon rank sum test with continuity correction	two.sided	9.546581185352566e-4	0.003175770952118202	0.4641614682823681
Bacteroides (OTU 32)	112.5	0.06041595042722104	Wilcoxon rank sum test with continuity correction	two.sided	3.9412491132189494e-4	0.0036417141806143094	0.4641614682823681
Lachnospiraceae (OTU 35)	115.5	0.014639499082960066	Wilcoxon rank sum test with continuity correction	two.sided	0	9.80933112623383e-5	0.4641614682823681
Lachnospiraceae (OTU 36)	132.5	0.14962285437922285	Wilcoxon rank sum test with continuity correction	two.sided	8.758331362708777e-6	1.9618662252467658e-4	0.4641614682823681
Bacteroides (OTU 39)	129.5	0.17383140351533333	Wilcoxon rank sum test with continuity correction	two.sided	2.627499408812633e-5	0.002440071117650665	0.4641614682823681
Lachnospiraceae (OTU 44)	91.5	0.007752141238105785	Wilcoxon rank sum test with continuity correction	two.sided	3.5909158587105986e-4	0.001495922996750659	0.4641614682823681
Lachnospiraceae (OTU 45)	130.5	0.1902836803154731	Wilcoxon rank sum test with continuity correction	two.sided	0.005027282202194837	0.007651278278462387	0.4641614682823681
Bifidobacterium (OTU 46)	95	0.023567436915022014	Wilcoxon rank sum test with continuity correction	two.sided	0.001523949657111327	0.005971430323094844	0.4641614682823681
Lachnospiraceae (OTU 47)	135	0.19581804431775504	Wilcoxon rank sum test with continuity correction	two.sided	2.627499408812633e-4	1.961866225246766e-4	0.4641614682823681
Lactobacillus (OTU 49)	126	0.25753226632635867	Wilcoxon rank sum test with continuity correction	two.sided	0.0011385830771521409	0.0030899393047636565	0.4641614682823681
Lachnospiraceae (OTU 50)	122.5	0.065168193581268255	Wilcoxon rank sum test with continuity correction	two.sided	8.758331362708777e-6	3.4332658941818405e-4	0.4641614682823681
Clostridiales (OTU 51)	136.5	0.09759022226308756	Wilcoxon rank sum test with continuity correction	two.sided	0	6.130831953896143e-5	0.4641614682823681
Bacteroidetes (OTU 59)	122	0.06164682455514644	Wilcoxon rank sum test with continuity correction	two.sided	8.758331362708777e-6	0.0022316228312181962	0.4641614682823681
Ruminococcaceae (OTU 60)	122.5	0.065168193581268255	Wilcoxon rank sum test with continuity correction	two.sided	8.758331362708777e-6	6.130831953896143e-5	0.4641614682823681
Clostridium (OTU 61)	135	0.19572142944220228	Wilcoxon rank sum test with continuity correction	two.sided	5.254998817625266e-5	8.583164735454601e-5	0.4641614682823681
Bacteroides (OTU 64)	147	0.25979645967794174	Wilcoxon rank sum test with continuity correction	two.sided	0	0.0012016430629636441	0.4641614682823681
Butyricimonas (OTU 65)	126	0.03795577808190359	Wilcoxon rank sum test with continuity correction	two.sided	0	0.0014713996689350746	0.4641614682823681
Blautia (OTU 69)	172.5	0.24128661856870434	Wilcoxon rank sum test with continuity correction	two.sided	6.65633183565867e-4	0	0.4641614682823681
Acetatifactor (OTU 70)	133.5	0.16695509465405708	Wilcoxon rank sum test with continuity correction	two.sided	1.7516662725417553e-5	7.479614983753295e-4	0.4641614682823681
Lachnospiraceae (OTU 72)	120	0.11804974201466478	Wilcoxon rank sum test with continuity correction	two.sided	7.882498226437898e-5	1.5940163080129972e-4	0.4641614682823681
Lachnospiraceae (OTU 73)	129	0.1663315265019537	Wilcoxon rank sum test with continuity correction	two.sided	6.130831953896144e-5	6.008215314818221e-4	0.4641614682823681
Clostridium (OTU 74)	172.5	0.24128661856870434	Wilcoxon rank sum test with continuity correction	two.sided	6.30599858115032e-4	0	0.4641614682823681
Lachnospiraceae (OTU 76)	172.5	0.24128661856870434	Wilcoxon rank sum test with continuity correction	two.sided	3.328165917829335e-4	0	0.4641614682823681
Oscillibacter (OTU 77)	136.5	0.09759022226308756	Wilcoxon rank sum test with continuity correction	two.sided	0	6.130831953896143e-5	0.4641614682823681
Lachnospiraceae (OTU 79)	172.5	0.24109448348048895	Wilcoxon rank sum test with continuity correction	two.sided	1.7516662725417553e-5	0	0.4641614682823681
Ruminococcaceae (OTU 80)	147	0.25979645967794174	Wilcoxon rank sum test with continuity correction	two.sided	0	1.2261663907792286e-5	0.4641614682823681
Lachnospiraceae (OTU 82)	117.5	0.06658234096874988	Wilcoxon rank sum test with continuity correction	two.sided	4.379165681354388e-5	7.970081540064986e-4	0.4641614682823681
Lachnospiraceae (OTU 91)	135	0.19581804431775504	Wilcoxon rank sum test with continuity correction	two.sided	7.006665090167021e-5	7.356998344675372e-5	0.4641614682823681
Lachnospiraceae (OTU 93)	126	0.038009628004738165	Wilcoxon rank sum test with continuity correction	two.sided	0	2.697566059714303e-4	0.4641614682823681
Pseudoflavonifractor (OTU 95)	124.5	0.15016529652356075	Wilcoxon rank sum test with continuity correction	two.sided	2.627499408812633e-5	9.80933112623383e-5	0.4641614682823681
Lachnospiraceae (OTU 96)	147	0.25979645967794174	Wilcoxon rank sum test with continuity correction	two.sided	0	1.2261663907792289e-4	0.4641614682823681
Lachnospiraceae (OTU 104)	183	0.21590341545323075	Wilcoxon rank sum test with continuity correction	two.sided	7.882498226437898e-5	2.4523327815584572e-5	0.4641614682823681
Lachnospiraceae (OTU 110)	129.5	0.1739629525844939	Wilcoxon rank sum test with continuity correction	two.sided	4.379165681354388e-5	2.697566059714303e-4	0.4641614682823681
Lachnospiraceae (OTU 113)	147	0.25979645967794174	Wilcoxon rank sum test with continuity correction	two.sided	0	1.3487830298571516e-4	0.4641614682823681
Lachnospiraceae (OTU 114)	147	0.25979645967794174	Wilcoxon rank sum test with continuity correction	two.sided	0	4.904665563116915e-4	0.4641614682823681
Lachnospiraceae (OTU 121)	136.5	0.09759022226308756	Wilcoxon rank sum test with continuity correction	two.sided	0	2.697566059714303e-4	0.4641614682823681
Lachnospiraceae (OTU 125)	136.5	0.0974534276527401	Wilcoxon rank sum test with continuity correction	two.sided	0	2.4523327815584572e-5	0.4641614682823681
Lachnospiraceae (OTU 127)	147	0.25979645967794174	Wilcoxon rank sum test with continuity correction	two.sided	0	2.4523327815584572e-5	0.4641614682823681
Clostridium (OTU 128)	111	0.02299536833468487	Wilcoxon rank sum test with continuity correction	two.sided	1.7516662725417553e-5	0.0031389859603948253	0.4641614682823681
Lachnospiraceae (OTU 130)	122.5	0.16085852808315432	Wilcoxon rank sum test with continuity correction	two.sided	0.001567741313924871	0.0014713996689350746	0.4641614682823681
Butyricicoccus (OTU 131)	130	0.18198888319360226	Wilcoxon rank sum test with continuity correction	two.sided	5.254998817625266e-5	5.027282202194837e-4	0.4641614682823681
Ruminococcaceae (OTU 133)	124	0.07822213321909248	Wilcoxon rank sum test with continuity correction	two.sided	1.4013330180334042e-4	6.253448592974067e-4	0.4641614682823681
Bilophila (OTU 137)	115.5	0.014660908534259581	Wilcoxon rank sum test with continuity correction	two.sided	0	3.801115811415609e-4	0.4641614682823681
Clostridiales (OTU 138)	147	0.25979645967794174	Wilcoxon rank sum test with continuity correction	two.sided	0	3.678499172337687e-5	0.4641614682823681
Lachnospiraceae (OTU 142)	133	0.15819906980253073	Wilcoxon rank sum test with continuity correction	two.sided	3.5033325450835106e-5	1.4713996689350744e-4	0.4641614682823681
Lachnospiraceae (OTU 145)	133	0.15819906980253073	Wilcoxon rank sum test with continuity correction	two.sided	3.5033325450835106e-5	1.8392495861688433e-4	0.4641614682823681
Lachnospiraceae (OTU 146)	147	0.25979645967794174	Wilcoxon rank sum test with continuity correction	two.sided	0	1.2261663907792286e-5	0.4641614682823681
Firmicutes (OTU 147)	147	0.25979645967794174	Wilcoxon rank sum test with continuity correction	two.sided	0	1.7166329470909202e-4	0.4641614682823681
Clostridiales (OTU 148)	147	0.25979645967794174	Wilcoxon rank sum test with continuity correction	two.sided	0	1.3487830298571516e-4	0.4641614682823681
Lachnospiraceae (OTU 149)	122	0.06164682455514644	Wilcoxon rank sum test with continuity correction	two.sided	8.758331362708777e-6	1.1035497517013058e-4	0.4641614682823681
Ruminococcaceae (OTU 152)	111	0.04253644438669376	Wilcoxon rank sum test with continuity correction	two.sided	3.240582604202247e-4	9.564097848077984e-4	0.4641614682823681
Bacteria (OTU 155)	147	0.25979645967794174	Wilcoxon rank sum test with continuity correction	two.sided	0	4.9046655631169145e-5	0.4641614682823681
Lachnospiraceae (OTU 159)	147	0.25979645967794174	Wilcoxon rank sum test with continuity correction	two.sided	0	1.2261663907792286e-5	0.4641614682823681
Clostridiales (OTU 160)	147	0.25979645967794174	Wilcoxon rank sum test with continuity correction	two.sided	0	1.9618662252467658e-4	0.4641614682823681
Anaerostipes (OTU 166)	172.5	0.24128661856870434	Wilcoxon rank sum test with continuity correction	two.sided	1.6640829589146676e-4	0	0.4641614682823681
Lachnospiraceae (OTU 169)	147	0.25979645967794174	Wilcoxon rank sum test with continuity correction	two.sided	0	9.809331126233829e-5	0.4641614682823681
Lachnospiraceae (OTU 170)	136.5	0.09759022226308756	Wilcoxon rank sum test with continuity correction	two.sided	0	4.904665563116915e-5	0.4641614682823681
Lachnospiraceae (OTU 173)	147	0.25979645967794174	Wilcoxon rank sum test with continuity correction	two.sided	0	6.130831953896144e-5	0.4641614682823681
Lachnospiraceae (OTU 175)	135	0.19581804431775504	Wilcoxon rank sum test with continuity correction	two.sided	5.955665326641968e-4	2.2070995034026116e-4	0.4641614682823681
Lachnospiraceae (OTU 176)	135	0.19572142944220228	Wilcoxon rank sum test with continuity correction	two.sided	7.8824982264379e-5	1.1035497517013058e-4	0.4641614682823681
Lachnospiraceae (OTU 177)	135	0.19572142944220228	Wilcoxon rank sum test with continuity correction	two.sided	2.7150827224397205e-4	1.7166329470909202e-4	0.4641614682823681
Lachnospiraceae (OTU 178)	147	0.25979645967794174	Wilcoxon rank sum test with continuity correction	two.sided	0	1.2261663907792286e-5	0.4641614682823681
Ruminococcaceae (OTU 180)	130.5	0.190012900919041	Wilcoxon rank sum test with continuity correction	two.sided	5.254998817625266e-5	2.0844828643246888e-4	0.4641614682823681
Lachnospiraceae (OTU 182)	147	0.25979645967794174	Wilcoxon rank sum test with continuity correction	two.sided	0	8.583164735454601e-5	0.4641614682823681
Firmicutes (OTU 184)	147	0.25979645967794174	Wilcoxon rank sum test with continuity correction	two.sided	0	1.2261663907792286e-5	0.4641614682823681
Alistipes (OTU 194)	115.5	0.014682331674054557	Wilcoxon rank sum test with continuity correction	two.sided	0	2.0844828643246888e-4	0.4641614682823681
Lachnospiraceae (OTU 197)	105	0.0054940259111141134	Wilcoxon rank sum test with continuity correction	two.sided	0	1.7166329470909202e-4	0.4641614682823681
Lachnospiraceae (OTU 198)	147	0.25979645967794174	Wilcoxon rank sum test with continuity correction	two.sided	0	4.9046655631169145e-5	0.4641614682823681
Lachnospiraceae (OTU 205)	136.5	0.09759022226308756	Wilcoxon rank sum test with continuity correction	two.sided	0	3.678499172337686e-5	0.4641614682823681
Lachnospiraceae (OTU 208)	147	0.25979645967794174	Wilcoxon rank sum test with continuity correction	two.sided	0	2.4523327815584572e-5	0.4641614682823681
Firmicutes (OTU 210)	147	0.25979645967794174	Wilcoxon rank sum test with continuity correction	two.sided	0	2.4523327815584572e-5	0.4641614682823681
Romboutsia (OTU 212)	126	0.038009628004738165	Wilcoxon rank sum test with continuity correction	two.sided	0	2.697566059714303e-4	0.4641614682823681
Lachnospiraceae (OTU 215)	147	0.25979645967794174	Wilcoxon rank sum test with continuity correction	two.sided	0	1.2261663907792286e-5	0.4641614682823681
Lachnospiraceae (OTU 223)	135	0.19581804431775504	Wilcoxon rank sum test with continuity correction	two.sided	9.634164498979654e-5	7.356998344675372e-5	0.4641614682823681
Ruminococcaceae (OTU 225)	133	0.1578393595619396	Wilcoxon rank sum test with continuity correction	two.sided	1.7516662725417553e-5	8.583164735454601e-5	0.4641614682823681
Erysipelotrichaceae (OTU 234)	113.5	0.13804196429411855	Wilcoxon rank sum test with continuity correction	two.sided	2.0144162134230187e-4	3.678499172337686e-4	0.4641614682823681
Acetatifactor (OTU 237)	147	0.25979645967794174	Wilcoxon rank sum test with continuity correction	two.sided	0	4.9046655631169145e-5	0.4641614682823681
Lachnospiraceae (OTU 243)	136.5	0.09759022226308756	Wilcoxon rank sum test with continuity correction	two.sided	0	7.356998344675372e-5	0.4641614682823681
Clostridiales (OTU 244)	147	0.25979645967794174	Wilcoxon rank sum test with continuity correction	two.sided	0	3.678499172337687e-5	0.4641614682823681
Clostridiales (OTU 246)	136.5	0.09759022226308756	Wilcoxon rank sum test with continuity correction	two.sided	0	3.678499172337686e-5	0.4641614682823681
Bacteroides (OTU 253)	147	0.25979645967794174	Wilcoxon rank sum test with continuity correction	two.sided	0	0.003188032616025995	0.4641614682823681
Lachnospiraceae (OTU 254)	147	0.25979645967794174	Wilcoxon rank sum test with continuity correction	two.sided	0	1.2261663907792286e-5	0.4641614682823681
Firmicutes (OTU 256)	136.5	0.09759022226308756	Wilcoxon rank sum test with continuity correction	two.sided	0	6.130831953896143e-5	0.4641614682823681
Firmicutes (OTU 259)	147	0.25979645967794174	Wilcoxon rank sum test with continuity correction	two.sided	0	2.4523327815584572e-5	0.4641614682823681
Lachnospiraceae (OTU 264)	172.5	0.24128661856870434	Wilcoxon rank sum test with continuity correction	two.sided	2.3647494679313695e-4	0	0.4641614682823681
Dorea (OTU 267)	147	0.25979645967794174	Wilcoxon rank sum test with continuity correction	two.sided	0	1.2261663907792286e-5	0.4641614682823681
Oscillibacter (OTU 271)	147	0.25979645967794174	Wilcoxon rank sum test with continuity correction	two.sided	0	1.2261663907792286e-5	0.4641614682823681
Lachnospiraceae (OTU 273)	147	0.25979645967794174	Wilcoxon rank sum test with continuity correction	two.sided	0	1.2261663907792286e-5	0.4641614682823681
Lachnospiraceae (OTU 274)	147	0.25979645967794174	Wilcoxon rank sum test with continuity correction	two.sided	0	2.4523327815584572e-5	0.4641614682823681
Lachnospiraceae (OTU 275)	147	0.25979645967794174	Wilcoxon rank sum test with continuity correction	two.sided	0	1.2261663907792286e-5	0.4641614682823681
Clostridiales (OTU 276)	147	0.25979645967794174	Wilcoxon rank sum test with continuity correction	two.sided	0	9.809331126233829e-5	0.4641614682823681
Lachnospiraceae (OTU 278)	147	0.25979645967794174	Wilcoxon rank sum test with continuity correction	two.sided	0	2.4523327815584572e-5	0.4641614682823681
Acetatifactor (OTU 280)	147	0.25979645967794174	Wilcoxon rank sum test with continuity correction	two.sided	0	2.4523327815584572e-5	0.4641614682823681
Lachnospiraceae (OTU 281)	147	0.25979645967794174	Wilcoxon rank sum test with continuity correction	two.sided	0	1.2261663907792286e-5	0.4641614682823681
Lachnospiraceae (OTU 290)	147	0.25979645967794174	Wilcoxon rank sum test with continuity correction	two.sided	0	7.356998344675373e-5	0.4641614682823681
Lachnospiraceae (OTU 294)	147	0.25979645967794174	Wilcoxon rank sum test with continuity correction	two.sided	0	2.4523327815584572e-5	0.4641614682823681
Bacteria (OTU 298)	147	0.25979645967794174	Wilcoxon rank sum test with continuity correction	two.sided	0	1.2261663907792289e-4	0.4641614682823681
Lachnospiraceae (OTU 299)	134	0.17616789272830394	Wilcoxon rank sum test with continuity correction	two.sided	1.7516662725417553e-5	1.1035497517013058e-4	0.4641614682823681
Bacteria (OTU 300)	147	0.25979645967794174	Wilcoxon rank sum test with continuity correction	two.sided	0	2.4523327815584572e-5	0.4641614682823681
