otu	statistic	p.value	method	alternative	1	2	p.value.adj
Bacteroides (OTU 2)	3	0.2702893848016986	Wilcoxon rank sum test with continuity correction	two.sided	0	9.196247930844215e-5	0.7147214001832083
Akkermansia (OTU 4)	12	0.05714285714285714	Wilcoxon rank sum test	two.sided	0.07173073386058489	0.0027588743792532648	0.7147214001832083
Parabacteroides (OTU 5)	12	0.05714285714285714	Wilcoxon rank sum test	two.sided	0.13095457053522164	7.356998344675372e-4	0.7147214001832083
Lactobacillus (OTU 6)	3	0.4	Wilcoxon rank sum test	two.sided	0.009012322972227331	0.04883207651278279	0.7147214001832083
Porphyromonadaceae (OTU 7)	12	0.05714285714285714	Wilcoxon rank sum test	two.sided	0.2427809453742873	0.022714732389185213	0.7147214001832083
Lachnospiraceae (OTU 9)	2	0.19908985214820457	Wilcoxon rank sum test with continuity correction	two.sided	0	0.013794371896266325	0.7147214001832083
Porphyromonadaceae (OTU 10)	1.5	0.11867034556458321	Wilcoxon rank sum test with continuity correction	two.sided	0	0.018852308258230643	0.7147214001832083
Alistipes (OTU 21)	1.5	0.11867034556458321	Wilcoxon rank sum test with continuity correction	two.sided	0	0.0012874747103181902	0.7147214001832083
Enterococcus (OTU 23)	9	0.3724558699813696	Wilcoxon rank sum test with continuity correction	two.sided	5.51774875850653e-4	9.196247930844215e-5	0.7147214001832083
Parabacteroides (OTU 24)	9.5	0.2418865994088307	Wilcoxon rank sum test with continuity correction	two.sided	0.004782048924038992	0	0.7147214001832083
Lachnospiraceae (OTU 27)	9	0.3590120537864295	Wilcoxon rank sum test with continuity correction	two.sided	0.002391024462019496	3.678499172337686e-4	0.7147214001832083
Lachnospiraceae (OTU 33)	3	0.2702893848016986	Wilcoxon rank sum test with continuity correction	two.sided	0	5.51774875850653e-4	0.7147214001832083
Burkholderiales (OTU 34)	12	0.05714285714285714	Wilcoxon rank sum test	two.sided	0.016369321316902705	0.0034945742137208018	0.7147214001832083
Lachnospiraceae (OTU 36)	4.5	0.563702861650773	Wilcoxon rank sum test with continuity correction	two.sided	0	0	0.7147214001832083
Lachnospiraceae (OTU 38)	1.5	0.11465264168449486	Wilcoxon rank sum test with continuity correction	two.sided	0	1.839249586168843e-4	0.7147214001832083
Oscillibacter (OTU 40)	1.5	0.11867034556458321	Wilcoxon rank sum test with continuity correction	two.sided	0	6.437373551590951e-4	0.7147214001832083
Clostridium (OTU 41)	3	0.2702893848016986	Wilcoxon rank sum test with continuity correction	two.sided	0	3.678499172337686e-4	0.7147214001832083
