otu	statistic	p.value	method	alternative	1	2	p.value.adj
Clostridium (OTU 43)	9	0.32412658775761916	Wilcoxon rank sum test with continuity correction	two.sided	1.839249586168843e-4	0	0.7147214001832083
Lachnospiraceae (OTU 45)	3	0.2702893848016986	Wilcoxon rank sum test with continuity correction	two.sided	0	0.010023910244620194	0.7147214001832083
Clostridiales (OTU 51)	8	0.3864762307712326	Wilcoxon rank sum test with continuity correction	two.sided	0	0	0.7147214001832083
Porphyromonadaceae (OTU 52)	0	0.04359664488554138	Wilcoxon rank sum test with continuity correction	two.sided	0	0.058120286922935444	0.7147214001832083
Alistipes (OTU 53)	8.5	0.4755326595969013	Wilcoxon rank sum test with continuity correction	two.sided	0.009012322972227331	0.001195512231009748	0.7147214001832083
Bacteroidetes (OTU 59)	8	0.3864762307712326	Wilcoxon rank sum test with continuity correction	two.sided	0	0	0.7147214001832083
Ruminococcaceae (OTU 60)	4.5	0.563702861650773	Wilcoxon rank sum test with continuity correction	two.sided	0	0	0.7147214001832083
Ruminococcaceae (OTU 66)	3	0.3680655063054847	Wilcoxon rank sum test with continuity correction	two.sided	1.839249586168843e-4	0.001195512231009748	0.7147214001832083
Lachnospiraceae (OTU 67)	1.5	0.11867034556458321	Wilcoxon rank sum test with continuity correction	two.sided	0	6.437373551590951e-4	0.7147214001832083
Blautia (OTU 69)	10	0.12274468232592092	Wilcoxon rank sum test with continuity correction	two.sided	0.0012874747103181902	0	0.7147214001832083
Bacteria (OTU 75)	4.5	0.563702861650773	Wilcoxon rank sum test with continuity correction	two.sided	0	0	0.7147214001832083
Lachnospiraceae (OTU 76)	3.5	0.4587185587250221	Wilcoxon rank sum test with continuity correction	two.sided	0	7.356998344675372e-4	0.7147214001832083
Lachnospiraceae (OTU 82)	4.5	0.563702861650773	Wilcoxon rank sum test with continuity correction	two.sided	0	0	0.7147214001832083
Lachnospiraceae (OTU 85)	4.5	0.563702861650773	Wilcoxon rank sum test with continuity correction	two.sided	0	0	0.7147214001832083
Porphyromonadaceae (OTU 87)	1.5	0.11867034556458321	Wilcoxon rank sum test with continuity correction	two.sided	0	0.010391760161853962	0.7147214001832083
Lachnospiraceae (OTU 89)	2	0.19908985214820457	Wilcoxon rank sum test with continuity correction	two.sided	0	0.0010115872723928637	0.7147214001832083
Lachnospiraceae (OTU 96)	4.5	0.563702861650773	Wilcoxon rank sum test with continuity correction	two.sided	0	0	0.7147214001832083
Lachnospiraceae (OTU 97)	8.5	0.43527934321814216	Wilcoxon rank sum test with continuity correction	two.sided	3.678499172337686e-4	0	0.7147214001832083
Lachnospiraceae (OTU 98)	1.5	0.10247043485974935	Wilcoxon rank sum test with continuity correction	two.sided	0	1.839249586168843e-4	0.7147214001832083
Alistipes (OTU 100)	1.5	0.11867034556458321	Wilcoxon rank sum test with continuity correction	two.sided	0	0.0021151370240941694	0.7147214001832083
Prevotellaceae (OTU 101)	1.5	0.11867034556458321	Wilcoxon rank sum test with continuity correction	two.sided	0	0.13821960640058856	0.7147214001832083
Porphyromonadaceae (OTU 102)	1.5	0.11867034556458321	Wilcoxon rank sum test with continuity correction	two.sided	0	0.003954386610263013	0.7147214001832083
Lachnospiraceae (OTU 104)	3.5	0.4755326595969013	Wilcoxon rank sum test with continuity correction	two.sided	3.678499172337686e-4	0.001195512231009748	0.7147214001832083
Lachnospiraceae (OTU 105)	3.5	0.4755326595969013	Wilcoxon rank sum test with continuity correction	two.sided	1.839249586168843e-4	7.356998344675372e-4	0.7147214001832083
Lachnospiraceae (OTU 108)	9	0.32412658775761916	Wilcoxon rank sum test with continuity correction	two.sided	1.839249586168843e-4	0	0.7147214001832083
Lachnospiraceae (OTU 109)	11	0.09872864789482491	Wilcoxon rank sum test with continuity correction	two.sided	9.196247930844216e-4	0	0.7147214001832083
Lachnospiraceae (OTU 110)	3	0.2702893848016986	Wilcoxon rank sum test with continuity correction	two.sided	0	9.196247930844215e-5	0.7147214001832083
Lachnospiraceae (OTU 111)	3	0.2702893848016986	Wilcoxon rank sum test with continuity correction	two.sided	0	3.678499172337686e-4	0.7147214001832083
Porphyromonadaceae (OTU 112)	1.5	0.11465264168449486	Wilcoxon rank sum test with continuity correction	two.sided	0	0.013242597020415671	0.7147214001832083
Lachnospiraceae (OTU 113)	4	0.5584521572831559	Wilcoxon rank sum test with continuity correction	two.sided	0	0.001195512231009748	0.7147214001832083
Lachnospiraceae (OTU 116)	3	0.2702893848016986	Wilcoxon rank sum test with continuity correction	two.sided	0	9.196247930844215e-5	0.7147214001832083
Clostridiales (OTU 123)	1.5	0.11867034556458321	Wilcoxon rank sum test with continuity correction	two.sided	0	2.758874379253265e-4	0.7147214001832083
Lachnospiraceae (OTU 126)	3	0.2635524772829727	Wilcoxon rank sum test with continuity correction	two.sided	0	9.196247930844215e-5	0.7147214001832083
Lachnospiraceae (OTU 130)	4.5	0.563702861650773	Wilcoxon rank sum test with continuity correction	two.sided	0	0	0.7147214001832083
Butyricicoccus (OTU 131)	4.5	0.563702861650773	Wilcoxon rank sum test with continuity correction	two.sided	0	0	0.7147214001832083
Lachnospiraceae (OTU 134)	9.5	0.2418865994088307	Wilcoxon rank sum test with continuity correction	two.sided	5.51774875850653e-4	0	0.7147214001832083
Lachnospiraceae (OTU 135)	8	0.3864762307712326	Wilcoxon rank sum test with continuity correction	two.sided	0	0	0.7147214001832083
Lachnospiraceae (OTU 136)	1.5	0.11867034556458321	Wilcoxon rank sum test with continuity correction	two.sided	0	0.001103549751701306	0.7147214001832083
Clostridiales (OTU 138)	1.5	0.11867034556458321	Wilcoxon rank sum test with continuity correction	two.sided	0	6.437373551590951e-4	0.7147214001832083
Porphyromonadaceae (OTU 139)	0	0.04359664488554138	Wilcoxon rank sum test with continuity correction	two.sided	0	0.0010115872723928637	0.7147214001832083
Porphyromonadaceae (OTU 140)	1.5	0.11867034556458321	Wilcoxon rank sum test with continuity correction	two.sided	0	0.0067132609895162775	0.7147214001832083
Lachnospiraceae (OTU 143)	3	0.2702893848016986	Wilcoxon rank sum test with continuity correction	two.sided	0	1.839249586168843e-4	0.7147214001832083
Lachnospiraceae (OTU 145)	3	0.2702893848016986	Wilcoxon rank sum test with continuity correction	two.sided	0	1.839249586168843e-4	0.7147214001832083
Clostridiales (OTU 148)	3	0.2702893848016986	Wilcoxon rank sum test with continuity correction	two.sided	0	9.196247930844215e-5	0.7147214001832083
Lachnospiraceae (OTU 149)	8	0.3864762307712326	Wilcoxon rank sum test with continuity correction	two.sided	0	0	0.7147214001832083
Lachnospiraceae (OTU 151)	2	0.19474217283959164	Wilcoxon rank sum test with continuity correction	two.sided	0	9.196247930844216e-4	0.7147214001832083
Ruminococcaceae (OTU 152)	9.5	0.2418865994088307	Wilcoxon rank sum test with continuity correction	two.sided	7.356998344675372e-4	0	0.7147214001832083
Clostridium (OTU 154)	4.5	0.563702861650773	Wilcoxon rank sum test with continuity correction	two.sided	0	0	0.7147214001832083
Bacteria (OTU 155)	8	0.3864762307712326	Wilcoxon rank sum test with continuity correction	two.sided	0	0	0.7147214001832083
Enterorhabdus (OTU 156)	8.5	0.4587185587250221	Wilcoxon rank sum test with continuity correction	two.sided	3.678499172337686e-4	1.839249586168843e-4	0.7147214001832083
Lachnospiraceae (OTU 159)	4.5	0.563702861650773	Wilcoxon rank sum test with continuity correction	two.sided	0	0	0.7147214001832083
Clostridiales (OTU 160)	2	0.19908985214820457	Wilcoxon rank sum test with continuity correction	two.sided	0	0.0038624241309545703	0.7147214001832083
Alistipes (OTU 161)	11	0.09872864789482491	Wilcoxon rank sum test with continuity correction	two.sided	0.0018392495861688431	0	0.7147214001832083
Ruminococcus (OTU 162)	4.5	0.563702861650773	Wilcoxon rank sum test with continuity correction	two.sided	0	0	0.7147214001832083
Lachnospiraceae (OTU 163)	1.5	0.11465264168449486	Wilcoxon rank sum test with continuity correction	two.sided	0	4.598123965422107e-4	0.7147214001832083
Eisenbergiella (OTU 164)	3	0.2702893848016986	Wilcoxon rank sum test with continuity correction	two.sided	0	9.196247930844215e-5	0.7147214001832083
Lachnospiraceae (OTU 165)	3	0.3590120537864295	Wilcoxon rank sum test with continuity correction	two.sided	0	0.0013794371896266322	0.7147214001832083
Lachnospiraceae (OTU 169)	1.5	0.11465264168449486	Wilcoxon rank sum test with continuity correction	two.sided	0	0.0013794371896266324	0.7147214001832083
Lachnospiraceae (OTU 173)	4.5	0.563702861650773	Wilcoxon rank sum test with continuity correction	two.sided	0	0	0.7147214001832083
Deltaproteobacteria (OTU 174)	12	0.03191120476963876	Wilcoxon rank sum test with continuity correction	two.sided	7.356998344675372e-4	0	0.7147214001832083
Lachnospiraceae (OTU 175)	3	0.2635524772829727	Wilcoxon rank sum test with continuity correction	two.sided	0	2.758874379253265e-4	0.7147214001832083
Lachnospiraceae (OTU 176)	3	0.3590120537864295	Wilcoxon rank sum test with continuity correction	two.sided	0	7.356998344675372e-4	0.7147214001832083
Lachnospiraceae (OTU 178)	2	0.19908985214820457	Wilcoxon rank sum test with continuity correction	two.sided	0	0.013794371896266323	0.7147214001832083
Lachnospiraceae (OTU 179)	10	0.12274468232592092	Wilcoxon rank sum test with continuity correction	two.sided	3.678499172337686e-4	0	0.7147214001832083
Ruminococcaceae (OTU 180)	8	0.3864762307712326	Wilcoxon rank sum test with continuity correction	two.sided	0	0	0.7147214001832083
Lachnospiraceae (OTU 183)	8	0.3864762307712326	Wilcoxon rank sum test with continuity correction	two.sided	0	0	0.7147214001832083
Firmicutes (OTU 184)	1.5	0.11867034556458321	Wilcoxon rank sum test with continuity correction	two.sided	0	8.276623137759794e-4	0.7147214001832083
Anaeroplasma (OTU 185)	8	0.3864762307712326	Wilcoxon rank sum test with continuity correction	two.sided	0	0	0.7147214001832083
Clostridiales (OTU 187)	4.5	0.563702861650773	Wilcoxon rank sum test with continuity correction	two.sided	0	0	0.7147214001832083
Clostridiales (OTU 188)	4.5	0.563702861650773	Wilcoxon rank sum test with continuity correction	two.sided	0	0	0.7147214001832083
Erysipelotrichaceae (OTU 189)	4.5	0.563702861650773	Wilcoxon rank sum test with continuity correction	two.sided	0	0	0.7147214001832083
Porphyromonadaceae (OTU 191)	1.5	0.11867034556458321	Wilcoxon rank sum test with continuity correction	two.sided	0	0.04083134081294832	0.7147214001832083
Lachnospiraceae (OTU 193)	1.5	0.11867034556458321	Wilcoxon rank sum test with continuity correction	two.sided	0	0.0016553246275519589	0.7147214001832083
Firmicutes (OTU 196)	8	0.3864762307712326	Wilcoxon rank sum test with continuity correction	two.sided	0	0	0.7147214001832083
Lachnospiraceae (OTU 197)	3	0.2635524772829727	Wilcoxon rank sum test with continuity correction	two.sided	0	9.196247930844215e-5	0.7147214001832083
Lachnospiraceae (OTU 198)	3	0.2702893848016986	Wilcoxon rank sum test with continuity correction	two.sided	0	9.196247930844215e-5	0.7147214001832083
Clostridiales (OTU 199)	4.5	0.563702861650773	Wilcoxon rank sum test with continuity correction	two.sided	0	0	0.7147214001832083
Lachnospiraceae (OTU 200)	3	0.2635524772829727	Wilcoxon rank sum test with continuity correction	two.sided	0	1.839249586168843e-4	0.7147214001832083
Lachnospiraceae (OTU 201)	3	0.2635524772829727	Wilcoxon rank sum test with continuity correction	two.sided	0	1.839249586168843e-4	0.7147214001832083
Lachnospiraceae (OTU 203)	4.5	0.563702861650773	Wilcoxon rank sum test with continuity correction	two.sided	0	0	0.7147214001832083
Lachnospiraceae (OTU 204)	4.5	0.563702861650773	Wilcoxon rank sum test with continuity correction	two.sided	0	0	0.7147214001832083
Lachnospiraceae (OTU 206)	3	0.2702893848016986	Wilcoxon rank sum test with continuity correction	two.sided	0	1.839249586168843e-4	0.7147214001832083
Lachnospiraceae (OTU 208)	3	0.3590120537864295	Wilcoxon rank sum test with continuity correction	two.sided	0	0.00211513702409417	0.7147214001832083
Desulfovibrio (OTU 209)	10	0.12274468232592092	Wilcoxon rank sum test with continuity correction	two.sided	0.0012874747103181902	0	0.7147214001832083
Firmicutes (OTU 210)	3	0.2702893848016986	Wilcoxon rank sum test with continuity correction	two.sided	0	1.839249586168843e-4	0.7147214001832083
Ruminococcaceae (OTU 214)	1.5	0.11867034556458321	Wilcoxon rank sum test with continuity correction	two.sided	0	2.758874379253265e-4	0.7147214001832083
Lachnospiraceae (OTU 218)	4.5	0.563702861650773	Wilcoxon rank sum test with continuity correction	two.sided	0	0	0.7147214001832083
Lachnospiraceae (OTU 220)	8.5	0.41421617824252505	Wilcoxon rank sum test with continuity correction	two.sided	1.839249586168843e-4	0	0.7147214001832083
Porphyromonadaceae (OTU 222)	1.5	0.11867034556458321	Wilcoxon rank sum test with continuity correction	two.sided	0	0.0017472871068604009	0.7147214001832083
Lachnospiraceae (OTU 223)	1.5	0.11465264168449486	Wilcoxon rank sum test with continuity correction	two.sided	0	1.839249586168843e-4	0.7147214001832083
Ruminococcaceae (OTU 225)	3	0.3590120537864295	Wilcoxon rank sum test with continuity correction	two.sided	0	4.598123965422107e-4	0.7147214001832083
Porphyromonadaceae (OTU 227)	4.5	0.563702861650773	Wilcoxon rank sum test with continuity correction	two.sided	0	0	0.7147214001832083
Porphyromonadaceae (OTU 228)	1.5	0.11867034556458321	Wilcoxon rank sum test with continuity correction	two.sided	0	0.00974802280669487	0.7147214001832083
Clostridiales (OTU 229)	4.5	0.563702861650773	Wilcoxon rank sum test with continuity correction	two.sided	0	0	0.7147214001832083
Lachnospiraceae (OTU 230)	8	0.3864762307712326	Wilcoxon rank sum test with continuity correction	two.sided	0	0	0.7147214001832083
Lachnospiraceae (OTU 235)	3	0.2702893848016986	Wilcoxon rank sum test with continuity correction	two.sided	0	0.001103549751701306	0.7147214001832083
Lachnospiraceae (OTU 241)	4.5	0.563702861650773	Wilcoxon rank sum test with continuity correction	two.sided	0	0	0.7147214001832083
Clostridiales (OTU 244)	3	0.2635524772829727	Wilcoxon rank sum test with continuity correction	two.sided	0	1.839249586168843e-4	0.7147214001832083
Lachnospiraceae (OTU 245)	4.5	0.563702861650773	Wilcoxon rank sum test with continuity correction	two.sided	0	0	0.7147214001832083
Acetatifactor (OTU 248)	8	0.3864762307712326	Wilcoxon rank sum test with continuity correction	two.sided	0	0	0.7147214001832083
Lachnospiraceae (OTU 249)	3	0.2702893848016986	Wilcoxon rank sum test with continuity correction	two.sided	0	2.758874379253265e-4	0.7147214001832083
Lachnospiraceae (OTU 250)	3	0.2635524772829727	Wilcoxon rank sum test with continuity correction	two.sided	0	9.196247930844215e-5	0.7147214001832083
Pseudoflavonifractor (OTU 251)	8	0.3864762307712326	Wilcoxon rank sum test with continuity correction	two.sided	0	0	0.7147214001832083
Porphyromonadaceae (OTU 260)	1.5	0.11867034556458321	Wilcoxon rank sum test with continuity correction	two.sided	0	0.010391760161853964	0.7147214001832083
Porphyromonadaceae (OTU 261)	3	0.3590120537864295	Wilcoxon rank sum test with continuity correction	two.sided	0	0.0035865366930292438	0.7147214001832083
Ruminococcaceae (OTU 262)	4.5	0.563702861650773	Wilcoxon rank sum test with continuity correction	two.sided	0	0	0.7147214001832083
Bacteria (OTU 265)	4.5	0.563702861650773	Wilcoxon rank sum test with continuity correction	two.sided	0	0	0.7147214001832083
Dorea (OTU 267)	4.5	0.563702861650773	Wilcoxon rank sum test with continuity correction	two.sided	0	0	0.7147214001832083
Oscillibacter (OTU 268)	3	0.2702893848016986	Wilcoxon rank sum test with continuity correction	two.sided	0	9.196247930844215e-5	0.7147214001832083
Oscillibacter (OTU 271)	4.5	0.563702861650773	Wilcoxon rank sum test with continuity correction	two.sided	0	0	0.7147214001832083
Lachnospiraceae (OTU 272)	4.5	0.563702861650773	Wilcoxon rank sum test with continuity correction	two.sided	0	0	0.7147214001832083
Lachnospiraceae (OTU 273)	4.5	0.563702861650773	Wilcoxon rank sum test with continuity correction	two.sided	0	0	0.7147214001832083
Lachnospiraceae (OTU 274)	1.5	0.11867034556458321	Wilcoxon rank sum test with continuity correction	two.sided	0	5.51774875850653e-4	0.7147214001832083
Lachnospiraceae (OTU 275)	4.5	0.563702861650773	Wilcoxon rank sum test with continuity correction	two.sided	0	0	0.7147214001832083
Acetatifactor (OTU 280)	2.5	0.2800872108114974	Wilcoxon rank sum test with continuity correction	two.sided	1.839249586168843e-4	7.356998344675372e-4	0.7147214001832083
Lachnospiraceae (OTU 281)	3	0.2702893848016986	Wilcoxon rank sum test with continuity correction	two.sided	0	9.196247930844215e-5	0.7147214001832083
Porphyromonadaceae (OTU 282)	1.5	0.11867034556458321	Wilcoxon rank sum test with continuity correction	two.sided	0	0.0170130586720618	0.7147214001832083
Ruminococcaceae (OTU 283)	3.5	0.4587185587250221	Wilcoxon rank sum test with continuity correction	two.sided	0	4.598123965422108e-4	0.7147214001832083
Clostridiales (OTU 284)	8	0.3864762307712326	Wilcoxon rank sum test with continuity correction	two.sided	0	0	0.7147214001832083
Lachnospiraceae (OTU 287)	4	0.5584521572831559	Wilcoxon rank sum test with continuity correction	two.sided	0	0.001195512231009748	0.7147214001832083
Butyricicoccus (OTU 292)	3.5	0.4587185587250221	Wilcoxon rank sum test with continuity correction	two.sided	1.839249586168843e-4	8.276623137759793e-4	0.7147214001832083
Lachnospiraceae (OTU 294)	8	0.3864762307712326	Wilcoxon rank sum test with continuity correction	two.sided	0	0	0.7147214001832083
Lachnospiraceae (OTU 299)	8	0.3864762307712326	Wilcoxon rank sum test with continuity correction	two.sided	0	0	0.7147214001832083
Bacteria (OTU 300)	4.5	0.563702861650773	Wilcoxon rank sum test with continuity correction	two.sided	0	0	0.7147214001832083
Clostridiales (OTU 302)	8	0.3864762307712326	Wilcoxon rank sum test with continuity correction	two.sided	0	0	0.7147214001832083
Clostridiales (OTU 305)	4.5	0.563702861650773	Wilcoxon rank sum test with continuity correction	two.sided	0	0	0.7147214001832083
Clostridium (OTU 306)	3	0.2702893848016986	Wilcoxon rank sum test with continuity correction	two.sided	0	9.196247930844215e-5	0.7147214001832083
Ruminococcaceae (OTU 308)	4.5	0.563702861650773	Wilcoxon rank sum test with continuity correction	two.sided	0	0	0.7147214001832083
Clostridiales (OTU 310)	3	0.2635524772829727	Wilcoxon rank sum test with continuity correction	two.sided	0	9.196247930844215e-5	0.7147214001832083
Porphyromonadaceae (OTU 311)	1.5	0.11867034556458321	Wilcoxon rank sum test with continuity correction	two.sided	0	0.01315063454110723	0.7147214001832083
Bacteria (OTU 314)	3	0.2702893848016986	Wilcoxon rank sum test with continuity correction	two.sided	0	2.758874379253265e-4	0.7147214001832083
Clostridiales (OTU 321)	4.5	0.563702861650773	Wilcoxon rank sum test with continuity correction	two.sided	0	0	0.7147214001832083
Clostridiales (OTU 322)	4.5	0.563702861650773	Wilcoxon rank sum test with continuity correction	two.sided	0	0	0.7147214001832083
Clostridiales (OTU 323)	4.5	0.563702861650773	Wilcoxon rank sum test with continuity correction	two.sided	0	0	0.7147214001832083
Lachnospiraceae (OTU 325)	4.5	0.563702861650773	Wilcoxon rank sum test with continuity correction	two.sided	0	0	0.7147214001832083
Clostridiales (OTU 327)	1.5	0.11465264168449486	Wilcoxon rank sum test with continuity correction	two.sided	0	1.839249586168843e-4	0.7147214001832083
Clostridium (OTU 331)	8	0.3864762307712326	Wilcoxon rank sum test with continuity correction	two.sided	0	0	0.7147214001832083
Lachnospiraceae (OTU 332)	3	0.2702893848016986	Wilcoxon rank sum test with continuity correction	two.sided	0	9.196247930844215e-5	0.7147214001832083
Clostridiales (OTU 333)	1.5	0.11867034556458321	Wilcoxon rank sum test with continuity correction	two.sided	0	3.678499172337686e-4	0.7147214001832083
Lachnospiraceae (OTU 334)	3	0.2635524772829727	Wilcoxon rank sum test with continuity correction	two.sided	0	9.196247930844215e-5	0.7147214001832083
Ruminococcaceae (OTU 335)	4.5	0.563702861650773	Wilcoxon rank sum test with continuity correction	two.sided	0	0	0.7147214001832083
Lachnospiraceae (OTU 338)	3	0.2635524772829727	Wilcoxon rank sum test with continuity correction	two.sided	0	9.196247930844215e-5	0.7147214001832083
Lachnospiraceae (OTU 340)	8	0.3864762307712326	Wilcoxon rank sum test with continuity correction	two.sided	0	0	0.7147214001832083
Clostridiales (OTU 341)	3	0.2635524772829727	Wilcoxon rank sum test with continuity correction	two.sided	0	9.196247930844215e-5	0.7147214001832083
Erysipelotrichaceae (OTU 342)	10	0.12274468232592092	Wilcoxon rank sum test with continuity correction	two.sided	3.678499172337686e-4	0	0.7147214001832083
Lachnospiraceae (OTU 344)	4.5	0.563702861650773	Wilcoxon rank sum test with continuity correction	two.sided	0	0	0.7147214001832083
Firmicutes (OTU 345)	4.5	0.563702861650773	Wilcoxon rank sum test with continuity correction	two.sided	0	0	0.7147214001832083
Clostridiales (OTU 347)	3	0.2702893848016986	Wilcoxon rank sum test with continuity correction	two.sided	0	2.758874379253265e-4	0.7147214001832083
Lachnospiraceae (OTU 348)	4.5	0.563702861650773	Wilcoxon rank sum test with continuity correction	two.sided	0	0	0.7147214001832083
Ruminococcaceae (OTU 354)	3.5	0.45426024256681885	Wilcoxon rank sum test with continuity correction	two.sided	1.839249586168843e-4	2.758874379253265e-4	0.7147214001832083
Clostridiales (OTU 356)	3	0.2635524772829727	Wilcoxon rank sum test with continuity correction	two.sided	0	9.196247930844215e-5	0.7147214001832083
Clostridium (OTU 359)	4.5	0.563702861650773	Wilcoxon rank sum test with continuity correction	two.sided	0	0	0.7147214001832083
Oscillibacter (OTU 361)	1.5	0.11867034556458321	Wilcoxon rank sum test with continuity correction	two.sided	0	5.51774875850653e-4	0.7147214001832083
Lachnospiraceae (OTU 362)	3	0.2702893848016986	Wilcoxon rank sum test with continuity correction	two.sided	0	9.196247930844215e-5	0.7147214001832083
Ruminococcaceae (OTU 364)	3	0.2635524772829727	Wilcoxon rank sum test with continuity correction	two.sided	0	9.196247930844215e-5	0.7147214001832083
Bacteria (OTU 365)	4.5	0.563702861650773	Wilcoxon rank sum test with continuity correction	two.sided	0	0	0.7147214001832083
Lachnospiraceae (OTU 366)	4.5	0.563702861650773	Wilcoxon rank sum test with continuity correction	two.sided	0	0	0.7147214001832083
Clostridiales (OTU 367)	4.5	0.563702861650773	Wilcoxon rank sum test with continuity correction	two.sided	0	0	0.7147214001832083
Lachnospiraceae (OTU 368)	10	0.11752486809663919	Wilcoxon rank sum test with continuity correction	two.sided	5.51774875850653e-4	0	0.7147214001832083
Bacteria (OTU 370)	4.5	0.563702861650773	Wilcoxon rank sum test with continuity correction	two.sided	0	0	0.7147214001832083
Lachnospiraceae (OTU 380)	4.5	0.563702861650773	Wilcoxon rank sum test with continuity correction	two.sided	0	0	0.7147214001832083
Clostridiales (OTU 384)	3	0.2702893848016986	Wilcoxon rank sum test with continuity correction	two.sided	0	1.839249586168843e-4	0.7147214001832083
Asaccharobacter (OTU 385)	8	0.3864762307712326	Wilcoxon rank sum test with continuity correction	two.sided	0	0	0.7147214001832083
Parabacteroides (OTU 386)	10	0.12274468232592092	Wilcoxon rank sum test with continuity correction	two.sided	5.51774875850653e-4	0	0.7147214001832083
Bacteroidales (OTU 387)	1.5	0.11867034556458321	Wilcoxon rank sum test with continuity correction	two.sided	0	0.005609711237814971	0.7147214001832083
Lachnospiraceae (OTU 388)	1.5	0.11465264168449486	Wilcoxon rank sum test with continuity correction	two.sided	0	1.839249586168843e-4	0.7147214001832083
Erysipelotrichaceae (OTU 389)	4.5	0.563702861650773	Wilcoxon rank sum test with continuity correction	two.sided	0	0	0.7147214001832083
Acetatifactor (OTU 391)	2.5	0.26165109058823655	Wilcoxon rank sum test with continuity correction	two.sided	0	2.758874379253265e-4	0.7147214001832083
Odoribacter (OTU 393)	1.5	0.11867034556458321	Wilcoxon rank sum test with continuity correction	two.sided	0	0.004598123965422108	0.7147214001832083
Porphyromonadaceae (OTU 396)	1.5	0.11867034556458321	Wilcoxon rank sum test with continuity correction	two.sided	0	0.003034761817178591	0.7147214001832083
Firmicutes (OTU 398)	1.5	0.11465264168449486	Wilcoxon rank sum test with continuity correction	two.sided	0	1.839249586168843e-4	0.7147214001832083
Lachnospiraceae (OTU 399)	4.5	0.563702861650773	Wilcoxon rank sum test with continuity correction	two.sided	0	0	0.7147214001832083
Clostridium (OTU 400)	4.5	0.563702861650773	Wilcoxon rank sum test with continuity correction	two.sided	0	0	0.7147214001832083
Clostridium (OTU 403)	8	0.3864762307712326	Wilcoxon rank sum test with continuity correction	two.sided	0	0	0.7147214001832083
Desulfovibrionaceae (OTU 404)	1.5	0.11867034556458321	Wilcoxon rank sum test with continuity correction	two.sided	0	0.005149898841272761	0.7147214001832083
Acetatifactor (OTU 405)	4.5	0.563702861650773	Wilcoxon rank sum test with continuity correction	two.sided	0	0	0.7147214001832083
Lachnospiraceae (OTU 406)	4.5	0.563702861650773	Wilcoxon rank sum test with continuity correction	two.sided	0	0	0.7147214001832083
Clostridiales (OTU 408)	4.5	0.563702861650773	Wilcoxon rank sum test with continuity correction	two.sided	0	0	0.7147214001832083
Lachnospiraceae (OTU 409)	1.5	0.11465264168449486	Wilcoxon rank sum test with continuity correction	two.sided	0	1.839249586168843e-4	0.7147214001832083
Oscillibacter (OTU 413)	1.5	0.11867034556458321	Wilcoxon rank sum test with continuity correction	two.sided	0	2.758874379253265e-4	0.7147214001832083
