day_0
S11D0E2
S12D0E2
S21D0E2
S22D0E2
Y11D0E2
Y12D0E2
Y21D0E2
Y22D0E2
J11D0E2
J12D0E2
J22D0E2
C21D0E2
C22D0E2
T11D0E2
T12D0E2
T22D0E2
E12D0E2
E22D0E2
S12D0E1
S21D0E1
Y12D0E1
Y13D0E1
Y21D0E1
Y22D0E1
J11D0E1
J22D0E1
C11D0E1
C12D0E1
C22D0E1
E11D0E1
E12D0E1
E22D0E1
