otu	statistic	p.value	parameter	method	-1	0	1	p.value.adj
Otu0133	11.618257261410784	0.0030000430791352044	2	Kruskal-Wallis rank sum test	3.678499172337686e-4	0	0	0.015417547439938478
Otu0155	11.666666666666663	0.002928299694818194	2	Kruskal-Wallis rank sum test	1.839249586168843e-4	0	0	0.015417547439938478
Otu0205	11.618257261410784	0.0030000430791352044	2	Kruskal-Wallis rank sum test	4.598123965422108e-4	0	0	0.015417547439938478
Otu0241	11.602209944751378	0.003024211228603317	2	Kruskal-Wallis rank sum test	6.130831953896144e-4	0	0	0.015417547439938478
Otu0300	11.764705882352938	0.002788217040049426	2	Kruskal-Wallis rank sum test	1.2261663907792286e-4	0	0	0.015417547439938478
Otu0356	11.634349030470911	0.00297600192480551	2	Kruskal-Wallis rank sum test	1.839249586168843e-4	0	0	0.015417547439938478
Otu0437	11.618257261410784	0.0030000430791352044	2	Kruskal-Wallis rank sum test	2.758874379253265e-4	0	0	0.015417547439938478
Otu0044	11.037681084078464	0.0040104952480338055	2	Kruskal-Wallis rank sum test	0.006284102752743547	7.8824982264379e-5	0.002689902519771933	0.020052476240169027
Otu0004	10.500794721125128	0.005245433656542904	2	Kruskal-Wallis rank sum test	0.016062779719207897	2.627499408812633e-4	0.1228158911164245	0.02573231605096519
Otu0013	9.933439829605968	0.006965959543228886	2	Kruskal-Wallis rank sum test	0.02007847464900987	2.627499408812633e-5	1.1495309913555268e-4	0.03353980520813908
Otu0003	9.763969396659185	0.0075819511990568526	2	Kruskal-Wallis rank sum test	0.1052357304886273	6.568748522031582e-4	0.08876678315247379	0.03526617264245598
Otu0093	9.747591784805524	0.007644293231003274	2	Kruskal-Wallis rank sum test	0.0013794371896266324	2.627499408812633e-5	5.057936361964318e-4	0.03526617264245598
Otu0131	9.724922839506164	0.007731430156230734	2	Kruskal-Wallis rank sum test	3.985040770032493e-4	5.254998817625266e-5	2.2990619827110538e-5	0.03526617264245598
Otu0040	9.383167220376519	0.009172149539656298	2	Kruskal-Wallis rank sum test	0.001410091349396113	2.627499408812633e-5	0	0.04111653241914892
Otu0151	9.334012417539771	0.009400370188090286	2	Kruskal-Wallis rank sum test	5.211207160811721e-4	0	2.2990619827110538e-5	0.041425360150906344
Otu0056	9.112755695992023	0.010500022825162611	2	Kruskal-Wallis rank sum test	0.001103549751701306	2.627499408812633e-5	0	0.04403235378293998
Otu0163	9.123376623376629	0.010444410629148472	2	Kruskal-Wallis rank sum test	3.371957574642879e-4	2.627499408812633e-5	0	0.04403235378293998
Otu0320	9.112755695992023	0.010500022825162611	2	Kruskal-Wallis rank sum test	3.985040770032493e-4	2.627499408812633e-5	0	0.04403235378293998
Otu0068	9.055944055944058	0.010802561165939124	2	Kruskal-Wallis rank sum test	4.2915823677273007e-4	0	2.2990619827110538e-5	0.044581998462605917
Otu0052	8.274956217162858	0.015963057883832427	2	Kruskal-Wallis rank sum test	0.07458157071914659	0	0	0.04560873681094979
Otu0067	8.311990686845176	0.01567018614803832	2	Kruskal-Wallis rank sum test	0.0013794371896266322	5.254998817625266e-5	0	0.04560873681094979
Otu0087	8.274956217162858	0.015963057883832427	2	Kruskal-Wallis rank sum test	0.052142725767886706	0	0	0.04560873681094979
Otu0088	8.365403304178821	0.015257232102870125	2	Kruskal-Wallis rank sum test	0.03506835877628594	4.992248876744003e-4	0	0.04560873681094979
Otu0100	8.274956217162858	0.015963057883832427	2	Kruskal-Wallis rank sum test	0.021519220158175464	0	0	0.04560873681094979
Otu0105	8.274956217162858	0.015963057883832427	2	Kruskal-Wallis rank sum test	2.758874379253265e-4	0	0	0.04560873681094979
Otu0129	8.274956217162858	0.015963057883832427	2	Kruskal-Wallis rank sum test	0.003279995095334437	0	0	0.04560873681094979
Otu0132	8.289473684210513	0.015847605825215116	2	Kruskal-Wallis rank sum test	2.452332781558457e-4	0	0	0.04560873681094979
Otu0139	8.274956217162858	0.015963057883832427	2	Kruskal-Wallis rank sum test	0.030102384893630065	0	0	0.04560873681094979
Otu0140	8.274956217162858	0.015963057883832427	2	Kruskal-Wallis rank sum test	0.022254919992643	0	0	0.04560873681094979
Otu0145	8.289473684210513	0.015847605825215116	2	Kruskal-Wallis rank sum test	1.532707988474036e-4	0	0	0.04560873681094979
Otu0157	8.274956217162858	0.015963057883832427	2	Kruskal-Wallis rank sum test	0.00852185641591564	0	0	0.04560873681094979
Otu0180	8.289473684210513	0.015847605825215116	2	Kruskal-Wallis rank sum test	4.598123965422108e-4	0	0	0.04560873681094979
