genus	statistic	p.value	parameter	method	Schloss	Young	Jackson	Charles River	Taconic	Envigo	p.value.adj
Burkholderiales Unclassified	37.19635834513134	5.470385828046244e-7	5	Kruskal-Wallis rank sum test	0	0	0	2.2990619827110538e-5	0	0.03149714916314144	3.119165151602934e-5
Parasutterella	36.107061959919086	9.041058410443287e-7	5	Kruskal-Wallis rank sum test	0	0	0.043443075225308075	0.043015449696523815	9.196247930844216e-5	1.3794371896266324e-4	3.119165151602934e-5
Bifidobacterium	34.67302141491685	1.7484931590175606e-6	5	Kruskal-Wallis rank sum test	0.011426338054073937	0.004755773929950866	0	0	0	0.001448409049107964	4.0215342657403896e-5
Parabacteroides	33.34501699285128	3.213992134874816e-6	5	Kruskal-Wallis rank sum test	2.0691557844399483e-4	1.3137497044063165e-4	2.57494942063638e-4	0.15783060511311384	0.37784317331861933	0.30455674084973333	5.544136432659058e-5
Clostridium XlVa	31.08411682425016	9.015748137578217e-6	5	Kruskal-Wallis rank sum test	4.5981239654221075e-5	0	0	0.017426889828949788	0.015449696523818283	4.5981239654221075e-5	1.036811035821495e-4
Enterococcus	31.20143408834505	8.54729149359491e-6	5	Kruskal-Wallis rank sum test	0	0	0.01405186683832996	0.008207651278278463	0.019465391453620254	0.040486481515541656	1.036811035821495e-4
Betaproteobacteria Unclassified	28.81929555895862	2.5159051268959338e-5	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0.03538256391392312	2.4799636250831346e-4
Enterobacteriaceae Unclassified	28.257679763159228	3.24109583206095e-5	5	Kruskal-Wallis rank sum test	0.5300487401140335	0.5493838513886334	0.098878057752437	0.0632701857642082	0.001410091349396113	0.2611274599963215	2.6693563000748796e-4
Proteus	28.098645818199387	3.48176908705419e-5	5	Kruskal-Wallis rank sum test	2.2990619827110538e-5	0	0	4.598123965422108e-4	0.268714364539268	2.2990619827110538e-5	2.6693563000748796e-4
Anaerostipes	25.81386633354158	9.696705715442079e-5	5	Kruskal-Wallis rank sum test	0	0	0	0	0.0020844828643246886	0	5.290783802200696e-4
Bacteroides	25.75198483600376	9.968143395450587e-5	5	Kruskal-Wallis rank sum test	0.08922659554901599	0.11051262513465936	0.7751701305867207	0.42070535221629574	0.004199619888418858	0.06090215192201582	5.290783802200696e-4
Clostridiales Unclassified	25.98536451258168	8.982108881912188e-5	5	Kruskal-Wallis rank sum test	4.5981239654221075e-5	0	0	0.005057936361964319	0.010790264238857213	0.001149530991355527	5.290783802200696e-4
Lactobacillus	26.274837842113612	7.892367894659678e-5	5	Kruskal-Wallis rank sum test	0.14904818833915762	0.20281667936624714	0.008239838146036418	0.06513242597020416	0.0766353994237018	0.08731837410336582	5.290783802200696e-4
Peptostreptococcaceae Unclassified	23.86645484314157	2.3032423961298534e-4	5	Kruskal-Wallis rank sum test	0.05464870332904175	0.06219291100659503	0.03785175648335479	0.00857550119551223	0.024860523573048864	0.08600790877322052	0.0011351694666639992
Deltaproteobacteria Unclassified	23.426696542893694	2.797011519198598e-4	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0.0025289681809821593	0.0012062112176543954
Rhodospirillaceae Unclassified	23.426696542893694	2.797011519198598e-4	5	Kruskal-Wallis rank sum test	0	0	0	0.009058304211881552	0	0	0.0012062112176543954
Turicibacter	22.97256397334322	3.416672292497541e-4	5	Kruskal-Wallis rank sum test	0.008368585617068236	0.011455897422423079	0.013205812028692294	0	0.00211513702409417	9.196247930844215e-5	0.0013867669893078253
Acetatifactor	20.779481935923673	8.915565486584019e-4	5	Kruskal-Wallis rank sum test	0	0	0	0.0044831708662865545	0.0010115872723928637	2.2990619827110538e-5	0.003417633436523874
Clostridium XVIII	19.38464409245225	0.0016294219502834314	5	Kruskal-Wallis rank sum test	2.2990619827110538e-5	2.627499408812633e-5	0.0030899393047636565	0.006460364171418061	0.004383544847035742	0.013403531359205445	0.005917374451029304
Anaerofustis	18.899999999999984	0.002006333257107833	5	Kruskal-Wallis rank sum test	0	0	0	0	2.4523327815584577e-4	0	0.006921849737022025
Lachnospiraceae Unclassified	16.36816752944271	0.0058678934121751845	5	Kruskal-Wallis rank sum test	0.009702041567040647	0.004177724060012086	4.7820489240389924e-4	0.10955030347618172	0.07602231622831218	0.04476273680338422	0.01928022121143275
Mucispirillum	16.254313385927794	0.006154288131732257	5	Kruskal-Wallis rank sum test	0	0	0	0.012621850285083685	0.0035558825332597634	0	0.019302085504069352
Erysipelotrichaceae Unclassified	15.118436419260444	0.009868085219675653	5	Kruskal-Wallis rank sum test	1.6093433878977377e-4	5.51774875850653e-4	7.356998344675372e-5	0.0010805591318741954	4.2915823677273e-4	3.2186867757954754e-4	0.02960425565902696
Bacteroidetes Unclassified	14.517110997180234	0.012637763292207824	5	Kruskal-Wallis rank sum test	2.2990619827110538e-5	0	0	0.004184292808534118	0	0	0.03633356946509749
Akkermansia	13.694093499665097	0.017673901162658975	5	Kruskal-Wallis rank sum test	0.12293084421556007	0.03289629259833417	0.003384219238550671	0.03398013610446938	0.06474158543314328	0.0060695236343571825	0.04877996720893877
Coriobacteriaceae Unclassified	13.316552197802183	0.020586200434609132	5	Kruskal-Wallis rank sum test	6.897185948133162e-5	2.1019995270501064e-4	0	1.839249586168843e-4	0	2.2990619827110538e-5	0.05073027964242965
Proteobacteria Unclassified	13.382060138155172	0.020049765802288667	5	Kruskal-Wallis rank sum test	0	0	0	6.667279749862056e-4	0	0	0.05073027964242965
Romboutsia	13.382060138155172	0.020049765802288667	5	Kruskal-Wallis rank sum test	0	0	0	5.057936361964318e-4	0	0	0.05073027964242965
Alistipes	12.621391995932587	0.02719721640466811	5	Kruskal-Wallis rank sum test	0	0	7.356998344675372e-5	0.0015173809085892954	3.0654159769480714e-5	0.01246091594629391	0.06471061834214137
