family	statistic	p.value	parameter	method	Schloss	Young	Jackson	Charles River	Taconic	Envigo	p.value.adj
Betaproteobacteria unclassified	37.65862422997945	4.4184148567759325e-7	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0.03454723806020477	9.499591942068255e-6
Burkholderiales unclassified	37.65862422997945	4.4184148567759325e-7	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0.014805959168659188	9.499591942068255e-6
Sutterellaceae	30.61593282044238	1.1153180899077695e-5	5	Kruskal-Wallis rank sum test	0	2.2990619827110538e-5	0.0170130586720618	0.07007540923303292	0	3.0654159769480714e-5	1.5986225955344697e-4
Deferribacteraceae	27.343372104714142	4.8897482114720985e-5	5	Kruskal-Wallis rank sum test	2.627499408812633e-5	4.5981239654221075e-5	1.3794371896266324e-4	0.009931947765311753	0.016332536325179326	3.6784991723376866e-4	5.256479327332506e-4
Enterococcaceae	25.72332229037025	1.009640580776463e-4	5	Kruskal-Wallis rank sum test	5.254998817625266e-5	6.897185948133162e-5	0.07573110171050211	0.023137759794004047	0.05510391760161854	0.13668689841211454	8.682908994677581e-4
Enterobacteriaceae	24.39301837953521	1.824269231348224e-4	5	Kruskal-Wallis rank sum test	0.8783467773719751	0.756667279749862	0.15520967445282324	0.287070075409233	0.5414015081846606	0.44742811599534055	0.001307392949132894
Lactobacillaceae	19.573272309227377	0.001502348542401708	5	Kruskal-Wallis rank sum test	0.09248797919020468	0.23025105756851205	0.025243700570167373	0.12620930660290602	0.16829133713444916	0.33658267426889826	0.00922871247475335
Bacteroidaceae	17.734035502241603	0.003298882981213816	5	Kruskal-Wallis rank sum test	0.007908773220526025	8.276623137759794e-4	0.7089617436086078	0.39889645024829873	0.001066764759977929	6.130831953896144e-4	0.016325225545219802
Porphyromonadaceae	17.65116967175223	0.0034169076722553077	5	Kruskal-Wallis rank sum test	0.002785149373341391	7.586904542946477e-4	3.678499172337686e-4	0.03615964686407946	0.1096928453191098	5.211207160811722e-4	0.016325225545219802
Lachnospiraceae	15.601044983054326	0.008080406170746571	5	Kruskal-Wallis rank sum test	0.0011823747339656848	7.356998344675372e-4	0.0011265403715284164	0.012580467169394887	0.06904542946477837	0.023818282140886517	0.03474574653421025
Bifidobacteriaceae	14.448747461069752	0.012996670768785131	5	Kruskal-Wallis rank sum test	1.57649964528758e-4	0	0	0	0	0	0.050805167550705514
Bacteroidetes unclassified	13.957894736842242	0.015879097969798292	5	Kruskal-Wallis rank sum test	0	0	0	1.4713996689350744e-4	0	0	0.052523170207794345
Proteobacteria unclassified	13.957894736842242	0.015879097969798292	5	Kruskal-Wallis rank sum test	0	0	0	7.724848261909141e-4	0	0	0.052523170207794345
