day0_interp_otus
Lactobacillus (OTU 834)
Clostridium (OTU 99)
Clostridium (OTU 226)
Eisenbergiella (OTU 164)
Lachnospiraceae (OTU 9)
Proteus (OTU 16)
Alishewanella (OTU 776)
Erysipelotrichaceae (OTU 234)
Ruminococcaceae (OTU 60)
Porphyromonadaceae (OTU 7)
Lachnospiraceae (OTU 33)
Porphyromonadaceae (OTU 22)
Lachnospiraceae (OTU 38)
Porphyromonadaceae (OTU 54)
Ruminococcaceae (OTU 520)
Lachnospiraceae (OTU 56)
Escherichia/Shigella (OTU 610)
Lactobacillus (OTU 18)
Bacteroides (OTU 2)
Enterobacteriaceae (OTU 1)
