genus	statistic	p.value	parameter	method	-1	0	1	p.value.adj
Clostridia unclassified	17.232558139534888	1.8113298553460762e-4	2	Kruskal-Wallis rank sum test	6.437373551590951e-4	0	0	0.00964615801438152
Clostridiales unclassified	13.846581769436998	9.84584449273286e-4	2	Kruskal-Wallis rank sum test	0.045061614861136655	3.678499172337686e-5	0.005057936361964319	0.00964615801438152
Enterobacteriaceae unclassified	13.831387665198235	9.920928734828921e-4	2	Kruskal-Wallis rank sum test	3.371957574642879e-4	0.2868125804671694	0.0632701857642082	0.00964615801438152
Oscillibacter	13.472282608695663	0.0011872194479238794	2	Kruskal-Wallis rank sum test	0.005088590521733799	0	3.2186867757954754e-4	0.00964615801438152
Peptostreptococcaceae unclassified	13.50659437280188	0.001167025370011762	2	Kruskal-Wallis rank sum test	0	0	0.00857550119551223	0.00964615801438152
Pseudoflavonifractor	14.430185537583256	7.354023682164592e-4	2	Kruskal-Wallis rank sum test	0.0035558825332597634	0	1.839249586168843e-4	0.00964615801438152
Roseburia	13.521897810219002	0.0011581296971504445	2	Kruskal-Wallis rank sum test	8.276623137759794e-4	0	0	0.00964615801438152
Turicibacter	13.521897810219002	0.0011581296971504445	2	Kruskal-Wallis rank sum test	0.0015020538287045552	0	0	0.00964615801438152
Butyricimonas	12.220108695652181	0.0022204301339682412	2	Kruskal-Wallis rank sum test	0.01823922506284103	0	0.0027818649990803755	0.01323414070554226
Clostridium XlVb	12.233405875952132	0.002205716371140387	2	Kruskal-Wallis rank sum test	0.0012568205505487096	0	1.3794371896266324e-4	0.01323414070554226
Parasutterella	12.202894736842111	0.0022396238117071516	2	Kruskal-Wallis rank sum test	7.050456746980565e-4	0.07007540923303292	0.043015449696523815	0.01323414070554226
Unclassified	11.462692307692325	0.0032427091088473845	2	Kruskal-Wallis rank sum test	0.015541659003126724	0	0.0019771933051315064	0.01756467433959
Alistipes	11.027631578947362	0.004030697707995565	2	Kruskal-Wallis rank sum test	0.006437373551590951	7.356998344675372e-5	0.0015173809085892954	0.01984683100585221
Firmicutes unclassified	10.910081743869213	0.004274702062798937	2	Kruskal-Wallis rank sum test	0.011035497517013059	2.2070995034026116e-4	0.0013104653301453007	0.01984683100585221
Asaccharobacter	10.291666666666671	0.005823619325251306	2	Kruskal-Wallis rank sum test	1.532707988474036e-4	0	0	0.021175449297231738
Bacteroidetes unclassified	10.169722222222214	0.0061897467176523545	2	Kruskal-Wallis rank sum test	0.021703145116792347	1.4713996689350744e-4	0.004184292808534118	0.021175449297231738
Eisenbergiella	10.238341968911921	0.005980979165006017	2	Kruskal-Wallis rank sum test	6.743915149285758e-4	0	0	0.021175449297231738
Lachnospiraceae unclassified	10.421052631578945	0.00545879987887383	2	Kruskal-Wallis rank sum test	0.22901722763779045	0.011513702409416958	0.10955030347618172	0.021175449297231738
Ruminococcus	10.22068965517242	0.006034001874517046	2	Kruskal-Wallis rank sum test	0.002176445343633131	0	0	0.021175449297231738
Akkermansia	9.63368024800708	0.008092317501295358	2	Kruskal-Wallis rank sum test	0.011280730795168904	2.2070995034026116e-4	0.03398013610446938	0.025047649408771345
Clostridium sensu stricto	9.638382352941196	0.008073314385683865	2	Kruskal-Wallis rank sum test	0.003157378456256514	3.678499172337686e-5	2.2990619827110538e-5	0.025047649408771345
Enterococcus	8.896179624664878	0.011700896545046429	2	Kruskal-Wallis rank sum test	9.196247930844215e-5	0.023137759794004047	0.008207651278278463	0.03457083070127354
Ruminococcaceae unclassified	8.800087796312566	0.012276800962311978	2	Kruskal-Wallis rank sum test	0.02351174054319171	0.0035681441971675554	0.012276990987677028	0.03469530706740342
Acetatifactor	6.894087688219675	0.0318396202751167	2	Kruskal-Wallis rank sum test	0.005854944515970817	5.14989884127276e-4	0.0044831708662865545	0.0862323049117744
Lactobacillus	6.719999999999999	0.03473525894473858	2	Kruskal-Wallis rank sum test	0.06507878119060756	0.12620930660290602	0.06513242597020416	0.08683814736184645
Romboutsia	6.776176470588242	0.033773181597607206	2	Kruskal-Wallis rank sum test	0.007816810741217584	6.253448592974067e-4	5.057936361964318e-4	0.08683814736184645
