otu	statistic	p.value	method	alternative	-1	0	p.value.adj
Lactobacillus (OTU 6)	136	3.0517578125000014e-5	Wilcoxon signed rank test	two.sided	0.020116792348721723	0.21514622034210043	0.004608154296875002
Lactobacillus (OTU 18)	136	3.0517578125000014e-5	Wilcoxon signed rank test	two.sided	0.024760897553798053	0.014369137391944087	0.004608154296875002
Enterobacteriaceae (OTU 1)	105	0.0010815560245814417	Wilcoxon signed rank test with continuity correction	two.sided	4.368217767151002e-4	0.7565293360308993	0.08189056303061226
Lactobacillus (OTU 31)	105	0.0010846432189485068	Wilcoxon signed rank test with continuity correction	two.sided	0.012070075409233032	7.127092146404267e-4	0.08189056303061226
Bacteroides (OTU 3)	45	0.008550979237125333	Wilcoxon signed rank test with continuity correction	two.sided	0.025726503586536692	1.1495309913555268e-4	0.09574196408526604
Akkermansia (OTU 4)	45	0.009151688852650072	Wilcoxon signed rank test with continuity correction	two.sided	0.10948133161670039	1.3794371896266324e-4	0.09574196408526604
Porphyromonadaceae (OTU 7)	55	0.005761162816017594	Wilcoxon signed rank test with continuity correction	two.sided	0.084237631046533007	1.6093433878977377e-4	0.09574196408526604
Porphyromonadaceae (OTU 8)	45	0.009090698015925056	Wilcoxon signed rank test with continuity correction	two.sided	0.06602906014346147	4.5981239654221075e-5	0.09574196408526604
Lachnospiraceae (OTU 9)	55	0.0059215370241487075	Wilcoxon signed rank test with continuity correction	two.sided	0.03632517932683465	6.897185948133162e-5	0.09574196408526604
Lachnospiraceae (OTU 13)	45	0.009090698015925056	Wilcoxon signed rank test with continuity correction	two.sided	0.019473054993562628	2.2990619827110538e-5	0.09574196408526604
Turicibacter (OTU 14)	91	0.0016508126101047657	Wilcoxon signed rank test with continuity correction	two.sided	0.031864999080375205	0.0012185028508368584	0.09574196408526604
Alistipes (OTU 21)	36	0.014266186701446927	Wilcoxon signed rank test with continuity correction	two.sided	0.08163969100606952	0	0.09574196408526604
Porphyromonadaceae (OTU 22)	36	0.014147403886021537	Wilcoxon signed rank test with continuity correction	two.sided	0.04651002391024462	1.6093433878977377e-4	0.09574196408526604
Lachnospiraceae (OTU 28)	55	0.005857099085284128	Wilcoxon signed rank test with continuity correction	two.sided	0.0036784991723376862	4.5981239654221075e-5	0.09574196408526604
Lachnospiraceae (OTU 33)	36	0.014266186701446927	Wilcoxon signed rank test with continuity correction	two.sided	0.005149898841272761	4.5981239654221075e-5	0.09574196408526604
Ruminococcaceae (OTU 37)	36	0.013676686898827143	Wilcoxon signed rank test with continuity correction	two.sided	0.0032186867757954753	0	0.09574196408526604
Lachnospiraceae (OTU 38)	36	0.014266186701446927	Wilcoxon signed rank test with continuity correction	two.sided	0.007012139047268715	0	0.09574196408526604
Oscillibacter (OTU 40)	36	0.014029060898300376	Wilcoxon signed rank test with continuity correction	two.sided	0.0027128931395990433	0	0.09574196408526604
Lachnospiraceae (OTU 42)	45	0.009090698015925056	Wilcoxon signed rank test with continuity correction	two.sided	0.007885782600698915	2.2990619827110538e-5	0.09574196408526604
Lachnospiraceae (OTU 44)	45	0.009029910762692462	Wilcoxon signed rank test with continuity correction	two.sided	0.002207099503402612	2.2990619827110538e-5	0.09574196408526604
Lachnospiraceae (OTU 50)	36	0.014266186701446927	Wilcoxon signed rank test with continuity correction	two.sided	0.003080743056832812	0	0.09574196408526604
Clostridiales (OTU 51)	36	0.014266186701446927	Wilcoxon signed rank test with continuity correction	two.sided	0.004598123965422108	4.5981239654221075e-5	0.09574196408526604
Ruminococcaceae (OTU 66)	45	0.008848773653994606	Wilcoxon signed rank test with continuity correction	two.sided	0.0016093433878977376	2.2990619827110538e-5	0.09574196408526604
Bacteria (OTU 75)	36	0.014147403886021537	Wilcoxon signed rank test with continuity correction	two.sided	0.0049429832628287654	1.149530991355527e-4	0.09574196408526604
Lachnospiraceae (OTU 78)	36	0.014266186701446927	Wilcoxon signed rank test with continuity correction	two.sided	0.00255195880080927	0	0.09574196408526604
Anaeroplasma (OTU 92)	36	0.014029060898300376	Wilcoxon signed rank test with continuity correction	two.sided	0.0010345778922199742	0	0.09574196408526604
Ruminococcaceae (OTU 94)	36	0.014029060898300376	Wilcoxon signed rank test with continuity correction	two.sided	0.0011265403715284164	6.437373551590951e-4	0.09574196408526604
Lachnospiraceae (OTU 98)	36	0.014147403886021537	Wilcoxon signed rank test with continuity correction	two.sided	0.0035175648335479125	0	0.09574196408526604
