comparison	p.value
otu_day0-family_dayn1	2.0672830698925336e-17
otu_day1-otu_day0	1.1138178809423493e-13
otu_day0-family_day1	3.960587746301206e-12
otu_dayn1-otu_day0	7.767706881287236e-11
otu_day0-family_day0	3.9143637564471944e-10
otu_day1-family_dayn1	0.002014758361964581
otu_dayn1-family_dayn1	0.002014758361964581
family_dayn1-family_day0	0.007105552882508151
family_dayn1-family_day1	0.13993975169176756
otu_dayn1-family_day1	0.16621853225875188
otu_day1-family_day1	0.21072592277177993
family_day1-family_day0	0.2565156698828199
otu_dayn1-family_day0	0.6645338313853911
otu_dayn1-otu_day1	0.6645338313853911
otu_day1-family_day0	0.9988722964970201
