family	statistic	p.value	parameter	method	-1	0	1	2	3	4	5	6	7	8	9	p.value.adj
Lactobacillales unclassified	53.00000000000024	7.44595318334869e-8	10	Kruskal-Wallis rank sum test	0	0	0	1.839249586168843e-4	0	0	0	0	0	0	0	3.946355187174806e-6
Enterobacteriaceae	30.851937953333046	6.206833017341344e-4	10	Kruskal-Wallis rank sum test	0.0014254184292808534	0.5414015081846606	0.2701244558886641	0.26430016553246277	0.10211513702409417	0.040610630862608056	0.01710502115137024	0.027542762552878425	0.0038624241309545707	0.0019005579057078045	0.005386373788065898	0.016448107495954562
Peptostreptococcaceae	28.854069538056866	0.001315646986710229	10	Kruskal-Wallis rank sum test	0	0	0.024860523573048864	0.013610446937649439	0.026227699098767703	0.0013978296854883208	3.678499172337686e-4	0.015449696523818283	0.001103549751701306	1.2261663907792286e-4	2.627499408812633e-5	0.02324309676521405
Porphyromonadaceae	26.550615680615664	0.00306612448941672	10	Kruskal-Wallis rank sum test	0.34913555269450064	0.1096928453191098	0.37784317331861933	0.47507816810741216	0.18716203788854147	0.09604561338973698	0.1624977009380173	0.26402427809453743	0.23901048372264116	0.2866777021641837	0.39643711080165006	0.04062614948477154
Lachnospiraceae	23.78354364292793	0.008196132459359956	10	Kruskal-Wallis rank sum test	0.387897737723009	0.06904542946477837	0.09607013671755257	0.03034761817178591	0.2400956409784808	0.25381644289130034	0.40251977193305133	0.4402243884495126	0.4905278646312305	0.3896756789896389	0.35768149452166376	0.08687900406921553
Clostridia unclassified	22.098593986306987	0.014610129915649564	10	Kruskal-Wallis rank sum test	0.0026209306602906013	0	2.452332781558457e-4	0	8.092698179142909e-4	0.0012874747103181902	6.130831953896144e-4	0.0017932683465146219	0.0038164428913003492	0.008031389859603949	0.001208649728053811	0.09904671599256759
Coriobacteriaceae	22.49654787041943	0.012765466252076278	10	Kruskal-Wallis rank sum test	0.0011265403715284164	0	9.196247930844216e-5	0	2.57494942063638e-4	5.885598675740298e-4	3.985040770032493e-4	3.2186867757954754e-4	3.2186867757954754e-4	1.2261663907792286e-4	0.001208649728053811	0.09904671599256759
Deferribacteraceae	21.942295927452182	0.01540128024293604	10	Kruskal-Wallis rank sum test	0.0342560235423947	0.016332536325179326	0.0035558825332597634	0	0.026669118999448224	0.051940408313408126	0.059407761633253633	0.020369689166819936	0.062396542210778005	0.04138311568879897	0.02561811923592317	0.09904671599256759
Enterococcaceae	21.680208600853284	0.01681925365911525	10	Kruskal-Wallis rank sum test	2.2990619827110538e-5	0.05510391760161854	0.019465391453620254	0.017840720985837777	0.011771197351480595	0.00503954386610263	0.0013487830298571516	0.007724848261909141	0.004874011403347435	4.904665563116914e-4	2.627499408812633e-4	0.09904671599256759
Clostridiaceae 1	17.000000000000163	0.07436397981457674	10	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	6.130831953896143e-5	0	0.3941290930172567
Burkholderiaceae	16.307692307692353	0.09115663535803244	10	Kruskal-Wallis rank sum test	0	0	0	0	0	0	1.2261663907792286e-4	0	0	0	0	0.43920924308870174
Verrucomicrobiaceae	15.839780380720008	0.10431164698668516	10	Kruskal-Wallis rank sum test	0.07255839617436086	0.003494574213720802	0.06474158543314328	0.10023910244620195	0.18359389369137394	0.30741217583226044	0.08111090675004598	0.05292440684200846	0.09370976641530256	0.10085218564159154	0.08147875666727974	0.4607097741911928
Prevotellaceae	13.671836734693844	0.18849315869781044	10	Kruskal-Wallis rank sum test	4.5981239654221075e-5	0	0	0	7.356998344675372e-5	0	0	0	0	6.130831953896143e-5	0	0.7135812436417109
