otu	statistic	p.value	method	alternative	1	2	p.value.adj
Bacteroides (OTU 3)	0	0.026518721959430742	Wilcoxon rank sum test with continuity correction	two.sided	0	0.05343020047820489	0.1600095507281947
Akkermansia (OTU 4)	16	0.02857142857142857	Wilcoxon rank sum test	two.sided	0.1308626080559132	0.025933419164980688	0.1600095507281947
Lachnospiraceae (OTU 9)	16	0.02857142857142857	Wilcoxon rank sum test	two.sided	0.04313040279565937	0.011403347434246827	0.1600095507281947
Porphyromonadaceae (OTU 10)	0	0.02107057013437866	Wilcoxon rank sum test with continuity correction	two.sided	0	0.025749494206363802	0.1600095507281947
Lachnospiraceae (OTU 13)	16	0.02857142857142857	Wilcoxon rank sum test	two.sided	0.03586536693029244	8.276623137759794e-4	0.1600095507281947
Turicibacter (OTU 14)	0	0.029401048190339663	Wilcoxon rank sum test with continuity correction	two.sided	0.007081110906750046	0.050579363619643186	0.1600095507281947
Lachnospiraceae (OTU 17)	16	0.028429535998796548	Wilcoxon rank sum test with continuity correction	two.sided	0.004965973882655877	2.758874379253265e-4	0.1600095507281947
Porphyromonadaceae (OTU 22)	0	0.026518721959430742	Wilcoxon rank sum test with continuity correction	two.sided	0	0.09012322972227331	0.1600095507281947
Lachnospiraceae (OTU 27)	16	0.029401048190339663	Wilcoxon rank sum test with continuity correction	two.sided	0.010115872723928637	1.839249586168843e-4	0.1600095507281947
Lachnospiraceae (OTU 38)	16	0.02857142857142857	Wilcoxon rank sum test	two.sided	0.012598859665256576	0.0019312120654772853	0.1600095507281947
Lachnospiraceae (OTU 42)	16	0.029401048190339663	Wilcoxon rank sum test with continuity correction	two.sided	0.013886334375574766	0.0032186867757954757	0.1600095507281947
Bifidobacterium (OTU 46)	0	0.02857142857142857	Wilcoxon rank sum test	two.sided	0.0012874747103181902	0.011403347434246827	0.1600095507281947
Lachnospiraceae (OTU 48)	16	0.026518721959430742	Wilcoxon rank sum test with continuity correction	two.sided	0.008920360492918888	0	0.1600095507281947
Lachnospiraceae (OTU 50)	16	0.02857142857142857	Wilcoxon rank sum test	two.sided	0.003678499172337686	0.001103549751701306	0.1600095507281947
Porphyromonadaceae (OTU 52)	0	0.020208004239389284	Wilcoxon rank sum test with continuity correction	two.sided	0	0.08359389369137392	0.1600095507281947
Lachnospiraceae (OTU 72)	16	0.028429535998796548	Wilcoxon rank sum test with continuity correction	two.sided	0.001195512231009748	9.196247930844215e-5	0.1600095507281947
Lachnospiraceae (OTU 73)	16	0.029401048190339663	Wilcoxon rank sum test with continuity correction	two.sided	0.001103549751701306	9.196247930844215e-5	0.1600095507281947
