otu	statistic	p.value	parameter	method	Schloss	Young	Jackson	Charles River	Taconic	Envigo	p.value.adj
Akkermansia (OTU 15)	38.370484242890065	3.178801327019408e-7	5	Kruskal-Wallis rank sum test	0	0	0	0	0.07019036233216848	0	4.073406843337727e-5
Parasutterella (OTU 26)	38.675	2.7607571712332344e-7	5	Kruskal-Wallis rank sum test	0	0	0.027110538900128746	7.050456746980565e-4	0	0	4.073406843337727e-5
Bacteroides (OTU 32)	38.6682867557716	2.769354622256758e-7	5	Kruskal-Wallis rank sum test	0	0	0	0.021672490957022866	0	0	4.073406843337727e-5
Burkholderiales (OTU 34)	38.53293413173654	2.9484980395386926e-7	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0.00916997293675609	4.073406843337727e-5
Betaproteobacteria (OTU 58)	38.54117647058825	2.937266427534004e-7	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0.0062534485929740665	4.073406843337727e-5
Butyricimonas (OTU 65)	38.6682867557716	2.769354622256758e-7	5	Kruskal-Wallis rank sum test	0	0	0	0.018085954263993623	0	0	4.073406843337727e-5
Bacteroides (OTU 266)	38.7059109705668	2.721512091340898e-7	5	Kruskal-Wallis rank sum test	0	0	0	8.583164735454601e-4	0	0	4.073406843337727e-5
Lactobacillus (OTU 49)	35.688075224917355	1.0964999316638907e-6	5	Kruskal-Wallis rank sum test	0	0	3.678499172337686e-5	0.016737171234136473	0	0.0026800493969888857	1.2294505483781374e-4
Lachnospiraceae (OTU 263)	35.05263388937663	1.4686932593524659e-6	5	Kruskal-Wallis rank sum test	0	0	0	3.0654159769480714e-5	0.0010115872723928637	0	1.4637976151546245e-4
Bacteroides (OTU 39)	34.69076133447391	1.734308504070209e-6	5	Kruskal-Wallis rank sum test	3.0654159769480714e-5	0	0	0.02565753172705536	0	0	1.5556747281509777e-4
Parabacteroides (OTU 5)	34.19591883971209	2.1764432125955875e-6	5	Kruskal-Wallis rank sum test	1.532707988474036e-4	2.2990619827110538e-5	7.356998344675372e-5	0.07501072895591931	0.34862975905830423	0.0439055151212591	1.7747905106347655e-4
Lactobacillus (OTU 31)	33.85699904122722	2.5422809292740494e-6	5	Kruskal-Wallis rank sum test	0.00815400649868187	0.012070075409233032	0	2.452332781558457e-4	0	0.0021019995270501065	1.900354994632352e-4
Alistipes (OTU 21)	33.29350649350654	3.2906491213752878e-6	5	Kruskal-Wallis rank sum test	0	0.08163969100606952	0	0	0	8.670748049081689e-4	2.2705478937489485e-4
Bacteroidetes (OTU 59)	32.24700598802398	5.30822786084765e-6	5	Kruskal-Wallis rank sum test	0	0	0	0.021672490957022866	0	0.002417299456107622	3.34760078705482e-4
Lachnospiraceae (OTU 114)	31.400966183574905	7.80543494104695e-6	5	Kruskal-Wallis rank sum test	0	0	0	0.002513641101097419	0	0	3.34760078705482e-4
Alistipes (OTU 194)	31.39204545454548	7.837192478054762e-6	5	Kruskal-Wallis rank sum test	0	0	0	0.003341303414873398	0	0	3.34760078705482e-4
Romboutsia (OTU 212)	31.39204545454548	7.837192478054762e-6	5	Kruskal-Wallis rank sum test	0	0	0	0.007816810741217584	0	0	3.34760078705482e-4
