model_name	statistic	p.value	method	alternative	minimum	q1	median	mean	q3	maximum
otu_day0	20100	6.310368978411071e-35	Wilcoxon signed rank test with continuity correction	greater	0.5833333333333333	0.7222222222222223	0.7777777777777778	0.7927777777777778	0.8611111111111112	1
otu_day1	4892	1.5946565896041068e-17	Wilcoxon signed rank test with continuity correction	greater	0.3958333333333333	0.6041666666666666	0.6666666666666666	0.6802083333333333	0.7552083333333333	0.9166666666666666
otu_dayn1	4895	1.446326951680078e-17	Wilcoxon signed rank test with continuity correction	greater	0.39999999999999997	0.65	0.725	0.719	0.8	1
