dayn1_interp_otus
Clostridiales (OTU 356)
Coriobacteriaceae (OTU 293)
Dactylosporangium (OTU 3207)
Bacillus (OTU 636)
Ruminococcaceae (OTU 520)
Porphyromonadaceae (OTU 222)
Clostridium (OTU 154)
Porphyromonadaceae (OTU 608)
Porphyromonadaceae (OTU 87)
Burkholderiales (OTU 34)
Porphyromonadaceae (OTU 139)
Lachnospiraceae (OTU 397)
Enterococcus (OTU 23)
Enterobacteriaceae (OTU 1)
Betaproteobacteria (OTU 58)
Porphyromonadaceae (OTU 228)
Erysipelotrichaceae (OTU 189)
Lachnospiraceae (OTU 543)
Ruminococcaceae (OTU 467)
Desulfovibrio (OTU 3465)
