genus	statistic	p.value	parameter	method	-1	0	1	2	3	4	5	6	7	8	9	p.value.adj
Lactobacillales unclassified	53.00000000000024	7.44595318334869e-8	10	Kruskal-Wallis rank sum test	0	0	0	1.839249586168843e-4	0	0	0	0	0	0	0	6.180141142179413e-6
Peptostreptococcaceae unclassified	30.508253100980447	7.070628234991328e-4	10	Kruskal-Wallis rank sum test	0	0	0.024860523573048864	0.013610446937649439	0.026227699098767703	0.0013978296854883208	3.678499172337686e-4	0.015449696523818283	0.001103549751701306	6.130831953896143e-5	0	0.0206068550783107
Proteus	30.370695383496912	7.448260871678566e-4	10	Kruskal-Wallis rank sum test	9.656060327386426e-4	0.5392311936729814	0.268714364539268	0.26430016553246277	0.09839985286003311	0.0400588559867574	0.016430629636441665	0.027404818833915764	0.0038624241309545707	0.0018392495861688431	0.004860873906303372	0.0206068550783107
Parabacteroides	26.617282347282327	0.002992942587729435	10	Kruskal-Wallis rank sum test	0.34862975905830423	0.1092146404267059	0.37784317331861933	0.47507816810741216	0.18646312304579732	0.09556740849733308	0.16228312181963092	0.2637943718962663	0.23868861504506161	0.28637116056648887	0.3961218108725926	0.06210355869538578
Coriobacteriaceae unclassified	25.50112680151935	0.00447236909388839	10	Kruskal-Wallis rank sum test	5.057936361964318e-4	0	0	0	0	2.207099503402612e-4	2.1457911838636504e-4	1.3794371896266324e-4	1.3794371896266324e-4	0	3.15299929057516e-4	0.07424132695854728
Clostridium XlVa	24.671466925396523	0.006004264429074514	10	Kruskal-Wallis rank sum test	2.758874379253265e-4	2.942799337870149e-4	0.015449696523818283	0.013610446937649439	0.053411807982343205	0.026521979032554717	0.0037398074918766474	0.038854147507816815	0.005425786279198087	0.0073569983446753725	0.004729498935862739	0.08049107890796368
Clostridium XlVb	24.32269913285903	0.0067884042452499484	10	Kruskal-Wallis rank sum test	0.001747287106860401	3.678499172337686e-5	5.824290356201337e-4	0	0.013426521979032555	0.0012506897185948134	0.008429893936607197	0.0034485929740665808	0.0064373735515909514	0.0034945742137208018	0.0013400246984944428	0.08049107890796368
Clostridia unclassified	22.098593986306987	0.014610129915649564	10	Kruskal-Wallis rank sum test	0.0026209306602906013	0	2.452332781558457e-4	0	8.092698179142909e-4	0.0012874747103181902	6.130831953896144e-4	0.0017932683465146219	0.0038164428913003492	0.008031389859603949	0.001208649728053811	0.10652552168030761
Enterobacteriaceae unclassified	22.494502185410706	0.012774358691001743	10	Kruskal-Wallis rank sum test	4.598123965422108e-4	0.002170314511679235	0.001410091349396113	0	0.0037152841640610635	5.51774875850653e-4	6.743915149285758e-4	1.3794371896266324e-4	0	6.130831953896143e-5	5.254998817625266e-4	0.10652552168030761
Enterorhabdus	22.633411166637938	0.012183664336491902	10	Kruskal-Wallis rank sum test	6.207467353319846e-4	0	0	0	2.207099503402612e-4	3.678499172337686e-4	1.839249586168843e-4	1.3794371896266324e-4	1.839249586168843e-4	0	8.407998108200425e-4	0.10652552168030761
Lachnospiraceae unclassified	22.38490139490139	0.013259448593426005	10	Kruskal-Wallis rank sum test	0.3774829869413279	0.0680522346882472	0.07602231622831218	0.016737171234136473	0.14772852676108147	0.2013978296854883	0.38290110968058366	0.3752528968180982	0.4584329593525841	0.3617190852798725	0.34225807299193356	0.10652552168030761
Mucispirillum	21.942295927452182	0.01540128024293604	10	Kruskal-Wallis rank sum test	0.0342560235423947	0.016332536325179326	0.0035558825332597634	0	0.026669118999448224	0.051940408313408126	0.059407761633253633	0.020369689166819936	0.062396542210778005	0.04138311568879897	0.02561811923592317	0.10652552168030761
Enterococcus	21.680208600853284	0.01681925365911525	10	Kruskal-Wallis rank sum test	2.2990619827110538e-5	0.05510391760161854	0.019465391453620254	0.017840720985837777	0.011771197351480595	0.00503954386610263	0.0013487830298571516	0.007724848261909141	0.004874011403347435	4.904665563116914e-4	2.627499408812633e-4	0.10738446566973585
Lactobacillaceae unclassified	19.976923076922972	0.029471714067958503	10	Kruskal-Wallis rank sum test	0	0	0	0	7.356998344675372e-5	0	0	0	0	0	0	0.17472516197432542
Anaerostipes	19.505928617723757	0.03428771088606596	10	Kruskal-Wallis rank sum test	9.196247930844215e-5	0	0.0020844828643246886	0	0.015964686407945558	0.01125620746735332	0.002237753663172092	0.0027588743792532648	0.0030347618171785913	0.0020231745447857274	9.984497753488006e-4	0.1778675002214672
Pseudoflavonifractor	19.635179685377214	0.03289834435412256	10	Kruskal-Wallis rank sum test	0.0025749494206363803	3.678499172337686e-5	4.904665563116914e-4	0	0.001324259702041567	6.621298510207835e-4	0.001624670467782478	0.00767886702225492	0.0034485929740665808	0.0042915823677273	0.0029165243437820226	0.1778675002214672
Eisenbergiella	17.79947117293339	0.05844196856640967	10	Kruskal-Wallis rank sum test	0.00427625528784256	0	1.532707988474036e-4	0	0	0	1.532707988474036e-4	5.51774875850653e-4	0	3.6784991723376866e-4	0.0011823747339656848	0.2853343171183531
Clostridium sensu stricto	17.000000000000163	0.07436397981457674	10	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	6.130831953896143e-5	0	0.3421269511350324
Porphyromonadaceae unclassified	16.8253828853386	0.07831821772970621	10	Kruskal-Wallis rank sum test	5.057936361964318e-4	4.7820489240389924e-4	0	0	6.989148427441604e-4	4.7820489240389924e-4	2.1457911838636504e-4	2.299061982711054e-4	3.2186867757954754e-4	3.065415976948072e-4	2.627499408812633e-4	0.3421269511350324
Faecalibacterium	16.307692307692353	0.09115663535803244	10	Kruskal-Wallis rank sum test	0	0	0	0	0	0	6.130831953896143e-5	0	0	0	0	0.3783000367358346
Akkermansia	15.839780380720008	0.10431164698668516	10	Kruskal-Wallis rank sum test	0.07255839617436086	0.003494574213720802	0.06474158543314328	0.10023910244620195	0.18359389369137394	0.30741217583226044	0.08111090675004598	0.05292440684200846	0.09370976641530256	0.10085218564159154	0.08147875666727974	0.41227936666166043
Oscillibacter	15.304908651555774	0.12133453716018164	10	Kruskal-Wallis rank sum test	0.0038624241309545707	7.356998344675372e-5	0.0013181288700876708	0	0.011587272392863713	0.006952363435718227	0.014162221813500093	0.0084605480963766775	0.001747287106860401	0.019434737293850774	0.004046349089571455	0.45776211746795803
Prevotellaceae unclassified	13.766749999999904	0.18389917360030159	10	Kruskal-Wallis rank sum test	2.2990619827110538e-5	0	0	0	7.356998344675372e-5	0	0	0	0	6.130831953896143e-5	0	0.6233705824224252
Ruminococcaceae unclassified	13.985568410718578	0.17365089577287143	10	Kruskal-Wallis rank sum test	0.02223192937281589	0.012985102078352032	0.012813438783642939	0	0.017472871068604012	0.01806143093617804	0.027098277236220956	0.03149714916314144	0.01912819569615597	0.032248176077493716	0.029060143461467722	0.6233705824224252
Veillonellaceae unclassified	13.6868131868133	0.1877622236212124	10	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	0	5.254998817625266e-5	0.6233705824224252
Clostridium XVIII	13.439356922423901	0.2001332912076802	10	Kruskal-Wallis rank sum test	0.0014254184292808534	0.001361044693764944	0.004383544847035742	0.008828398013610447	0.014530071730733861	0.00423027404818834	0.0030041076574091104	0.0026669118999448228	7.816810741217583e-4	0.003739807491876648	0.002154549515226359	0.638887045009133
Anaerovorax	12.638461538461733	0.24459397733761595	10	Kruskal-Wallis rank sum test	0	0	0	0	0	3.678499172337686e-5	0	0	0	6.130831953896143e-5	0	0.7378425776977172
Betaproteobacteria unclassified	12.50000000000009	0.25298532330929274	10	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	4.5981239654221075e-5	0	0	0.7378425776977172
Unclassified	12.422083603026467	0.2578004187136602	10	Kruskal-Wallis rank sum test	0.006920176567960272	0.0030899393047636565	0.009962601925081234	0	0.0053706087916130215	0.009564097848077983	0.010269143522776041	0.012552878425602354	0.0017472871068604009	0.022868003188032615	0.011876297327833102	0.7378425776977172
Lactobacillus	12.200279853116834	0.2718761601971546	10	Kruskal-Wallis rank sum test	0.07688063270185765	0.16829133713444916	0.0766353994237018	0.08718043038440317	0.14004046349089572	0.17480228066948686	0.1787137514560726	0.05784439948501012	0.05324627551958801	0.013610446937649439	0.032002942799337866	0.7521907098787944
