family	statistic	p.value	method	Schloss	Young	Jackson	Charles River	Taconic	Envigo	p.value.adj	day
Betaproteobacteria Unclassified	38.54117647058825	2.937266427534004e-7	Kruskal-Wallis rank sum test	0	0	0	0	0	0.0025749494206363803	4.815880131246531e-6	-1
Burkholderiales Unclassified	38.53293413173654	2.9484980395386926e-7	Kruskal-Wallis rank sum test	0	0	0	0	0	0.0075409233032922565	4.815880131246531e-6	-1
Sutterellaceae	38.675	2.7607571712332344e-7	Kruskal-Wallis rank sum test	0	0	0.02299061982711054	6.437373551590951e-4	0	0	4.815880131246531e-6	-1
Deferribacteraceae	29.661819991154367	1.719005260786992e-5	Kruskal-Wallis rank sum test	0	0	3.678499172337686e-4	0.0013794371896266324	0.035773404450983995	0.0016553246275519589	2.1057814444640653e-4	-1
Bacteroidaceae	28.317774837078517	3.1545122064933916e-5	Kruskal-Wallis rank sum test	0.08129483170866286	0.021519220158175464	0.23156152289865733	0.4261541291153209	1.839249586168843e-4	0.01747287106860401	3.091421962363524e-4	-1
Erysipelotrichaceae	27.478609162015662	4.601600225802377e-5	Kruskal-Wallis rank sum test	0.01747287106860401	0.04294647783704249	0.04193489056464962	0.0015633621482435166	0.002299061982711054	3.678499172337686e-4	3.757973517738608e-4	-1
Peptostreptococcaceae	27.09287667071688	5.471526777798945e-5	Kruskal-Wallis rank sum test	0	0	0	0.005425786279198087	0	0	3.830068744459262e-4	-1
Rikenellaceae	26.556489840389418	6.958072338846986e-5	Kruskal-Wallis rank sum test	0.007081110906750046	0.13702409416957884	0	0.006437373551590951	0	0.0093801728894611	4.261819307543779e-4	-1
Desulfovibrionaceae	26.123492875410978	8.444689261542072e-5	Kruskal-Wallis rank sum test	0	0	0	0	0	0.0071730733860584876	4.597664153506239e-4	-1
Bacteroidetes Unclassified	25.844937586685127	9.56318793376354e-5	Kruskal-Wallis rank sum test	0	9.196247930844215e-5	0	0.01563362148243517	0	0.0084605480963766775	4.685962087544135e-4	-1
Anaeroplasmataceae	25.416511580467006	1.1576005427012694e-4	Kruskal-Wallis rank sum test	9.196247930844216e-4	7.356998344675372e-4	0.001103549751701306	0	0	0	5.15658423566929e-4	-1
Bifidobacteriaceae	24.64440301170426	1.631773577487892e-4	Kruskal-Wallis rank sum test	6.437373551590951e-4	0.005885598675740298	0	0	0	0	6.643609468000742e-4	-1
Rhodospirillaceae	24.470588235294088	1.7625902670206052e-4	Kruskal-Wallis rank sum test	0	0	0	5.51774875850653e-4	0	0	6.643609468000742e-4	-1
Clostridiaceae 1	22.82320776475108	3.648714761702796e-4	Kruskal-Wallis rank sum test	0	0	0	0.0038624241309545707	0	0	0.0012770501665959786	-1
Coriobacteriaceae	19.99588117048688	0.001251956654315203	Kruskal-Wallis rank sum test	0.0017472871068604009	0.002299061982711054	0.0016553246275519589	1.839249586168843e-4	0.001103549751701306	7.356998344675372e-4	0.004089725070762996	-1
Porphyromonadaceae	17.974825783972108	0.002978120899581301	Kruskal-Wallis rank sum test	0.6103549751701305	0.47756115504874014	0.3601250689718595	0.11026301269082214	0.36739010483722645	0.44620194960456133	0.009120495254967734	-1
Clostridia Unclassified	17.74915968374106	0.003277776710424205	Kruskal-Wallis rank sum test	4.598123965422108e-4	4.598123965422107e-4	0.0016553246275519589	5.51774875850653e-4	0.0016553246275519589	9.196247930844216e-4	0.009447709341810944	-1
Deltaproteobacteria Unclassified	14.88052415210693	0.010885226399138732	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.02963200519765544	-1
Enterococcaceae	14.41260944452421	0.013190359687079	Kruskal-Wallis rank sum test	0	0	1.839249586168843e-4	0	0	3.678499172337686e-4	0.034017243403519526	-1
Lachnospiraceae	13.593768679720666	0.01840654133315935	Kruskal-Wallis rank sum test	0.08295015633621483	0.14842744160382565	0.14272576788670222	0.19100606952363436	0.383943351112746	0.09085892955674085	0.04509602626624041	-1
Betaproteobacteria Unclassified	37.65862422997945	4.4184148567759325e-7	Kruskal-Wallis rank sum test	0	0	0	0	0	0.032094905278646314	9.499591942068255e-6	0
Burkholderiales Unclassified	37.65862422997945	4.4184148567759325e-7	Kruskal-Wallis rank sum test	0	0	0	0	0	0.004414199006805224	9.499591942068255e-6	0
