day	Young-Schloss	Jackson-Schloss	Jackson-Young	Charles River-Schloss	Charles River-Young	Charles River-Jackson	Taconic-Schloss	Taconic-Young	Taconic-Jackson	Taconic-Charles River	Envigo-Schloss	Envigo-Young	Envigo-Jackson	Envigo-Charles River	Envigo-Taconic	method	p.value.adj
0	0.07226107226107226	0.2839160839160839	0.5831091984938137	0.01893939393939394	0.01893939393939394	0.030594405594405592	0.05303030303030304	0.15540015540015542	0.303030303030303	0.5867346938775511	0.030594405594405592	0.11113886113886115	0.352980352980353	0.11113886113886115	0.6623376623376623	Kruskal-Wallis rank sum test	0.004061788406117559
1	0.9550893550893552	0.11655011655011656	0.23310023310023312	0.002331002331002331	0.002331002331002331	0.005827505827505828	0.08891108891108893	0.05827505827505827	0.012987012987012988	0.11079829261647443	0.03875291375291375	0.023310023310023312	0.005827505827505828	0.03163503163503164	0.912658769801627	Kruskal-Wallis rank sum test	5.147936855578805e-4
3	0.16183816183816185	0.3084415584415584	0.6216006216006216	0.00777000777000777	0.00777000777000777	0.00777000777000777	0.1370851370851371	0.07936507936507936	0.07936507936507936	0.303030303030303	0.3402366863905325	0.10139860139860139	0.10139860139860139	0.03496503496503497	0.5681818181818182	Kruskal-Wallis rank sum test	0.0018047946402755775
4	0.9550893550893552	0.19886363636363638	0.19886363636363638	0.004662004662004662	0.05536130536130536	0.008741258741258742	0.9550893550893552	0.7371794871794872	0.20923520923520925	0.19886363636363638	0.4577240940877305	0.4577240940877305	0.10489510489510488	0.06555944055944055	0.662878787878788	Kruskal-Wallis rank sum test	0.006052054252395107
5	0.3482905982905982	0.014763014763014764	0.003108003108003108	0.003108003108003108	0.03875291375291375	0.003108003108003108	0.21278721278721283	0.3980634749865519	0.013986013986013986	0.24702570157115614	0.017125731411445695	0.07104007104007104	0.004370629370629371	0.44312830027115746	0.6991341991341992	Kruskal-Wallis rank sum test	5.147936855578805e-4
6	0.9333333333333333	0.12027972027972028	0.18210955710955712	0.004662004662004662	0.026223776223776224	0.004662004662004662	0.9333333333333333	0.9333333333333333	0.3838383838383838	0.3068181818181818	0.9333333333333333	0.9333333333333333	0.20854145854145856	0.005827505827505828	0.9333333333333333	Kruskal-Wallis rank sum test	0.005826494389048543
9	0.126931891637774	0.07326007326007326	0.5296521660158022	0.0011655011655011655	0.0011655011655011655	0.0024975024975024975	0.284965034965035	0.8968531468531469	0.7852564102564102	0.001554001554001554	0.3864283864283865	0.9181818181818182	0.5296521660158022	0.017715617715617714	0.8968531468531469	Kruskal-Wallis rank sum test	0.0018010253611415845
