family	statistic	p.value	parameter	method	Schloss	Young	Jackson	Charles River	Taconic	Envigo	p.value.adj
Burkholderiales Unclassified	43.5993377483444	2.7931202024913074e-8	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0.018839170761186578	4.3877623303285605e-7
Deltaproteobacteria Unclassified	43.6065573770492	2.7837160883836123e-8	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0.004782048924038993	4.3877623303285605e-7
Sutterellaceae	43.500440442399935	2.925174886885707e-8	5	Kruskal-Wallis rank sum test	0	0	0.02357304886273067	0.003954386610263013	0	0	4.3877623303285605e-7
Betaproteobacteria Unclassified	39.25046609182013	2.1145045460380602e-7	5	Kruskal-Wallis rank sum test	2.2990619827110538e-5	0	0	0	0	0.007829948238261646	2.3788176142928177e-6
Bifidobacteriaceae	34.45247607157719	1.934777335761131e-6	5	Kruskal-Wallis rank sum test	0.0062534485929740665	0.0014918357754480616	0	0	0	0	1.7412996021850177e-5
Deferribacteraceae	33.57039810917628	2.8989338444079703e-6	5	Kruskal-Wallis rank sum test	0	1.2261663907792289e-4	3.0654159769480714e-5	0.02563454110722825	0.02561811923592317	0.01668462124596022	2.1742003833059778e-5
Rikenellaceae	31.376663385715418	7.892254005959522e-6	5	Kruskal-Wallis rank sum test	4.5981239654221075e-5	0.1122555330758384	3.0654159769480714e-5	0.03289957697259518	2.627499408812633e-5	0.035707716965763685	5.073591860973978e-5
Desulfovibrionaceae	27.936274485796233	3.7457796597217095e-5	5	Kruskal-Wallis rank sum test	0	6.130831953896143e-5	0	0.004874011403347435	0	0.006358548569326572	2.1070010585934616e-4
Verrucomicrobiaceae	27.031458477110647	5.624342503121345e-5	5	Kruskal-Wallis rank sum test	0.021933051315063453	0.17323687491059203	0.2259211575010729	0.015035865366930292	0.08147875666727974	0.23045797314695604	2.8121712515606726e-4
Bacteroidaceae	25.545909859822974	1.0927473953426899e-4	5	Kruskal-Wallis rank sum test	0.16661302188707008	0.1518402713914945	0.3339157623689535	0.281405186683833	4.7294989358627395e-4	0.015239496571113271	4.917363279042104e-4
Porphyromonadaceae	24.003063727413007	2.1681881910024515e-4	5	Kruskal-Wallis rank sum test	0.2854975170130587	0.19167024298530644	2.758874379253265e-4	0.2155140702593342	0.39643711080165006	0.37129194145931316	8.869860781373665e-4
Enterococcaceae	23.244737455747984	3.030690587268329e-4	5	Kruskal-Wallis rank sum test	0	0	0	0	2.627499408812633e-4	0.0022596494915788643	0.0011116235556727764
Erysipelotrichaceae	23.113321072623787	3.2113569386102425e-4	5	Kruskal-Wallis rank sum test	0.046257127092146404	0.03226861218400671	0.05349150879774385	0.005011955122310097	0.02900759347329147	0.0021019995270501065	0.0011116235556727764
Unclassified	21.999097397211283	5.238052181789919e-4	5	Kruskal-Wallis rank sum test	0.010299797682545521	0.0019414301187337787	5.824290356201337e-4	0.006322420452455398	0.011876297327833102	8.145248167319162e-4	0.0016836596298610456
Clostridiaceae 1	17.55533743298644	0.0035585586930421795	5	Kruskal-Wallis rank sum test	0	0	0.0015940163080129975	1.6093433878977377e-4	0	2.627499408812633e-5	0.010675676079126539
