otu	statistic	p.value	method	alternative	colonized	not_detectable	p.value.adj
Ruminococcaceae (OTU 60)	142.5	0.19176739819872374	Wilcoxon rank sum test with continuity correction	two.sided	4.32764608510316e-5	0	0.49459214835603094
Ruminococcaceae (OTU 63)	135	0.3806419965289062	Wilcoxon rank sum test with continuity correction	two.sided	1.08191152127579e-5	0	0.49459214835603094
Acetatifactor (OTU 70)	142.5	0.19176739819872374	Wilcoxon rank sum test with continuity correction	two.sided	2.16382304255158e-5	0	0.49459214835603094
Lachnospiraceae (OTU 72)	135	0.3806419965289062	Wilcoxon rank sum test with continuity correction	two.sided	1.08191152127579e-5	0	0.49459214835603094
Lachnospiraceae (OTU 73)	143	0.3243139359897374	Wilcoxon rank sum test with continuity correction	two.sided	2.9211611074446333e-4	1.2261663907792286e-5	0.49459214835603094
Bacteria (OTU 75)	103	0.15154002088848043	Wilcoxon rank sum test with continuity correction	two.sided	0.0050958032652089705	1.4713996689350744e-4	0.49459214835603094
Lachnospiraceae (OTU 78)	142.5	0.1919987161400521	Wilcoxon rank sum test with continuity correction	two.sided	4.32764608510316e-5	0	0.49459214835603094
Porphyromonadaceae (OTU 81)	119	0.31636346001862237	Wilcoxon rank sum test with continuity correction	two.sided	0	1.2261663907792286e-5	0.49459214835603094
Lachnospiraceae (OTU 82)	110.5	0.13763754938231637	Wilcoxon rank sum test with continuity correction	two.sided	0	3.678499172337686e-5	0.49459214835603094
Lachnospiraceae (OTU 83)	135	0.3806419965289062	Wilcoxon rank sum test with continuity correction	two.sided	1.08191152127579e-5	0	0.49459214835603094
Ruminococcaceae (OTU 84)	135	0.3806419965289062	Wilcoxon rank sum test with continuity correction	two.sided	1.08191152127579e-5	0	0.49459214835603094
Porphyromonadaceae (OTU 87)	119	0.31636346001862237	Wilcoxon rank sum test with continuity correction	two.sided	0	1.2261663907792286e-5	0.49459214835603094
Porphyromonadaceae (OTU 88)	150	0.10050574158579234	Wilcoxon rank sum test with continuity correction	two.sided	2.16382304255158e-4	0	0.49459214835603094
Lachnospiraceae (OTU 91)	135	0.3806419965289062	Wilcoxon rank sum test with continuity correction	two.sided	2.16382304255158e-5	0	0.49459214835603094
Lachnospiraceae (OTU 97)	135	0.3806419965289062	Wilcoxon rank sum test with continuity correction	two.sided	1.08191152127579e-5	0	0.49459214835603094
Lachnospiraceae (OTU 98)	119	0.31636346001862237	Wilcoxon rank sum test with continuity correction	two.sided	0	4.9046655631169145e-5	0.49459214835603094
Clostridium (OTU 99)	82	0.06074938728190463	Wilcoxon rank sum test with continuity correction	two.sided	5.301366454251371e-4	0.0016308012997363743	0.49459214835603094
