key	value	rank	sign
Otu038	2.574071201872469	1	positive
Otu011	-2.5309154893784473	2	negative
Otu007	2.3704559083106296	3	positive
Otu055	-1.9608481259151298	4	negative
Otu014	-1.5871364919406672	5	negative
Otu009	1.3038800275748108	6	positive
Otu002	-1.2960536671135712	7	negative
Otu010	1.2533762940592719	8	positive
Otu006	1.1013105508399474	9	positive
Otu022	-1.0597377537386532	10	negative
Otu061	-1.0597377537386532	11	negative
Otu016	0.9870552804465156	12	positive
Otu026	0.9568402732433543	13	positive
Otu023	0.9450517345070232	14	positive
Otu004	0.9051979096927253	15	positive
Otu015	0.8618864812411897	16	positive
Otu005	0.8501682036858197	17	positive
Otu020	-0.7911683670587036	18	negative
Otu021	-0.7911683670587036	19	negative
Otu031	-0.7911683670587036	20	negative
Otu040	0.7744380173283687	21	positive
Otu045	0.7744380173283687	22	positive
Otu062	-0.74869205937777	23	negative
Otu033	0.7390561361597059	24	positive
Otu037	-0.6948328663841822	25	negative
Otu018	0.6438466718526811	26	positive
Otu025	0.5566026842468766	27	positive
Otu024	0.5357028146655655	28	positive
Otu008	0.5213305672242234	29	positive
Otu001	-0.5019257607994958	30	negative
Otu030	0.4327622600470996	31	positive
Otu017	0.3188512061098515	32	positive
Otu034	-0.23223423953540753	33	negative
Otu013	-0.22561005217758923	34	negative
Otu019	0.1858498974937745	35	positive
Otu029	0.1714180752329441	36	positive
Otu003	-0.13332722290393664	37	negative
Otu012	0.08590469178189103	38	positive
Otu032	-0.046745542262968814	39	negative
Otu027	-0.01536869754085042	40	negative
Otu028	0	41	zero
Otu035	0	42	zero
Otu036	0	43	zero
Otu039	0	44	zero
Otu041	0	45	zero
Otu042	0	46	zero
Otu043	0	47	zero
Otu044	0	48	zero
Otu046	0	49	zero
Otu047	0	50	zero
Otu048	0	51	zero
Otu049	0	52	zero
Otu050	0	53	zero
Otu051	0	54	zero
Otu052	0	55	zero
Otu053	0	56	zero
Otu054	0	57	zero
Otu056	0	58	zero
Otu058	0	59	zero
Otu060	0	60	zero
Otu063	0	61	zero
Otu065	0	62	zero
Otu066	0	63	zero
Otu068	0	64	zero
Otu069	0	65	zero
Otu070	0	66	zero
Otu071	0	67	zero
Otu073	0	68	zero
Otu074	0	69	zero
Otu075	0	70	zero
Otu076	0	71	zero
Otu079	0	72	zero
Otu080	0	73	zero
Otu082	0	74	zero
Otu083	0	75	zero
Otu084	0	76	zero
Otu085	0	77	zero
Otu087	0	78	zero
Otu088	0	79	zero
Otu091	0	80	zero
Otu095	0	81	zero
Otu097	0	82	zero
Otu102	0	83	zero
Otu105	0	84	zero
Otu106	0	85	zero
Otu112	0	86	zero
Otu113	0	87	zero
Otu015	3.228208836453891	1	positive
Otu038	2.380876137176907	2	positive
Otu009	2.047399548765451	3	positive
Otu023	1.8912324674463525	4	positive
Otu055	-1.8857606401653497	5	negative
Otu019	-1.7176386567675606	6	negative
Otu030	-1.6933238239175388	7	negative
Otu031	-1.4287224854069323	8	negative
Otu011	-1.2951820057589878	9	negative
Otu027	1.2510996229284725	10	positive
