key	value	rank	sign
Otu034	-0.2727384797110044	22	negative
Otu041	-0.2727384797110044	23	negative
Otu027	-0.24823358513482355	24	negative
Otu032	0.2162744952871576	25	positive
Otu038	0.2162744952871576	26	positive
Otu021	-0.21454925819908968	27	negative
Otu016	-0.18104584884699743	28	negative
Otu015	-0.16899243064429703	29	negative
Otu007	-0.14331128500334644	30	negative
Otu018	0.1352380429401786	31	positive
Otu019	0.13009429397150613	32	positive
Otu006	0.10597310403931871	33	positive
Otu001	-0.10447941816544079	34	negative
Otu017	-0.077759937623189	35	negative
Otu003	0.07542620517804101	36	positive
Otu023	-0.07431473359901944	37	negative
Otu011	-0.04639176755524629	38	negative
Otu005	0.0320953312922163	39	positive
Otu026	0.015445819597960233	40	positive
Otu037	0.010797217256792427	41	positive
Otu022	-2.230299335783354e-4	42	negative
Otu031	0	43	zero
Otu035	0	44	zero
Otu039	0	45	zero
Otu040	0	46	zero
Otu042	0	47	zero
Otu043	0	48	zero
Otu044	0	49	zero
Otu045	0	50	zero
Otu046	0	51	zero
Otu047	0	52	zero
Otu048	0	53	zero
Otu049	0	54	zero
Otu050	0	55	zero
Otu051	0	56	zero
Otu052	0	57	zero
Otu053	0	58	zero
Otu055	0	59	zero
Otu056	0	60	zero
Otu058	0	61	zero
Otu060	0	62	zero
Otu061	0	63	zero
Otu062	0	64	zero
Otu063	0	65	zero
Otu065	0	66	zero
Otu068	0	67	zero
Otu070	0	68	zero
Otu071	0	69	zero
Otu073	0	70	zero
Otu074	0	71	zero
Otu079	0	72	zero
Otu080	0	73	zero
Otu082	0	74	zero
Otu083	0	75	zero
Otu084	0	76	zero
Otu085	0	77	zero
Otu087	0	78	zero
Otu088	0	79	zero
Otu091	0	80	zero
Otu095	0	81	zero
Otu097	0	82	zero
Otu102	0	83	zero
Otu105	0	84	zero
Otu106	0	85	zero
Otu112	0	86	zero
Otu113	0	87	zero
Otu026	-2.018406638908307	1	negative
Otu029	-1.9180378000499139	2	negative
Otu014	-1.7596635462300045	3	negative
Otu020	1.5568425165495465	4	positive
Otu016	-1.5427142938380007	5	negative
Otu008	1.4276166836323874	6	positive
Otu005	1.253212467728568	7	positive
Otu002	1.2526083333850435	8	positive
Otu033	1.2133104671256782	9	positive
Otu069	1.2133104671256782	10	positive
Otu004	1.2009799102130643	11	positive
Otu087	1.1411401808734358	12	positive
Otu003	-1.12582405737065	13	negative
Otu023	1.051627773747016	14	positive
Otu013	0.9670773385547649	15	positive
Otu010	-0.8986839666081322	16	negative
Otu021	-0.7822867720171468	17	negative
Otu024	-0.7471061595164906	18	negative
Otu019	-0.6768895851089615	19	negative
Otu034	0.6417944310488827	20	positive
Otu085	0.6417944310488827	21	positive
Otu030	-0.6375092621291334	22	negative
Otu075	0.6354638270824757	23	positive
Otu025	0.6348653797791927	24	positive
Otu028	0.6198714730314219	25	positive
Otu015	-0.5995795813944308	26	negative
Otu009	-0.579894051718162	27	negative
Otu012	0.5498021504548136	28	positive
Otu037	0.495931846839413	29	positive
Otu007	0.45943904150908216	30	positive
Otu036	0.3732885917735991	31	positive
Otu018	-0.36877626655841766	32	negative
Otu032	-0.33243849207731896	33	negative
Otu038	-0.33243849207731896	34	negative
Otu054	-0.26422067035553426	35	negative
Otu022	0.21741136882687048	36	positive
Otu017	0.21229619367794075	37	positive
Otu006	-0.1662487302015352	38	negative
Otu027	0.0926904866872126	39	positive
Otu011	0.01367347730952252	40	positive
Otu001	0.0070146734173085245	41	positive
Otu031	0	42	zero
Otu035	0	43	zero
Otu039	0	44	zero
Otu040	0	45	zero
Otu041	0	46	zero
Otu042	0	47	zero
Otu043	0	48	zero
Otu044	0	49	zero
Otu045	0	50	zero
Otu046	0	51	zero
Otu047	0	52	zero
Otu048	0	53	zero
Otu049	0	54	zero
Otu050	0	55	zero
Otu051	0	56	zero
Otu052	0	57	zero
Otu053	0	58	zero
Otu055	0	59	zero
Otu056	0	60	zero
Otu058	0	61	zero
Otu060	0	62	zero
Otu061	0	63	zero
Otu062	0	64	zero
Otu063	0	65	zero
Otu065	0	66	zero
Otu066	0	67	zero
Otu068	0	68	zero
Otu070	0	69	zero
Otu071	0	70	zero
Otu073	0	71	zero
Otu074	0	72	zero
Otu076	0	73	zero
Otu079	0	74	zero
Otu080	0	75	zero
Otu082	0	76	zero
Otu083	0	77	zero
Otu084	0	78	zero
Otu088	0	79	zero
Otu091	0	80	zero
Otu095	0	81	zero
Otu097	0	82	zero
Otu102	0	83	zero
Otu105	0	84	zero
Otu106	0	85	zero
Otu112	0	86	zero
Otu113	0	87	zero
Otu020	-0.5446836664903824	1	negative
Otu029	0.4931826046757674	2	positive
Otu034	-0.4379505517606254	3	negative
Otu028	0.431316746234549	4	positive
Otu036	0.3988290917373957	5	positive
Otu018	0.3872912443281808	6	positive
Otu022	0.3660484299274296	7	positive
Otu051	0.3660484299274296	8	positive
Otu015	0.3457736173348002	9	positive
Otu016	-0.3424304453730241	10	negative
Otu012	-0.3227826318680267	11	negative
Otu030	0.32135811631671285	12	positive
Otu054	0.32135811631671285	13	positive
Otu025	-0.3108564998925562	14	negative
Otu033	-0.29965575958456075	15	negative
Otu069	-0.29965575958456075	16	negative
Otu026	0.2974601559937277	17	positive
Otu004	-0.2959578344360437	18	negative
Otu066	-0.28393057854023235	19	negative
Otu087	-0.2666887407261097	20	negative
Otu037	-0.26049786544935893	21	negative
Otu041	-0.2541537711538067	22	negative
Otu017	-0.2515127846223752	23	negative
Otu010	0.2465034123030483	24	positive
Otu006	0.23496270835455674	25	positive
Otu039	-0.22495439175633494	26	negative
Otu013	-0.22292687907267847	27	negative
Otu001	-0.1973018986298938	28	negative
Otu011	-0.1924599478308897	29	negative
Otu040	-0.19175271210635064	30	negative
