key	value	rank	sign
Otu002	-0.16442891064156234	1	negative
Otu034	-0.08652093348702886	2	negative
Otu037	-0.08652093348702886	3	negative
Otu014	0.0713715725081256	4	positive
Otu046	-0.06840973971082152	5	negative
Otu060	-0.06569401437933647	6	negative
Otu001	0.062064614598789584	7	positive
Otu003	0.05132833395542067	8	positive
Otu016	0.05046832830233876	9	positive
Otu006	0.04802558102016331	10	positive
Otu040	-0.047045100569751544	11	negative
Otu048	0.0470154116379279	12	positive
Otu052	0.0470154116379279	13	positive
Otu050	0.046691250905761414	14	positive
Otu058	0.04617694655891899	15	positive
Otu017	0.043389499561591376	16	positive
Otu039	-0.04272927828213995	17	negative
Otu013	0.042282412922737364	18	positive
Otu028	-0.03279617411805373	19	negative
Otu038	0.03078463103927933	20	positive
Otu026	0.029309017528690393	21	positive
Otu005	0.028364445268181326	22	positive
Otu009	0.019589754849136626	23	positive
Otu030	0.01880616465517116	24	positive
Otu029	-0.01847455056067234	25	negative
Otu011	-0.01740043601173178	26	negative
Otu008	-0.015942007025088974	27	negative
Otu018	0.0156718038793093	28	positive
Otu022	-0.012167399953943258	29	negative
Otu012	0.004718856702505616	30	positive
Otu007	0.0031229467086754583	31	positive
Otu004	0.002471502197488605	32	positive
Otu047	-0.002173950260715141	33	negative
Otu024	0.0019512273324098078	34	positive
Otu041	0.00122961382914805	35	positive
Otu010	8.758274303898307e-4	36	positive
Otu019	1.0070812666849274e-4	37	positive
Otu015	0	38	zero
Otu020	0	39	zero
Otu021	0	40	zero
Otu023	0	41	zero
Otu025	0	42	zero
Otu027	0	43	zero
Otu031	0	44	zero
Otu032	0	45	zero
Otu033	0	46	zero
Otu035	0	47	zero
Otu036	0	48	zero
Otu042	0	49	zero
Otu043	0	50	zero
Otu044	0	51	zero
Otu045	0	52	zero
Otu049	0	53	zero
Otu051	0	54	zero
Otu053	0	55	zero
Otu054	0	56	zero
Otu055	0	57	zero
Otu056	0	58	zero
Otu061	0	59	zero
Otu062	0	60	zero
Otu063	0	61	zero
Otu065	0	62	zero
Otu066	0	63	zero
Otu068	0	64	zero
Otu069	0	65	zero
Otu070	0	66	zero
Otu071	0	67	zero
Otu073	0	68	zero
Otu074	0	69	zero
Otu075	0	70	zero
Otu076	0	71	zero
Otu079	0	72	zero
Otu080	0	73	zero
Otu082	0	74	zero
Otu083	0	75	zero
Otu084	0	76	zero
Otu085	0	77	zero
Otu087	0	78	zero
Otu088	0	79	zero
Otu091	0	80	zero
Otu095	0	81	zero
Otu097	0	82	zero
Otu102	0	83	zero
Otu105	0	84	zero
Otu106	0	85	zero
Otu112	0	86	zero
Otu113	0	87	zero
Otu002	-0.6253918628398775	1	negative
Otu008	-0.5417050542516395	2	negative
Otu005	0.4840109657793943	3	positive
Otu038	0.4581723482450347	4	positive
Otu054	0.42341317658464	5	positive
Otu055	-0.39038557291890197	6	negative
Otu019	-0.38323246255857635	7	negative
Otu022	0.34441269089143495	8	positive
Otu010	-0.33505709876638273	9	negative
Otu026	0.3290194908363095	10	positive
Otu047	-0.31670873405814004	11	negative
Otu024	-0.3071647303993568	12	negative
Otu009	0.2909725367739411	13	positive
Otu030	0.2863620343014221	14	positive
Otu048	0.27663014835113886	15	positive
Otu052	0.27663014835113886	16	positive
Otu007	0.276423095988905	17	positive
Otu018	0.2679200244113461	18	positive
Otu058	0.2406472192735808	19	positive
Otu013	0.238744582248201	20	positive
Otu016	0.22671909197315773	21	positive
Otu073	-0.2222837273444764	22	negative
Otu028	-0.19179945665482906	23	negative
Otu025	0.17570997496096652	24	positive
Otu071	0.17570997496096652	25	positive
Otu012	0.1682160740018158	26	positive
Otu004	0.14643765563239808	27	positive
Otu015	-0.12837229947886997	28	negative
Otu014	0.12354679293023235	29	positive
Otu003	0.11408556579776542	30	positive
Otu017	0.09144776075239469	31	positive
Otu011	-0.09050709892003629	32	negative
Otu041	-0.0710521099306087	33	negative
Otu029	-0.06777218390871938	34	negative
Otu021	0.038296278148029994	35	positive
Otu006	0.0338473233783677	36	positive
Otu001	-0.015391792582328168	37	negative
Otu020	0	38	zero
Otu023	0	39	zero
Otu027	0	40	zero
Otu031	0	41	zero
Otu032	0	42	zero
Otu033	0	43	zero
Otu034	0	44	zero
Otu035	0	45	zero
Otu036	0	46	zero
Otu037	0	47	zero
Otu039	0	48	zero
Otu040	0	49	zero
Otu042	0	50	zero
Otu043	0	51	zero
Otu044	0	52	zero
Otu045	0	53	zero
Otu046	0	54	zero
Otu049	0	55	zero
Otu050	0	56	zero
Otu051	0	57	zero
Otu053	0	58	zero
Otu056	0	59	zero
Otu060	0	60	zero
Otu061	0	61	zero
Otu062	0	62	zero
Otu063	0	63	zero
Otu065	0	64	zero
Otu066	0	65	zero
Otu068	0	66	zero
Otu069	0	67	zero
Otu070	0	68	zero
Otu074	0	69	zero
Otu075	0	70	zero
Otu076	0	71	zero
Otu079	0	72	zero
Otu080	0	73	zero
Otu082	0	74	zero
Otu083	0	75	zero
Otu084	0	76	zero
Otu085	0	77	zero
Otu087	0	78	zero
Otu088	0	79	zero
Otu091	0	80	zero
Otu095	0	81	zero
Otu097	0	82	zero
Otu102	0	83	zero
Otu105	0	84	zero
Otu106	0	85	zero
Otu112	0	86	zero
Otu113	0	87	zero
Otu014	0.6903777193606883	1	positive
Otu008	-0.5139258911373205	2	negative
Otu038	0.4400574173948496	3	positive
Otu015	0.40427779761190175	4	positive
Otu039	-0.38238967966857396	5	negative
Otu003	0.3783121452896564	6	positive
Otu002	-0.3719203020058771	7	negative
Otu055	-0.35446996296839123	8	negative
Otu021	0.3525732086991084	9	positive
Otu054	0.3525732086991084	10	positive
Otu016	0.32750599844188716	11	positive
Otu034	-0.32094162469856363	12	negative
Otu037	-0.32094162469856363	13	negative
Otu048	0.310390849973532	14	positive
Otu052	0.310390849973532	15	positive
Otu022	-0.30109163573193976	16	negative
Otu058	0.3010070726836076	17	positive
Otu024	-0.29900731530229835	18	negative
Otu046	-0.26298648380182754	19	negative
Otu011	-0.23749561131086006	20	negative
Otu012	0.23357612104798323	21	positive
Otu060	-0.23342522137913937	22	negative
Otu007	0.19668914158940826	23	positive
Otu010	-0.1577616346287288	24	negative
Otu009	0.129329520822305	25	positive
Otu030	0.1241563399894128	26	positive
Otu029	-0.11843747432902865	27	negative
Otu001	0.11384554533722512	28	positive
Otu018	0.103463616657844	29	positive
Otu026	0.06664822487506782	30	positive
Otu013	0.05652562974885757	31	positive
Otu028	0.05016784544726793	32	positive
Otu041	-0.041775179585332126	33	negative
Otu005	0.040922427981895035	34	positive
Otu006	0.040361676925367185	35	positive
Otu004	0.03203035498103295	36	positive
Otu017	-0.028201123824045066	37	negative
Otu019	0.0022181418379592253	38	positive
Otu020	0	39	zero
Otu023	0	40	zero
Otu025	0	41	zero
Otu027	0	42	zero
Otu031	0	43	zero
Otu032	0	44	zero
Otu033	0	45	zero
Otu035	0	46	zero
Otu036	0	47	zero
Otu040	0	48	zero
Otu042	0	49	zero
Otu043	0	50	zero
Otu044	0	51	zero
Otu045	0	52	zero
Otu047	0	53	zero
Otu049	0	54	zero
Otu050	0	55	zero
Otu051	0	56	zero
Otu053	0	57	zero
Otu056	0	58	zero
Otu061	0	59	zero
Otu062	0	60	zero
Otu063	0	61	zero
Otu065	0	62	zero
Otu066	0	63	zero
Otu068	0	64	zero
Otu069	0	65	zero
Otu070	0	66	zero
Otu071	0	67	zero
Otu073	0	68	zero
Otu074	0	69	zero
Otu075	0	70	zero
Otu076	0	71	zero
Otu079	0	72	zero
Otu080	0	73	zero
Otu082	0	74	zero
Otu083	0	75	zero
Otu084	0	76	zero
Otu085	0	77	zero
Otu087	0	78	zero
Otu088	0	79	zero
Otu091	0	80	zero
Otu095	0	81	zero
Otu097	0	82	zero
Otu102	0	83	zero
Otu105	0	84	zero
Otu106	0	85	zero
Otu112	0	86	zero
Otu113	0	87	zero
Otu002	-0.7720097421482032	1	negative
Otu001	0.4498971983647603	2	positive
Otu019	-0.43722644087163437	3	negative
Otu034	-0.3972229114076031	4	negative
Otu029	-0.3938769383093826	5	negative
Otu073	-0.38949993862076526	6	negative
Otu046	-0.3856070675727246	7	negative
Otu055	-0.3427654554568246	8	negative
Otu050	0.3380180797268178	9	positive
Otu026	0.3297990429327542	10	positive
Otu038	0.31811726336770346	11	positive
Otu006	0.3174840451802954	12	positive
Otu028	-0.3076187294009738	13	negative
Otu009	0.3020267757076442	14	positive
Otu030	0.29757934606508407	15	positive
Otu040	-0.29720614280516333	16	negative
Otu011	-0.2832389177150509	17	negative
Otu018	0.2797896274948439	18	positive
Otu048	0.2668457785536033	19	positive
Otu052	0.2668457785536033	20	positive
Otu022	0.26551569002714676	21	positive
Otu025	0.1908410346436428	22	positive
Otu071	0.1908410346436428	23	positive
Otu008	-0.18900590748395352	24	negative
Otu017	0.18893063007862665	25	positive
Otu039	-0.17680184953512262	26	negative
Otu015	0.1419890662959577	27	positive
Otu004	0.14024827952362473	28	positive
Otu007	0.1352226065923613	29	positive
Otu003	0.12866816043356272	30	positive
Otu024	-0.12424583306907477	31	negative
Otu012	0.12165511893800672	32	positive
Otu014	0.07492661889739098	33	positive
Otu005	-0.06458024917008266	34	negative
Otu047	-0.04989867097756581	35	negative
Otu037	0.03859870074554221	36	positive
Otu041	-0.02426944166926231	37	negative
Otu013	-0.023831248965974154	38	negative
Otu016	0.016572850671546638	39	positive
Otu010	-0.015998489032782944	40	negative
Otu021	-0.009854413265272062	41	negative
Otu020	0	42	zero
Otu023	0	43	zero
Otu027	0	44	zero
Otu031	0	45	zero
Otu032	0	46	zero
Otu033	0	47	zero
Otu035	0	48	zero
Otu036	0	49	zero
Otu042	0	50	zero
Otu043	0	51	zero
Otu044	0	52	zero
Otu045	0	53	zero
Otu049	0	54	zero
Otu051	0	55	zero
Otu053	0	56	zero
Otu054	0	57	zero
Otu056	0	58	zero
Otu058	0	59	zero
Otu060	0	60	zero
Otu061	0	61	zero
Otu062	0	62	zero
Otu063	0	63	zero
Otu065	0	64	zero
Otu066	0	65	zero
Otu068	0	66	zero
Otu069	0	67	zero
Otu070	0	68	zero
Otu074	0	69	zero
Otu075	0	70	zero
