cost,loss,epsilon,ROC,Sens,Spec,ROCSD,SensSD,SpecSD,model
1e-6,L2_primal,0.01,0.6948888888888889,0.7446666666666667,0.5233333333333333,0.23891423539756493,0.28707866806268734,0.29128589516697206,L2_Logistic_Regression
1e-5,L2_primal,0.01,0.6948888888888889,0.7446666666666667,0.5233333333333333,0.23891423539756493,0.28707866806268734,0.29128589516697206,L2_Logistic_Regression
1e-4,L2_primal,0.01,0.6948888888888889,0.7446666666666667,0.5233333333333333,0.23891423539756493,0.28707866806268734,0.29128589516697206,L2_Logistic_Regression
0.001,L2_primal,0.01,0.6948888888888889,0.7446666666666667,0.5233333333333333,0.23891423539756493,0.28707866806268734,0.29128589516697206,L2_Logistic_Regression
0.0025,L2_primal,0.01,0.6952222222222222,0.7483333333333333,0.522,0.2388098029234557,0.28380839579222356,0.29062467752093263,L2_Logistic_Regression
0.005,L2_primal,0.01,0.6963888888888888,0.7526666666666667,0.5213333333333333,0.2384564641948539,0.2824243740439345,0.2899074246236651,L2_Logistic_Regression
0.01,L2_primal,0.01,0.6980555555555555,0.7536666666666667,0.522,0.2389293734110805,0.28063352796967805,0.28831700927993253,L2_Logistic_Regression
0.05,L2_primal,0.01,0.7026111111111111,0.7743333333333333,0.509,0.23318862744719532,0.26318937746027476,0.28814840525560287,L2_Logistic_Regression
0.1,L2_primal,0.01,0.7016666666666667,0.7863333333333333,0.5076666666666666,0.2319733510921305,0.253591218106405,0.2856648929854542,L2_Logistic_Regression
0.25,L2_primal,0.01,0.7007777777777777,0.8013333333333333,0.512,0.2352360367239712,0.2446906717213238,0.2830677760586618,L2_Logistic_Regression
0.5,L2_primal,0.01,0.6941666666666667,0.8186666666666667,0.518,0.23479830718729058,0.236660127676937,0.28097153078797465,L2_Logistic_Regression
1,L2_primal,0.01,0.6925,0.8286666666666667,0.53,0.23724073888821942,0.2318456246648648,0.2831063179503695,L2_Logistic_Regression
10,L2_primal,0.01,0.6767777777777778,0.841,0.5439999999999999,0.2401082219280768,0.228500138984467,0.2836320088691199,L2_Logistic_Regression
1e-6,L2_primal,0.01,0.7650555555555556,0.86,0.5476666666666666,0.2041927583804739,0.2232330605712275,0.2878159296356569,L2_Logistic_Regression
1e-5,L2_primal,0.01,0.7650555555555556,0.86,0.5476666666666666,0.2041927583804739,0.2232330605712275,0.2878159296356569,L2_Logistic_Regression
1e-4,L2_primal,0.01,0.7650555555555556,0.86,0.5476666666666666,0.2041927583804739,0.2232330605712275,0.2878159296356569,L2_Logistic_Regression
0.001,L2_primal,0.01,0.7650555555555556,0.86,0.5476666666666666,0.2041927583804739,0.2232330605712275,0.2878159296356569,L2_Logistic_Regression
0.0025,L2_primal,0.01,0.7652777777777777,0.859,0.5476666666666666,0.2042670790542214,0.22372402242439868,0.2878159296356569,L2_Logistic_Regression
0.005,L2_primal,0.01,0.7665555555555555,0.8603333333333333,0.5469999999999999,0.20423165593688358,0.2257965439718917,0.28792576636751543,L2_Logistic_Regression
0.01,L2_primal,0.01,0.7667777777777778,0.863,0.5443333333333333,0.20433459989492372,0.2234770572146361,0.2868006630951448,L2_Logistic_Regression
0.05,L2_primal,0.01,0.7717777777777778,0.87,0.5383333333333333,0.20283481687871568,0.21877475048452413,0.284552761155283,L2_Logistic_Regression
0.1,L2_primal,0.01,0.7751111111111111,0.8726666666666667,0.5323333333333333,0.20254003229596693,0.21831014323039263,0.2870489985847544,L2_Logistic_Regression
0.25,L2_primal,0.01,0.7777777777777778,0.878,0.522,0.20465372953864666,0.21314098710240648,0.28384154193977734,L2_Logistic_Regression
0.5,L2_primal,0.01,0.7754444444444445,0.8766666666666667,0.5163333333333333,0.20379993745835254,0.21419768950496973,0.2868565573245124,L2_Logistic_Regression
1,L2_primal,0.01,0.7753888888888889,0.8763333333333333,0.516,0.2063366501779561,0.21465434145608428,0.28443946917269847,L2_Logistic_Regression
10,L2_primal,0.01,0.7657777777777778,0.872,0.5173333333333333,0.20909619847862898,0.21586589600723619,0.2835770494893854,L2_Logistic_Regression
1e-6,L2_primal,0.01,0.7295,0.8109999999999999,0.5763333333333334,0.2291244588432643,0.2554267389512615,0.2914691095415898,L2_Logistic_Regression
1e-5,L2_primal,0.01,0.7295,0.8109999999999999,0.5763333333333334,0.2291244588432643,0.2554267389512615,0.2914691095415898,L2_Logistic_Regression
1e-4,L2_primal,0.01,0.7295,0.8109999999999999,0.5763333333333334,0.2291244588432643,0.2554267389512615,0.2914691095415898,L2_Logistic_Regression
0.001,L2_primal,0.01,0.7295,0.8109999999999999,0.5763333333333334,0.2291244588432643,0.2554267389512615,0.2914691095415898,L2_Logistic_Regression
0.0025,L2_primal,0.01,0.7310555555555556,0.8109999999999999,0.5763333333333334,0.2286642722205161,0.2554267389512615,0.2914691095415898,L2_Logistic_Regression
0.005,L2_primal,0.01,0.7313888888888889,0.81033333333333335,0.575,0.2291510203628889,0.2562379193213835,0.29181573631151075,L2_Logistic_Regression
0.01,L2_primal,0.01,0.7331666666666666,0.813,0.575,0.22780025387258734,0.25559405962051085,0.29181573631151075,L2_Logistic_Regression
0.05,L2_primal,0.01,0.7377222222222222,0.8246666666666667,0.5743333333333334,0.22770498508283535,0.24887276484972332,0.29179589655450544,L2_Logistic_Regression
0.1,L2_primal,0.01,0.7407777777777778,0.8296666666666667,0.5726666666666667,0.22560224509720506,0.2468638742986839,0.2921209840779627,L2_Logistic_Regression
